episodes,total reward,steps
0,0.0,10000
1,1.0,20000
2,1.0,30000
2,0.0,40000
2,0.0,50000
3,1.0,60000
4,1.0,70000
5,1.0,80000
5,0.0,90000
7,2.0,100000
7,0.0,110000
7,0.0,120000
8,1.0,130000
8,0.0,140000
9,1.0,150000
10,1.0,160000
10,0.0,170000
12,2.0,180000
13,1.0,190000
13,0.0,200000
15,2.0,210000
15,0.0,220000
16,1.0,230000
16,0.0,240000
17,1.0,250000
18,1.0,260000
19,1.0,270000
20,1.0,280000
21,1.0,290000
22,1.0,300000
22,0.0,310000
24,2.0,320000
25,1.0,330000
28,3.0,340000
29,1.0,350000
33,4.0,360000
36,3.0,370000
39,3.0,380000
41,2.0,390000
43,2.0,400000
46,3.0,410000
49,3.0,420000
51,2.0,430000
55,4.0,440000
58,3.0,450000
58,0.0,460000
61,3.0,470000
67,6.0,480000
72,5.0,490000
74,2.0,500000
81,7.0,510000
91,10.0,520000
96,5.0,530000
108,12.0,540000
116,8.0,550000
132,16.0,560000
148,16.0,570000
164,16.0,580000
183,19.0,590000
205,22.0,600000
228,23.0,610000
266,38.0,620000
298,32.0,630000
337,39.0,640000
377,40.0,650000
425,48.0,660000
482,57.0,670000
543,61.0,680000
613,70.0,690000
698,85.0,700000
821,123.0,710000
965,144.0,720000
1093,128.0,730000
1230,137.0,740000
1361,131.0,750000
1505,144.0,760000
1648,143.0,770000
1772,124.0,780000
1910,138.0,790000
2061,151.0,800000
2209,148.0,810000
2361,152.0,820000
2513,152.0,830000
2657,144.0,840000
2810,153.0,850000
2963,153.0,860000
3101,138.0,870000
3250,149.0,880000
3405,155.0,890000
3557,152.0,900000
3706,149.0,910000
3860,154.0,920000
4013,153.0,930000
4166,153.0,940000
4320,154.0,950000
4473,153.0,960000
4615,142.0,970000
4765,150.0,980000
4920,155.0,990000
5071,151.0,1000000
5222,151.0,1010000
5373,151.0,1020000
5525,152.0,1030000
5675,150.0,1040000
5827,152.0,1050000
5977,150.0,1060000
6129,152.0,1070000
6280,151.0,1080000
6434,154.0,1090000
6587,153.0,1100000
6739,152.0,1110000
6892,153.0,1120000
7046,154.0,1130000
7198,152.0,1140000
7351,153.0,1150000
7503,152.0,1160000
7638,135.0,1170000
7791,153.0,1180000
7945,154.0,1190000
8096,151.0,1200000
8240,144.0,1210000
8392,152.0,1220000
8546,154.0,1230000
8698,152.0,1240000
8850,152.0,1250000
9002,152.0,1260000
9154,152.0,1270000
9307,153.0,1280000
9460,153.0,1290000
9612,152.0,1300000
9764,152.0,1310000
9917,153.0,1320000
10070,153.0,1330000
10223,153.0,1340000
10376,153.0,1350000
10524,148.0,1360000
10674,150.0,1370000
10827,153.0,1380000
10979,152.0,1390000
11132,153.0,1400000
11285,153.0,1410000
11438,153.0,1420000
11590,152.0,1430000
11743,153.0,1440000
11895,152.0,1450000
12047,152.0,1460000
12184,137.0,1470000
12337,153.0,1480000
12488,151.0,1490000
12641,153.0,1500000
12793,152.0,1510000
12945,152.0,1520000
13099,154.0,1530000
13252,153.0,1540000
13402,150.0,1550000
13553,151.0,1560000
13707,154.0,1570000
13859,152.0,1580000
14011,152.0,1590000
14165,154.0,1600000
14319,154.0,1610000
14471,152.0,1620000
14623,152.0,1630000
14776,153.0,1640000
14928,152.0,1650000
15080,152.0,1660000
15228,148.0,1670000
15382,154.0,1680000
15534,152.0,1690000
15687,153.0,1700000
15839,152.0,1710000
15989,150.0,1720000
16142,153.0,1730000
16294,152.0,1740000
16446,152.0,1750000
16600,154.0,1760000
16752,152.0,1770000
16904,152.0,1780000
17058,154.0,1790000
17211,153.0,1800000
17363,152.0,1810000
17518,155.0,1820000
17672,154.0,1830000
17825,153.0,1840000
17976,151.0,1850000
18129,153.0,1860000
18282,153.0,1870000
18435,153.0,1880000
18587,152.0,1890000
18740,153.0,1900000
18894,154.0,1910000
19045,151.0,1920000
19198,153.0,1930000
19351,153.0,1940000
19504,153.0,1950000
19658,154.0,1960000
19809,152.0,1970000
19961,151.0,1980000
20115,154.0,1990000
20265,150.0,2000000
