total reward,steps,episodes
2.0,10000,2
1.0,20000,3
1.0,30000,4
0.0,40000,4
1.0,50000,5
0.0,60000,5
0.0,70000,5
1.0,80000,6
1.0,90000,7
0.0,100000,7
0.0,110000,7
1.0,120000,8
1.0,130000,9
0.0,140000,9
1.0,150000,10
0.0,160000,10
1.0,170000,11
2.0,180000,13
1.0,190000,14
1.0,200000,15
1.0,210000,16
0.0,220000,16
1.0,230000,17
2.0,240000,19
1.0,250000,20
1.0,260000,21
2.0,270000,23
1.0,280000,24
1.0,290000,25
1.0,300000,26
1.0,310000,27
1.0,320000,28
2.0,330000,30
2.0,340000,32
3.0,350000,35
0.0,360000,35
2.0,370000,37
0.0,380000,37
2.0,390000,39
2.0,400000,41
2.0,410000,43
3.0,420000,46
3.0,430000,49
5.0,440000,54
3.0,450000,57
4.0,460000,61
3.0,470000,64
3.0,480000,67
4.0,490000,71
6.0,500000,77
4.0,510000,81
6.0,520000,87
8.0,530000,95
8.0,540000,103
9.0,550000,112
12.0,560000,124
16.0,570000,140
18.0,580000,158
21.0,590000,179
22.0,600000,201
30.0,610000,231
31.0,620000,262
36.0,630000,298
27.0,640000,325
51.0,650000,376
46.0,660000,422
53.0,670000,475
69.0,680000,544
77.0,690000,621
96.0,700000,717
136.0,710000,853
126.0,720000,979
143.0,730000,1122
126.0,740000,1248
128.0,750000,1376
139.0,760000,1515
122.0,770000,1637
146.0,780000,1783
138.0,790000,1921
142.0,800000,2063
133.0,810000,2196
149.0,820000,2345
152.0,830000,2497
152.0,840000,2649
153.0,850000,2802
154.0,860000,2956
150.0,870000,3106
150.0,880000,3256
153.0,890000,3409
149.0,900000,3558
154.0,910000,3712
153.0,920000,3865
151.0,930000,4016
150.0,940000,4166
153.0,950000,4319
152.0,960000,4471
152.0,970000,4623
152.0,980000,4775
152.0,990000,4927
152.0,1000000,5079
143.0,1010000,5222
151.0,1020000,5373
152.0,1030000,5525
154.0,1040000,5679
152.0,1050000,5831
150.0,1060000,5981
149.0,1070000,6130
150.0,1080000,6280
152.0,1090000,6432
152.0,1100000,6584
153.0,1110000,6737
154.0,1120000,6891
152.0,1130000,7043
153.0,1140000,7196
152.0,1150000,7348
153.0,1160000,7501
154.0,1170000,7655
152.0,1180000,7807
152.0,1190000,7959
153.0,1200000,8112
152.0,1210000,8264
152.0,1220000,8416
153.0,1230000,8569
153.0,1240000,8722
153.0,1250000,8875
151.0,1260000,9026
150.0,1270000,9176
150.0,1280000,9326
155.0,1290000,9481
152.0,1300000,9633
153.0,1310000,9786
149.0,1320000,9935
155.0,1330000,10090
152.0,1340000,10242
151.0,1350000,10393
153.0,1360000,10546
153.0,1370000,10699
153.0,1380000,10852
153.0,1390000,11005
152.0,1400000,11157
154.0,1410000,11311
151.0,1420000,11462
154.0,1430000,11616
150.0,1440000,11766
152.0,1450000,11918
151.0,1460000,12069
152.0,1470000,12221
154.0,1480000,12375
153.0,1490000,12528
151.0,1500000,12679
154.0,1510000,12833
153.0,1520000,12986
151.0,1530000,13137
152.0,1540000,13289
151.0,1550000,13440
153.0,1560000,13593
152.0,1570000,13745
152.0,1580000,13897
152.0,1590000,14049
153.0,1600000,14202
154.0,1610000,14356
152.0,1620000,14508
153.0,1630000,14661
151.0,1640000,14812
153.0,1650000,14965
152.0,1660000,15117
151.0,1670000,15268
151.0,1680000,15419
151.0,1690000,15570
152.0,1700000,15722
153.0,1710000,15875
153.0,1720000,16028
147.0,1730000,16175
148.0,1740000,16323
147.0,1750000,16470
153.0,1760000,16623
154.0,1770000,16777
153.0,1780000,16930
152.0,1790000,17082
153.0,1800000,17235
154.0,1810000,17389
152.0,1820000,17541
153.0,1830000,17694
154.0,1840000,17848
148.0,1850000,17996
153.0,1860000,18149
153.0,1870000,18302
153.0,1880000,18455
153.0,1890000,18608
152.0,1900000,18760
153.0,1910000,18913
152.0,1920000,19065
153.0,1930000,19218
152.0,1940000,19370
152.0,1950000,19522
152.0,1960000,19674
153.0,1970000,19827
151.0,1980000,19978
153.0,1990000,20131
154.0,2000000,20285
