#{"t_start": 1711712702.254061, "env_id": "Craft-single-M3-v0"}
r,l,t
1.0,14289,1.211743
1.0,20925,2.983895
1.0,18602,4.555709
1.0,32743,7.309263
1.0,15030,8.579945
1.0,21597,10.41099
1.0,14192,11.632336
1.0,21790,13.496102
1.0,1860,13.653382
1.0,12238,14.69437
1.0,11956,15.702769
1.0,9215,16.48622
1.0,12736,17.577303
1.0,4503,17.965569
1.0,15267,19.272062
1.0,4280,19.635651
1.0,16578,21.039539
1.0,10732,21.949582
1.0,5987,22.458601
1.0,13482,23.60177
1.0,9302,24.392432
1.0,3336,24.676287
1.0,4835,25.087872
1.0,10606,25.990599
1.0,8975,26.752209
1.0,2932,27.001918
1.0,8636,27.736891
1.0,3825,28.060461
1.0,6723,28.628601
1.0,3172,28.898576
1.0,7461,29.531704
1.0,3511,29.827635
1.0,4459,30.206421
1.0,3396,30.492923
1.0,10707,31.403449
1.0,897,31.479348
1.0,1812,31.637582
1.0,4425,32.012922
1.0,4165,32.374896
1.0,7215,32.98574
1.0,5880,33.485713
1.0,909,33.562771
1.0,4430,33.939888
1.0,3833,34.267584
1.0,2969,34.520933
1.0,3718,34.836462
1.0,408,34.871159
1.0,4952,35.290607
1.0,7365,35.914531
1.0,6951,36.510442
1.0,6743,37.105474
1.0,5288,37.563459
1.0,4266,37.933575
1.0,1303,38.043914
1.0,6574,38.598292
1.0,398,38.63202
1.0,507,38.674726
1.0,2592,38.893786
1.0,3237,39.168317
1.0,3492,39.465394
1.0,3966,39.799613
1.0,3587,40.102574
1.0,1027,40.188856
1.0,765,40.25321
1.0,1989,40.421195
1.0,123,40.431579
1.0,1143,40.528048
1.0,8208,41.218195
1.0,5733,41.699908
1.0,427,41.736144
1.0,513,41.780171
1.0,3893,42.109911
1.0,560,42.157878
1.0,2452,42.365778
1.0,533,42.410763
1.0,369,42.441713
1.0,1303,42.551189
1.0,1298,42.662592
1.0,2317,42.859547
1.0,4280,43.222589
1.0,789,43.289367
1.0,2596,43.508844
1.0,961,43.590754
1.0,1181,43.690707
1.0,502,43.733973
1.0,587,43.783728
1.0,451,43.822263
1.0,157,43.83568
1.0,4857,44.244686
1.0,1140,44.341129
1.0,996,44.42791
1.0,1422,44.549261
1.0,3261,44.82663
1.0,545,44.873059
1.0,1080,44.964956
1.0,1256,45.071328
1.0,1013,45.157265
1.0,165,45.171288
1.0,445,45.209146
1.0,4552,45.594283
1.0,273,45.617335
1.0,237,45.637242
1.0,1226,45.741216
1.0,378,45.773335
1.0,1247,45.878728
1.0,724,45.940253
1.0,232,45.959889
1.0,2038,46.132719
1.0,683,46.190374
