#{"t_start": 1711638551.906603, "env_id": "Craft-M2-v0"}
r,l,t
1.0,640,0.340273
1.0,6083,3.555803
1.0,321,3.730333
1.0,2359,4.978255
1.0,1100,5.584726
1.0,4293,7.870963
1.0,2276,9.144292
1.0,5353,12.150505
1.0,9645,17.573396
1.0,427,17.812921
1.0,519,18.101898
1.0,6157,21.543444
1.0,8984,26.557103
1.0,2335,27.866767
1.0,8667,32.755993
1.0,7240,36.836308
1.0,1178,37.50359
1.0,7550,41.796541
1.0,10614,47.904003
1.0,1403,48.706669
1.0,7940,53.256871
1.0,6542,56.973173
1.0,186,57.079377
1.0,2715,58.621373
1.0,7329,62.789809
1.0,4267,65.241113
1.0,1386,66.034609
1.0,6400,69.697438
1.0,7288,73.888934
1.0,2830,75.508908
1.0,176,75.609852
1.0,2907,77.270412
1.0,2505,78.71549
1.0,7064,82.806749
1.0,4308,85.299635
1.0,4428,87.840123
1.0,3149,89.664669
1.0,15089,98.335355
1.0,3971,100.576083
1.0,2803,102.163418
1.0,1024,102.746617
1.0,55,102.778061
1.0,290,102.942963
1.0,2263,104.228698
1.0,3614,106.288439
1.0,4281,108.72473
1.0,2184,109.977364
1.0,19941,121.280537
1.0,5974,124.606807
1.0,1721,125.570741
1.0,48,125.597718
1.0,21,125.60976
1.0,270,125.761006
1.0,1567,126.637401
1.0,1231,127.327165
1.0,978,127.875382
1.0,580,128.200374
1.0,11896,134.846162
1.0,6018,138.285184
1.0,114,138.35088
1.0,82,138.397776
1.0,21,138.409979
1.0,703,138.813927
1.0,1623,139.74538
1.0,2470,141.164668
1.0,5200,144.160944
1.0,960,144.718316
1.0,16172,153.979431
1.0,3219,155.85483
1.0,541,156.168896
1.0,26,156.184229
1.0,23,156.19784
1.0,198,156.314081
1.0,1021,156.911118
1.0,325,157.101025
1.0,3596,159.209251
1.0,675,159.606467
1.0,6394,163.317397
1.0,4618,166.010927
1.0,834,166.503216
1.0,32,166.522259
1.0,23,166.535999
1.0,128,166.611689
1.0,2174,167.894709
1.0,1608,168.839169
1.0,704,169.254615
1.0,1090,169.897749
1.0,4821,172.724498
1.0,2634,174.257723
1.0,66,174.296473
1.0,26,174.31168
1.0,21,174.324051
1.0,58,174.358386
1.0,3173,176.211938
1.0,886,176.731202
1.0,196,176.84678
1.0,50,176.876333
1.0,9896,182.580901
1.0,1956,183.721258
1.0,54,183.752956
1.0,28,183.769392
1.0,19,183.780639
1.0,56,183.813645
1.0,169,183.912523
1.0,940,184.459762
1.0,1476,185.318941
1.0,54,185.350725
1.0,10938,191.718117
1.0,4264,194.185274
1.0,40,194.20887
1.0,36,194.2299
1.0,23,194.243423
1.0,39,194.266352
1.0,347,194.468131
1.0,533,194.779572
1.0,632,195.147775
1.0,1169,195.828141
1.0,11639,202.662689
1.0,2887,204.445054
1.0,42,204.472013
1.0,26,204.488958
1.0,21,204.502382
1.0,30,204.521567
1.0,203,204.646928
1.0,2588,206.230476
1.0,1122,206.917358
1.0,34,206.939228
1.0,3769,209.257437
1.0,2030,210.517469
1.0,58,210.554456
1.0,28,210.572243
1.0,19,210.584556
1.0,34,210.606212
1.0,107,210.673648
1.0,128,210.750516
1.0,197,210.871606
1.0,800,211.372894
1.0,4496,214.136402
1.0,5029,217.236771
1.0,38,217.261653
1.0,34,217.283343
1.0,25,217.299618
1.0,34,217.321547
1.0,428,217.590593
1.0,489,217.898067
1.0,60,217.936541
1.0,42,217.963332
1.0,8226,223.05366
1.0,915,223.617434
1.0,34,223.639606
1.0,28,223.657504
1.0,21,223.671142
1.0,32,223.691575
1.0,139,223.778794
1.0,95,223.839124
1.0,1201,224.575883
1.0,407,224.82308
1.0,4422,227.56361
1.0,3264,229.581951
1.0,34,229.604543
1.0,30,229.623886
1.0,19,229.636258
1.0,32,229.656983
1.0,1356,230.502319
1.0,131,230.584087
1.0,456,230.869591
1.0,38,230.892636
1.0,6906,235.166271
1.0,1024,235.79861
1.0,32,235.819515
1.0,30,235.838683
1.0,23,235.853575
1.0,34,235.875077
1.0,63,235.914931
1.0,63,235.954857
1.0,138,236.041713
1.0,36,236.064685
1.0,9561,241.911302
1.0,2117,243.20222
1.0,34,243.222522
1.0,30,243.240317
1.0,19,243.251657
1.0,32,243.270758
1.0,860,243.794344
1.0,109,243.862291
1.0,230,244.004397
1.0,46,244.0333
1.0,6002,247.692461
1.0,1756,248.79492
1.0,38,248.818049
1.0,32,248.837621
1.0,23,248.851746
1.0,32,248.871211
1.0,79,248.918997
1.0,113,248.9888
1.0,224,249.130785
1.0,34,249.152899
1.0,3132,251.110337
1.0,2002,252.357192
1.0,32,252.378233
1.0,26,252.395035
1.0,25,252.411264
1.0,40,252.437166
1.0,67,252.479616
1.0,73,252.526305
1.0,1537,253.486517
1.0,36,253.509355
1.0,12687,261.133886
1.0,1084,261.787082
1.0,42,261.813793
1.0,26,261.830291
1.0,27,261.847347
1.0,34,261.869012
1.0,111,261.938496
1.0,125,262.016126
1.0,660,262.424703
1.0,38,262.448818
1.0,6383,266.373912
1.0,919,266.943504
1.0,34,266.96563
1.0,32,266.985767
1.0,23,267.000582
1.0,32,267.020852
1.0,53,267.054573
1.0,139,267.141632
1.0,326,267.338102
1.0,34,267.359432
1.0,4028,269.844899
1.0,1372,270.69357
1.0,32,270.714389
1.0,26,270.731022
1.0,21,270.744518
1.0,34,270.766147
1.0,71,270.811608
1.0,59,270.849121
1.0,260,271.012617
1.0,38,271.036623
1.0,3627,273.259833
1.0,1509,274.168645
1.0,32,274.189425
1.0,26,274.206013
1.0,27,274.223211
1.0,36,274.246
1.0,85,274.299802
1.0,43,274.32742
1.0,86,274.381897
1.0,40,274.407131
1.0,2863,276.16705
1.0,716,276.610244
1.0,34,276.632407
1.0,26,276.64899
1.0,21,276.662862
1.0,30,276.682075
1.0,49,276.713189
1.0,45,276.742099
1.0,470,277.038926
1.0,40,277.064605
1.0,3596,279.29421
1.0,1506,280.210498
1.0,34,280.232535
1.0,30,280.251803
1.0,23,280.266638
1.0,32,280.28718
1.0,49,280.318475
1.0,51,280.351097
1.0,64,280.391635
1.0,34,280.413486
1.0,1620,281.425851
1.0,947,282.021823
1.0,34,282.044022
1.0,26,282.060858
1.0,23,282.075743
1.0,30,282.095109
1.0,47,282.125202
1.0,46,282.15482
1.0,129,282.236869
1.0,36,282.259915
1.0,1906,283.446161
1.0,1606,284.45096
1.0,42,284.477864
1.0,26,284.494482
1.0,19,284.506734
1.0,34,284.527578
1.0,63,284.565726
1.0,47,284.594199
1.0,501,284.908251
1.0,34,284.930045
1.0,2053,286.210032
1.0,399,286.454493
1.0,42,286.481552
1.0,32,286.502022
1.0,21,286.515763
1.0,30,286.535094
1.0,63,286.576029
1.0,51,286.609018
1.0,52,286.642416
1.0,40,286.667952
1.0,5673,290.15808
1.0,1386,291.015196
1.0,38,291.040037
1.0,28,291.058225
1.0,23,291.073134
1.0,38,291.097609
1.0,55,291.132734
1.0,45,291.161915
1.0,186,291.279507
1.0,36,291.302953
1.0,5327,294.628291
1.0,1242,295.398667
1.0,40,295.424455
1.0,32,295.444835
1.0,19,295.457225
1.0,34,295.478936
1.0,45,295.507789
1.0,51,295.540487
1.0,88,295.596177
1.0,40,295.621444
1.0,2736,297.314976
1.0,386,297.559914
1.0,36,297.583416
1.0,28,297.601607
1.0,19,297.614089
1.0,34,297.635986
1.0,49,297.667477
1.0,47,297.69791
1.0,62,297.737513
1.0,36,297.760745
1.0,5614,301.258619
1.0,1454,302.160989
1.0,38,302.185938
1.0,32,302.206553
1.0,19,302.219162
1.0,32,302.239838
1.0,51,302.272713
1.0,63,302.313121
1.0,60,302.351752
1.0,36,302.374822
1.0,3139,304.340149
1.0,106,304.406976
1.0,34,304.427847
1.0,28,304.444911
1.0,29,304.462615
1.0,30,304.480965
1.0,47,304.509395
1.0,45,304.536768
1.0,64,304.576437
1.0,36,304.598918
1.0,1416,305.488831
1.0,385,305.732702
1.0,34,305.755075
1.0,32,305.775682
1.0,23,305.790731
1.0,36,305.813926
1.0,45,305.842919
1.0,53,305.877094
1.0,78,305.927467
1.0,40,305.953692
1.0,4698,308.906631
1.0,2007,310.164733
1.0,32,310.185879
1.0,32,310.206513
1.0,23,310.221523
1.0,30,310.240895
1.0,53,310.275139
1.0,45,310.303983
1.0,276,310.479245
1.0,38,310.503961
1.0,2506,312.068661
1.0,1448,312.984779
1.0,32,313.005848
1.0,26,313.022765
1.0,21,313.036576
1.0,34,313.058556
1.0,53,313.092824
1.0,47,313.123299
1.0,54,313.157999
1.0,36,313.181214
1.0,4077,315.723766
1.0,1700,316.784958
1.0,48,316.81606
1.0,28,316.834187
1.0,21,316.848027
1.0,30,316.86756
1.0,47,316.898226
1.0,43,316.926066
1.0,55,316.960303
1.0,34,316.981006
1.0,609,317.35916
1.0,696,317.790102
1.0,40,317.816115
1.0,32,317.83679
1.0,21,317.850601
1.0,30,317.869767
1.0,45,317.898894
1.0,49,317.930558
1.0,48,317.961359
1.0,34,317.983266
1.0,1028,318.632953
1.0,275,318.807621
1.0,36,318.831095
1.0,26,318.847649
1.0,25,318.864092
1.0,38,318.888765
1.0,43,318.916671
1.0,41,318.943127
1.0,50,318.975333
1.0,42,319.002707
1.0,1614,320.017515
1.0,1970,321.24974
1.0,34,321.27203
1.0,28,321.290084
1.0,19,321.302537
1.0,36,321.325756
1.0,51,321.358639
1.0,44,321.386939
1.0,46,321.416597
1.0,36,321.439804
1.0,2006,322.696725
1.0,242,322.849585
1.0,38,322.874392
1.0,28,322.892509
1.0,21,322.906264
1.0,34,322.928156
1.0,59,322.966154
1.0,44,322.994332
1.0,55,323.029925
1.0,38,323.054232
1.0,2741,324.768168
1.0,474,325.068232
