steps,total reward,episodes
10000,4.0,4
20000,3.0,7
30000,1.0,8
40000,4.0,12
50000,1.0,13
60000,2.0,15
70000,2.0,17
80000,1.0,18
90000,2.0,20
100000,1.0,21
110000,3.0,24
120000,3.0,27
130000,1.0,28
140000,5.0,33
150000,1.0,34
160000,3.0,37
170000,0.0,37
180000,2.0,39
190000,6.0,45
200000,2.0,47
210000,0.0,47
220000,1.0,48
230000,9.0,57
240000,1.0,58
250000,7.0,65
260000,2.0,67
270000,0.0,67
280000,8.0,75
290000,3.0,78
300000,9.0,87
310000,7.0,94
320000,3.0,97
330000,10.0,107
340000,1.0,108
350000,9.0,117
360000,7.0,124
370000,13.0,137
380000,10.0,147
390000,8.0,155
400000,8.0,163
410000,14.0,177
420000,1.0,178
430000,10.0,188
440000,19.0,207
450000,0.0,207
460000,17.0,224
470000,14.0,238
480000,20.0,258
490000,29.0,287
500000,20.0,307
510000,20.0,327
520000,11.0,338
530000,29.0,367
540000,18.0,385
550000,42.0,427
560000,31.0,458
570000,29.0,487
580000,31.0,518
590000,39.0,557
600000,32.0,589
610000,48.0,637
620000,36.0,673
630000,44.0,717
640000,41.0,758
650000,41.0,799
660000,38.0,837
670000,65.0,902
680000,55.0,957
690000,60.0,1017
700000,67.0,1084
710000,63.0,1147
720000,63.0,1210
730000,67.0,1277
740000,110.0,1387
750000,100.0,1487
760000,80.0,1567
770000,103.0,1670
780000,107.0,1777
790000,111.0,1888
800000,148.0,2036
810000,111.0,2147
820000,160.0,2307
830000,150.0,2457
840000,167.0,2624
850000,164.0,2788
860000,174.0,2962
870000,171.0,3133
880000,172.0,3305
890000,178.0,3483
900000,194.0,3677
910000,172.0,3849
920000,178.0,4027
930000,190.0,4217
940000,218.0,4435
950000,200.0,4635
960000,206.0,4841
970000,207.0,5048
980000,218.0,5266
990000,221.0,5487
1000000,214.0,5701
1010000,220.0,5921
1020000,195.0,6116
1030000,214.0,6330
1040000,219.0,6549
1050000,221.0,6770
1060000,225.0,6995
1070000,222.0,7217
1080000,221.0,7438
1090000,222.0,7660
1100000,223.0,7883
1110000,223.0,8106
1120000,219.0,8325
1130000,208.0,8533
1140000,217.0,8750
1150000,224.0,8974
1160000,223.0,9197
1170000,221.0,9418
1180000,224.0,9642
1190000,221.0,9863
1200000,221.0,10084
1210000,221.0,10305
1220000,222.0,10527
1230000,220.0,10747
1240000,220.0,10967
1250000,225.0,11192
1260000,217.0,11409
1270000,224.0,11633
1280000,224.0,11857
1290000,220.0,12077
1300000,222.0,12299
1310000,222.0,12521
1320000,222.0,12743
1330000,221.0,12964
1340000,222.0,13186
1350000,222.0,13408
1360000,222.0,13630
1370000,222.0,13852
1380000,221.0,14073
1390000,223.0,14296
1400000,221.0,14517
1410000,225.0,14742
1420000,221.0,14963
1430000,223.0,15186
1440000,222.0,15408
1450000,220.0,15628
1460000,223.0,15851
1470000,224.0,16075
1480000,221.0,16296
1490000,223.0,16519
1500000,221.0,16740
1510000,223.0,16963
1520000,222.0,17185
1530000,222.0,17407
1540000,221.0,17628
1550000,220.0,17848
1560000,221.0,18069
1570000,224.0,18293
1580000,224.0,18517
1590000,220.0,18737
1600000,222.0,18959
1610000,222.0,19181
1620000,222.0,19403
1630000,220.0,19623
1640000,221.0,19844
1650000,221.0,20065
1660000,224.0,20289
1670000,224.0,20513
1680000,221.0,20734
1690000,222.0,20956
1700000,220.0,21176
1710000,221.0,21397
1720000,220.0,21617
1730000,222.0,21839
1740000,223.0,22062
1750000,224.0,22286
1760000,220.0,22506
1770000,221.0,22727
1780000,221.0,22947
1790000,222.0,23170
1800000,223.0,23393
1810000,222.0,23615
1820000,221.0,23836
1830000,222.0,24058
1840000,221.0,24279
1850000,221.0,24500
1860000,221.0,24721
1870000,224.0,24945
1880000,221.0,25166
1890000,221.0,25387
1900000,223.0,25610
1910000,220.0,25830
1920000,222.0,26052
1930000,222.0,26274
1940000,222.0,26496
1950000,221.0,26717
1960000,220.0,26937
1970000,220.0,27157
1980000,222.0,27379
1990000,222.0,27601
2000000,222.0,27823
