total reward,steps,episodes
1.0,10000,1
1.0,20000,2
2.0,30000,4
2.0,40000,6
1.0,50000,7
1.0,60000,8
1.0,70000,9
3.0,80000,12
1.0,90000,13
2.0,100000,15
0.0,110000,15
2.0,120000,17
0.0,130000,17
1.0,140000,18
0.0,150000,18
4.0,160000,22
2.0,170000,24
3.0,180000,27
1.0,190000,28
4.0,200000,32
4.0,210000,36
1.0,220000,37
1.0,230000,38
5.0,240000,43
4.0,250000,47
1.0,260000,48
3.0,270000,51
4.0,280000,55
2.0,290000,57
1.0,300000,58
4.0,310000,62
5.0,320000,67
0.0,330000,67
1.0,340000,68
7.0,350000,75
2.0,360000,77
8.0,370000,85
2.0,380000,87
6.0,390000,93
4.0,400000,97
10.0,410000,107
0.0,420000,107
17.0,430000,124
4.0,440000,128
10.0,450000,138
9.0,460000,147
8.0,470000,155
3.0,480000,158
16.0,490000,174
10.0,500000,184
3.0,510000,187
20.0,520000,207
10.0,530000,217
19.0,540000,236
14.0,550000,250
17.0,560000,267
21.0,570000,288
27.0,580000,315
25.0,590000,340
37.0,600000,377
20.0,610000,397
40.0,620000,437
40.0,630000,477
30.0,640000,507
31.0,650000,538
40.0,660000,578
39.0,670000,617
51.0,680000,668
47.0,690000,715
52.0,700000,767
60.0,710000,827
66.0,720000,893
95.0,730000,988
79.0,740000,1067
102.0,750000,1169
108.0,760000,1277
90.0,770000,1367
120.0,780000,1487
110.0,790000,1597
125.0,800000,1722
125.0,810000,1847
140.0,820000,1987
160.0,830000,2147
150.0,840000,2297
149.0,850000,2446
167.0,860000,2613
154.0,870000,2767
169.0,880000,2936
148.0,890000,3083
158.0,900000,3242
182.0,910000,3424
175.0,920000,3599
174.0,930000,3773
192.0,940000,3965
214.0,950000,4179
219.0,960000,4398
218.0,970000,4616
217.0,980000,4833
215.0,990000,5048
221.0,1000000,5269
218.0,1010000,5487
187.0,1020000,5674
206.0,1030000,5880
214.0,1040000,6094
206.0,1050000,6300
214.0,1060000,6514
213.0,1070000,6727
207.0,1080000,6934
203.0,1090000,7137
220.0,1100000,7357
219.0,1110000,7575
216.0,1120000,7792
214.0,1130000,8006
218.0,1140000,8224
197.0,1150000,8421
214.0,1160000,8635
219.0,1170000,8854
209.0,1180000,9063
214.0,1190000,9277
219.0,1200000,9496
211.0,1210000,9707
213.0,1220000,9920
219.0,1230000,10139
218.0,1240000,10357
218.0,1250000,10575
219.0,1260000,10794
221.0,1270000,11015
209.0,1280000,11224
217.0,1290000,11441
211.0,1300000,11652
218.0,1310000,11870
221.0,1320000,12091
217.0,1330000,12308
220.0,1340000,12528
217.0,1350000,12745
216.0,1360000,12961
217.0,1370000,13178
206.0,1380000,13384
214.0,1390000,13598
213.0,1400000,13811
217.0,1410000,14028
218.0,1420000,14246
220.0,1430000,14466
210.0,1440000,14676
191.0,1450000,14867
217.0,1460000,15084
220.0,1470000,15304
216.0,1480000,15520
219.0,1490000,15739
219.0,1500000,15958
219.0,1510000,16177
205.0,1520000,16381
219.0,1530000,16601
219.0,1540000,16820
218.0,1550000,17038
218.0,1560000,17256
220.0,1570000,17476
217.0,1580000,17693
218.0,1590000,17911
217.0,1600000,18128
219.0,1610000,18347
216.0,1620000,18563
218.0,1630000,18781
217.0,1640000,18998
220.0,1650000,19218
219.0,1660000,19437
218.0,1670000,19655
218.0,1680000,19873
221.0,1690000,20094
220.0,1700000,20314
220.0,1710000,20534
217.0,1720000,20751
217.0,1730000,20968
219.0,1740000,21187
221.0,1750000,21408
220.0,1760000,21628
220.0,1770000,21848
221.0,1780000,22069
221.0,1790000,22290
218.0,1800000,22508
217.0,1810000,22725
221.0,1820000,22945
217.0,1830000,23163
221.0,1840000,23384
215.0,1850000,23599
219.0,1860000,23818
220.0,1870000,24038
219.0,1880000,24257
219.0,1890000,24475
217.0,1900000,24693
219.0,1910000,24912
217.0,1920000,25129
218.0,1930000,25347
217.0,1940000,25564
220.0,1950000,25784
219.0,1960000,26003
219.0,1970000,26222
216.0,1980000,26438
218.0,1990000,26656
219.0,2000000,26875
