total reward,episodes,steps
4.0,4,10000
1.0,5,20000
2.0,7,30000
0.0,7,40000
1.0,8,50000
1.0,8,60000
2.0,11,70000
2.0,13,80000
1.0,14,90000
1.0,15,100000
2.0,17,110000
1.0,18,120000
0.0,18,130000
5.0,23,140000
1.0,24,150000
1.0,25,160000
2.0,27,170000
1.0,28,180000
0.0,28,190000
6.0,34,200000
3.0,37,210000
1.0,38,220000
6.0,44,230000
3.0,47,240000
1.0,48,250000
6.0,54,260000
3.0,57,270000
0.0,57,280000
1.0,58,290000
7.0,65,300000
3.0,68,310000
9.0,77,320000
1.0,78,330000
7.0,85,340000
9.0,94,350000
3.0,97,360000
7.0,104,370000
3.0,107,380000
0.0,107,390000
10.0,117,400000
0.0,117,410000
10.0,127,420000
1.0,128,430000
9.0,137,440000
1.0,138,450000
16.0,154,460000
4.0,158,470000
9.0,167,480000
10.0,177,490000
10.0,187,500000
10.0,197,510000
11.0,208,520000
20.0,228,530000
9.0,237,540000
20.0,257,550000
28.0,285,560000
22.0,307,570000
30.0,337,580000
31.0,368,590000
49.0,417,600000
40.0,457,610000
21.0,478,620000
40.0,518,630000
40.0,558,640000
49.0,607,650000
40.0,647,660000
50.0,697,670000
30.0,727,680000
50.0,777,690000
60.0,837,700000
70.0,907,710000
94.0,1001,720000
86.0,1087,730000
80.0,1167,740000
117.0,1284,750000
116.0,1400,760000
97.0,1497,770000
134.0,1631,780000
116.0,1747,790000
120.0,1867,800000
139.0,2006,810000
112.0,2118,820000
149.0,2267,830000
150.0,2417,840000
160.0,2577,850000
151.0,2728,860000
162.0,2890,870000
157.0,3047,880000
130.0,3177,890000
155.0,3332,900000
185.0,3517,910000
152.0,3669,920000
172.0,3841,930000
200.0,4041,940000
204.0,4245,950000
197.0,4442,960000
207.0,4649,970000
217.0,4866,980000
211.0,5077,990000
200.0,5277,1000000
214.0,5491,1010000
216.0,5707,1020000
211.0,5918,1030000
219.0,6137,1040000
217.0,6354,1050000
217.0,6571,1060000
216.0,6787,1070000
200.0,6987,1080000
208.0,7195,1090000
212.0,7407,1100000
219.0,7626,1110000
214.0,7840,1120000
214.0,8054,1130000
210.0,8264,1140000
216.0,8480,1150000
214.0,8694,1160000
204.0,8898,1170000
218.0,9116,1180000
215.0,9331,1190000
217.0,9548,1200000
219.0,9767,1210000
210.0,9977,1220000
197.0,10174,1230000
216.0,10390,1240000
186.0,10576,1250000
219.0,10795,1260000
217.0,11012,1270000
218.0,11230,1280000
218.0,11448,1290000
219.0,11667,1300000
211.0,11878,1310000
219.0,12097,1320000
219.0,12316,1330000
217.0,12533,1340000
216.0,12749,1350000
219.0,12968,1360000
210.0,13178,1370000
216.0,13394,1380000
217.0,13611,1390000
216.0,13827,1400000
220.0,14046,1410000
218.0,14265,1420000
218.0,14483,1430000
217.0,14700,1440000
220.0,14920,1450000
218.0,15138,1460000
220.0,15358,1470000
216.0,15574,1480000
218.0,15792,1490000
219.0,16011,1500000
217.0,16228,1510000
219.0,16447,1520000
218.0,16665,1530000
221.0,16886,1540000
217.0,17103,1550000
216.0,17319,1560000
219.0,17538,1570000
220.0,17758,1580000
220.0,17978,1590000
219.0,18197,1600000
218.0,18415,1610000
218.0,18633,1620000
219.0,18851,1630000
218.0,19070,1640000
219.0,19289,1650000
221.0,19510,1660000
217.0,19727,1670000
219.0,19946,1680000
218.0,20164,1690000
218.0,20382,1700000
219.0,20601,1710000
217.0,20818,1720000
220.0,21038,1730000
219.0,21257,1740000
218.0,21475,1750000
218.0,21693,1760000
218.0,21911,1770000
217.0,22128,1780000
222.0,22350,1790000
220.0,22570,1800000
218.0,22788,1810000
216.0,23004,1820000
219.0,23223,1830000
220.0,23443,1840000
220.0,23663,1850000
220.0,23883,1860000
218.0,24101,1870000
219.0,24320,1880000
218.0,24538,1890000
219.0,24757,1900000
219.0,24976,1910000
219.0,25195,1920000
221.0,25416,1930000
220.0,25636,1940000
220.0,25856,1950000
218.0,26073,1960000
218.0,26292,1970000
218.0,26510,1980000
220.0,26730,1990000
219.0,26949,2000000
