#{"t_start": 1711482867.1924229, "env_id": "Office-single-v0"}
r,l,t
0.0,23,0.00189
0.0,83,0.006915
0.0,6,0.007286
0.0,43,0.009818
0.0,8,0.010302
0.0,23,0.011656
0.0,30,0.013425
0.0,10,0.014019
0.0,14,0.014842
0.0,24,0.016191
0.0,33,0.017982
0.0,80,0.022308
0.0,128,0.029159
0.0,56,0.032107
0.0,30,0.033691
0.0,80,0.037788
0.0,51,0.040406
0.0,60,0.043466
0.0,145,0.050765
0.0,67,0.054126
0.0,133,0.060812
0.0,17,0.061674
0.0,7,0.062035
0.0,173,0.070792
0.0,117,0.076711
0.0,4,0.076927
0.0,129,0.083535
0.0,46,0.085899
0.0,164,0.094337
0.0,203,0.104756
0.0,137,0.111777
0.0,233,0.123717
0.0,31,0.125312
0.0,480,0.14985
0.0,145,0.157234
0.0,166,0.165774
0.0,73,0.169503
0.0,299,0.184794
0.0,89,0.189338
0.0,22,0.19047
1.0,238,0.202649
0.0,11,0.203229
0.0,8,0.203649
0.0,45,0.205963
0.0,16,0.206792
0.0,323,0.223258
0.0,260,0.236577
0.0,7,0.236948
0.0,45,0.239261
0.0,10,0.239782
0.0,259,0.253037
0.0,25,0.254326
1.0,267,0.26794
0.0,102,0.273169
0.0,143,0.280486
0.0,412,0.301615
0.0,31,0.303201
0.0,53,0.305917
0.0,39,0.307917
0.0,43,0.310131
0.0,75,0.313937
0.0,27,0.315328
0.0,145,0.32276
0.0,21,0.323844
1.0,191,0.333563
0.0,112,0.339288
1.0,180,0.348479
0.0,90,0.353091
0.0,116,0.359028
0.0,108,0.364556
1.0,227,0.376158
0.0,68,0.37963
0.0,54,0.382398
0.0,35,0.384197
1.0,125,0.390558
0.0,85,0.394926
0.0,47,0.397344
1.0,159,0.405464
0.0,79,0.409507
0.0,104,0.414838
1.0,282,0.42927
0.0,141,0.436458
1.0,108,0.441964
1.0,355,0.460151
0.0,37,0.462044
1.0,93,0.466776
1.0,142,0.474012
0.0,20,0.475043
0.0,89,0.479708
0.0,245,0.492434
0.0,24,0.493677
1.0,112,0.499418
0.0,45,0.501725
0.0,29,0.503219
1.0,59,0.506222
1.0,324,0.53068
0.0,16,0.531778
1.0,97,0.536912
0.0,158,0.545213
1.0,107,0.550713
1.0,134,0.557673
0.0,110,0.563383
1.0,86,0.567809
0.0,14,0.568542
0.0,73,0.572329
1.0,100,0.577483
0.0,26,0.578835
1.0,69,0.582427
1.0,44,0.584694
0.0,24,0.585955
1.0,140,0.59318
0.0,15,0.593965
1.0,42,0.596128
0.0,32,0.597791
1.0,88,0.60232
1.0,100,0.607506
0.0,202,0.617945
0.0,10,0.618494
1.0,220,0.629855
1.0,100,0.635054
1.0,47,0.637482
0.0,16,0.638321
1.0,97,0.643327
1.0,46,0.645695
0.0,2,0.645808
0.0,21,0.646898
0.0,11,0.647477
1.0,37,0.649396
0.0,63,0.652631
0.0,100,0.657785
1.0,46,0.66016
1.0,87,0.664636
1.0,51,0.667269
1.0,211,0.678165
1.0,50,0.680749
1.0,90,0.685397
1.0,28,0.68685
0.0,20,0.687893
0.0,74,0.691703
0.0,19,0.692702
0.0,25,0.694
1.0,132,0.700835
1.0,42,0.703003
1.0,71,0.706637
1.0,52,0.709315
0.0,17,0.710208
0.0,154,0.718149
1.0,29,0.71965
1.0,29,0.721155
1.0,41,0.723274
0.0,20,0.724315
