#{"t_start": 1711481083.8389919, "env_id": "Office-v0"}
r,l,t
0.0,15,0.003051
0.0,33,0.008497
0.0,5,0.009297
0.0,51,0.017169
0.0,42,0.023323
0.0,25,0.026933
0.0,16,0.02924
0.0,25,0.032746
0.0,28,0.036662
0.0,20,0.03941
0.0,36,0.044372
0.0,65,0.053264
0.0,75,0.063533
0.0,124,0.080499
0.0,28,0.08433
0.0,28,0.088151
0.0,133,0.106336
0.0,69,0.115793
0.0,159,0.137491
0.0,21,0.14037
0.0,92,0.152948
0.0,64,0.161683
0.0,73,0.171655
0.0,108,0.186429
0.0,234,0.218237
0.0,22,0.221249
0.0,52,0.228321
0.0,18,0.23078
0.0,97,0.244076
0.0,215,0.273401
0.0,122,0.290098
0.0,90,0.3024
0.0,101,0.316119
0.0,67,0.325266
0.0,89,0.337386
1.0,38,0.34257
0.0,27,0.346259
0.0,229,0.377638
0.0,220,0.407834
1.0,30,0.411943
0.0,189,0.437805
1.0,453,0.499969
0.0,287,0.539465
1.0,89,0.551658
0.0,8,0.552762
0.0,8,0.553872
0.0,39,0.559222
0.0,27,0.562922
1.0,321,0.607022
1.0,287,0.646724
0.0,985,0.781689
0.0,29,0.785676
0.0,95,0.79863
0.0,48,0.80519
0.0,41,0.810802
1.0,45,0.816972
1.0,147,0.837074
0.0,49,0.843796
0.0,278,0.882016
1.0,16,0.884236
0.0,90,0.896624
0.0,122,0.913383
0.0,21,0.916292
1.0,18,0.918765
0.0,25,0.922205
0.0,23,0.925369
0.0,49,0.932102
1.0,13,0.933888
1.0,142,0.9534
0.0,130,0.971333
0.0,120,0.98781
1.0,11,0.989328
0.0,24,0.992632
1.0,320,1.036612
0.0,101,1.050486
1.0,11,1.052
1.0,89,1.064226
0.0,271,1.101746
0.0,121,1.118416
1.0,13,1.120206
1.0,174,1.1441
0.0,113,1.159626
0.0,609,1.243686
0.0,7,1.24466
1.0,153,1.265665
0.0,131,1.283642
0.0,55,1.291177
1.0,11,1.29269
0.0,116,1.308651
0.0,70,1.318238
0.0,25,1.32167
1.0,11,1.323187
1.0,107,1.33794
0.0,68,1.347295
0.0,21,1.350183
1.0,11,1.351696
0.0,22,1.354717
1.0,41,1.360372
0.0,188,1.394508
1.0,13,1.396624
0.0,27,1.400446
1.0,158,1.422696
0.0,934,1.551889
1.0,11,1.55344
0.0,45,1.559641
0.0,50,1.566528
0.0,181,1.591462
1.0,11,1.592986
1.0,69,1.602513
1.0,111,1.617892
0.0,163,1.640603
1.0,11,1.642126
1.0,42,1.647912
0.0,15,1.649989
0.0,91,1.662455
1.0,11,1.663974
1.0,46,1.67032
1.0,91,1.68287
0.0,30,1.687
0.0,2,1.687281
1.0,47,1.693752
1.0,78,1.704484
0.0,4,1.705043
1.0,11,1.706561
1.0,93,1.71939
1.0,66,1.728469
0.0,186,1.754025
1.0,11,1.755549
0.0,54,1.762971
1.0,61,1.77136
0.0,196,1.798419
1.0,12,1.800091
1.0,36,1.80506
1.0,80,1.816103
0.0,130,1.834077
