total reward,steps,episodes
1.0,10000,1
0.0,20000,1
1.0,30000,2
0.0,40000,2
1.0,50000,3
1.0,60000,4
0.0,70000,4
1.0,80000,5
0.0,90000,5
2.0,100000,7
1.0,110000,8
2.0,120000,10
2.0,130000,12
3.0,140000,15
1.0,150000,16
2.0,160000,18
4.0,170000,22
2.0,180000,24
2.0,190000,26
2.0,200000,28
2.0,210000,30
1.0,220000,31
2.0,230000,33
3.0,240000,36
3.0,250000,39
3.0,260000,42
2.0,270000,44
2.0,280000,46
3.0,290000,49
1.0,300000,50
3.0,310000,53
4.0,320000,57
2.0,330000,59
3.0,340000,62
4.0,350000,66
2.0,360000,68
5.0,370000,73
3.0,380000,76
3.0,390000,79
4.0,400000,83
5.0,410000,88
4.0,420000,92
5.0,430000,97
5.0,440000,102
6.0,450000,108
4.0,460000,112
5.0,470000,117
5.0,480000,122
7.0,490000,129
7.0,500000,136
10.0,510000,146
7.0,520000,153
9.0,530000,162
9.0,540000,171
10.0,550000,181
5.0,560000,186
12.0,570000,198
11.0,580000,209
8.0,590000,217
11.0,600000,228
13.0,610000,241
18.0,620000,259
14.0,630000,273
20.0,640000,293
18.0,650000,311
20.0,660000,331
22.0,670000,353
28.0,680000,381
34.0,690000,415
37.0,700000,452
52.0,710000,504
57.0,720000,561
99.0,730000,660
128.0,740000,788
117.0,750000,905
141.0,760000,1046
120.0,770000,1166
141.0,780000,1307
145.0,790000,1452
144.0,800000,1596
148.0,810000,1744
154.0,820000,1898
159.0,830000,2057
159.0,840000,2216
161.0,850000,2377
158.0,860000,2535
159.0,870000,2694
161.0,880000,2855
159.0,890000,3014
161.0,900000,3175
156.0,910000,3331
145.0,920000,3476
159.0,930000,3635
160.0,940000,3795
158.0,950000,3952
159.0,960000,4112
160.0,970000,4272
159.0,980000,4431
160.0,990000,4591
160.0,1000000,4751
159.0,1010000,4910
153.0,1020000,5063
159.0,1030000,5222
161.0,1040000,5382
160.0,1050000,5543
159.0,1060000,5702
160.0,1070000,5862
159.0,1080000,6021
160.0,1090000,6181
153.0,1100000,6334
159.0,1110000,6493
158.0,1120000,6651
160.0,1130000,6811
160.0,1140000,6971
160.0,1150000,7131
159.0,1160000,7290
153.0,1170000,7443
160.0,1180000,7603
152.0,1190000,7755
153.0,1200000,7908
159.0,1210000,8067
159.0,1220000,8226
157.0,1230000,8383
157.0,1240000,8540
160.0,1250000,8700
158.0,1260000,8858
159.0,1270000,9017
159.0,1280000,9176
153.0,1290000,9329
153.0,1300000,9482
160.0,1310000,9642
151.0,1320000,9793
160.0,1330000,9953
158.0,1340000,10111
159.0,1350000,10270
160.0,1360000,10430
158.0,1370000,10588
157.0,1380000,10745
160.0,1390000,10905
159.0,1400000,11064
159.0,1410000,11223
160.0,1420000,11383
159.0,1430000,11542
158.0,1440000,11700
159.0,1450000,11859
160.0,1460000,12019
153.0,1470000,12172
160.0,1480000,12332
159.0,1490000,12491
158.0,1500000,12649
160.0,1510000,12809
158.0,1520000,12967
158.0,1530000,13125
158.0,1540000,13283
160.0,1550000,13443
156.0,1560000,13599
150.0,1570000,13749
160.0,1580000,13909
160.0,1590000,14069
160.0,1600000,14229
149.0,1610000,14378
157.0,1620000,14535
161.0,1630000,14696
158.0,1640000,14854
159.0,1650000,15013
160.0,1660000,15173
137.0,1670000,15310
153.0,1680000,15463
159.0,1690000,15621
159.0,1700000,15781
160.0,1710000,15941
157.0,1720000,16098
159.0,1730000,16257
154.0,1740000,16411
160.0,1750000,16571
159.0,1760000,16730
159.0,1770000,16889
159.0,1780000,17048
159.0,1790000,17207
159.0,1800000,17366
161.0,1810000,17527
158.0,1820000,17685
159.0,1830000,17844
158.0,1840000,18002
160.0,1850000,18162
157.0,1860000,18319
161.0,1870000,18480
159.0,1880000,18639
159.0,1890000,18798
158.0,1900000,18956
160.0,1910000,19116
159.0,1920000,19275
158.0,1930000,19433
160.0,1940000,19593
159.0,1950000,19752
158.0,1960000,19910
159.0,1970000,20069
150.0,1980000,20219
160.0,1990000,20379
158.0,2000000,20537
