steps,episodes,total reward
10000,1,1.0
20000,2,1.0
30000,3,1.0
40000,3,0.0
50000,3,0.0
60000,3,0.0
70000,3,0.0
80000,4,1.0
90000,4,0.0
100000,5,1.0
110000,7,2.0
120000,10,3.0
130000,11,1.0
140000,12,1.0
150000,13,1.0
160000,14,1.0
170000,17,3.0
180000,20,3.0
190000,22,2.0
200000,24,2.0
210000,26,2.0
220000,29,3.0
230000,31,2.0
240000,34,3.0
250000,37,3.0
260000,41,4.0
270000,43,2.0
280000,46,3.0
290000,47,1.0
300000,51,4.0
310000,54,3.0
320000,58,4.0
330000,63,5.0
340000,65,2.0
350000,68,3.0
360000,73,5.0
370000,76,3.0
380000,81,5.0
390000,84,3.0
400000,88,4.0
410000,92,4.0
420000,97,5.0
430000,102,5.0
440000,105,3.0
450000,110,5.0
460000,117,7.0
470000,120,3.0
480000,124,4.0
490000,129,5.0
500000,136,7.0
510000,146,10.0
520000,152,6.0
530000,159,7.0
540000,169,10.0
550000,178,9.0
560000,186,8.0
570000,197,11.0
580000,205,8.0
590000,216,11.0
600000,229,13.0
610000,243,14.0
620000,254,11.0
630000,271,17.0
640000,289,18.0
650000,308,19.0
660000,335,27.0
670000,362,27.0
680000,392,30.0
690000,422,30.0
700000,452,30.0
710000,492,40.0
720000,549,57.0
730000,650,101.0
740000,771,121.0
750000,904,133.0
760000,1050,146.0
770000,1187,137.0
780000,1336,150.0
790000,1466,129.0
800000,1617,151.0
810000,1775,158.0
820000,1931,156.0
830000,2082,151.0
840000,2232,150.0
850000,2391,159.0
860000,2547,156.0
870000,2698,151.0
880000,2856,158.0
890000,3016,160.0
900000,3169,153.0
910000,3328,159.0
920000,3485,157.0
930000,3637,152.0
940000,3791,154.0
950000,3950,159.0
960000,4109,159.0
970000,4269,160.0
980000,4429,160.0
990000,4588,159.0
1000000,4745,157.0
1010000,4894,149.0
1020000,5047,153.0
1030000,5207,160.0
1040000,5362,155.0
1050000,5522,160.0
1060000,5680,158.0
1070000,5839,159.0
1080000,5998,159.0
1090000,6148,150.0
1100000,6305,157.0
1110000,6465,160.0
1120000,6616,151.0
1130000,6771,155.0
1140000,6930,159.0
1150000,7089,159.0
1160000,7249,160.0
1170000,7409,160.0
1180000,7568,159.0
1190000,7728,160.0
1200000,7888,160.0
1210000,8050,162.0
1220000,8209,159.0
1230000,8369,160.0
1240000,8528,159.0
1250000,8686,158.0
1260000,8846,160.0
1270000,9002,156.0
1280000,9161,159.0
1290000,9317,156.0
1300000,9475,158.0
1310000,9620,145.0
1320000,9782,162.0
1330000,9940,158.0
1340000,10098,158.0
1350000,10258,160.0
1360000,10418,160.0
1370000,10577,159.0
1380000,10735,158.0
1390000,10896,161.0
1400000,11053,157.0
1410000,11211,158.0
1420000,11370,159.0
1430000,11530,160.0
1440000,11690,160.0
1450000,11849,159.0
1460000,12008,159.0
1470000,12169,161.0
1480000,12326,157.0
1490000,12485,159.0
1500000,12637,152.0
1510000,12794,157.0
1520000,12952,158.0
1530000,13108,156.0
1540000,13253,145.0
1550000,13412,159.0
1560000,13572,160.0
1570000,13730,158.0
1580000,13889,159.0
1590000,14048,159.0
1600000,14206,158.0
1610000,14366,160.0
1620000,14525,159.0
1630000,14683,158.0
1640000,14842,159.0
1650000,15002,160.0
1660000,15161,159.0
1670000,15319,158.0
1680000,15478,159.0
1690000,15638,160.0
1700000,15798,160.0
1710000,15956,158.0
1720000,16110,154.0
1730000,16269,159.0
1740000,16428,159.0
1750000,16586,158.0
1760000,16746,160.0
1770000,16906,160.0
1780000,17065,159.0
1790000,17223,158.0
1800000,17381,158.0
1810000,17541,160.0
1820000,17700,159.0
1830000,17855,155.0
1840000,18013,158.0
1850000,18172,159.0
1860000,18332,160.0
1870000,18492,160.0
1880000,18652,160.0
1890000,18812,160.0
1900000,18971,159.0
1910000,19130,159.0
1920000,19289,159.0
1930000,19449,160.0
1940000,19608,159.0
1950000,19766,158.0
1960000,19924,158.0
1970000,20083,159.0
1980000,20243,160.0
1990000,20398,155.0
2000000,20554,156.0
