steps,total reward,episodes
10000,1.0,1
20000,1.0,2
30000,0.0,2
40000,1.0,3
50000,1.0,4
60000,0.0,4
70000,0.0,4
80000,1.0,5
90000,2.0,7
100000,1.0,8
110000,3.0,11
120000,4.0,15
130000,1.0,16
140000,4.0,20
150000,2.0,22
160000,3.0,25
170000,2.0,27
180000,2.0,29
190000,2.0,31
200000,2.0,33
210000,3.0,36
220000,2.0,38
230000,2.0,40
240000,2.0,42
250000,6.0,48
260000,1.0,49
270000,7.0,56
280000,5.0,61
290000,5.0,66
300000,7.0,73
310000,6.0,79
320000,6.0,85
330000,6.0,91
340000,6.0,97
350000,6.0,103
360000,6.0,109
370000,7.0,116
380000,8.0,124
390000,9.0,133
400000,8.0,141
410000,7.0,148
420000,12.0,160
430000,7.0,167
440000,10.0,177
450000,12.0,189
460000,11.0,200
470000,12.0,212
480000,13.0,225
490000,14.0,239
500000,16.0,255
510000,17.0,272
520000,14.0,286
530000,17.0,303
540000,26.0,329
550000,25.0,354
560000,22.0,376
570000,35.0,411
580000,39.0,450
590000,45.0,495
600000,36.0,531
610000,46.0,577
620000,52.0,629
630000,64.0,693
640000,59.0,752
650000,69.0,821
660000,74.0,895
670000,73.0,968
680000,108.0,1076
690000,94.0,1170
700000,109.0,1279
710000,146.0,1425
720000,145.0,1570
730000,157.0,1727
740000,158.0,1885
750000,154.0,2039
760000,131.0,2170
770000,146.0,2316
780000,153.0,2469
790000,152.0,2621
800000,156.0,2777
810000,141.0,2918
820000,159.0,3077
830000,161.0,3238
840000,161.0,3399
850000,159.0,3558
860000,162.0,3720
870000,165.0,3885
880000,164.0,4049
890000,164.0,4213
900000,163.0,4376
910000,160.0,4536
920000,157.0,4693
930000,161.0,4854
940000,164.0,5018
950000,162.0,5180
960000,159.0,5339
970000,164.0,5503
980000,164.0,5667
990000,163.0,5830
1000000,165.0,5995
1010000,165.0,6160
1020000,164.0,6324
1030000,164.0,6488
1040000,162.0,6650
1050000,163.0,6813
1060000,163.0,6976
1070000,164.0,7140
1080000,164.0,7304
1090000,163.0,7467
1100000,162.0,7629
1110000,165.0,7794
1120000,166.0,7960
1130000,164.0,8124
1140000,163.0,8287
1150000,165.0,8452
1160000,162.0,8614
1170000,164.0,8778
1180000,163.0,8941
1190000,164.0,9105
1200000,165.0,9270
1210000,165.0,9435
1220000,163.0,9598
1230000,164.0,9762
1240000,156.0,9918
1250000,162.0,10080
1260000,162.0,10242
1270000,165.0,10407
1280000,163.0,10570
1290000,161.0,10731
1300000,165.0,10896
1310000,163.0,11059
1320000,162.0,11221
1330000,165.0,11386
1340000,163.0,11549
1350000,163.0,11712
1360000,163.0,11875
1370000,164.0,12039
1380000,163.0,12202
1390000,164.0,12366
1400000,157.0,12523
1410000,164.0,12687
1420000,164.0,12851
1430000,164.0,13015
1440000,165.0,13180
1450000,164.0,13344
1460000,152.0,13496
1470000,163.0,13659
1480000,163.0,13822
1490000,163.0,13985
1500000,165.0,14150
1510000,163.0,14313
1520000,165.0,14477
1530000,164.0,14642
1540000,163.0,14805
1550000,162.0,14967
1560000,164.0,15131
1570000,162.0,15293
1580000,163.0,15456
1590000,163.0,15619
1600000,164.0,15783
1610000,162.0,15945
1620000,163.0,16108
1630000,163.0,16271
1640000,163.0,16434
1650000,162.0,16596
1660000,164.0,16760
1670000,159.0,16919
1680000,163.0,17082
1690000,164.0,17246
1700000,162.0,17408
1710000,165.0,17573
1720000,163.0,17736
1730000,165.0,17901
1740000,164.0,18065
1750000,163.0,18228
1760000,164.0,18392
1770000,164.0,18556
1780000,164.0,18720
1790000,163.0,18883
1800000,162.0,19045
1810000,163.0,19208
1820000,163.0,19371
1830000,163.0,19534
1840000,163.0,19697
1850000,162.0,19859
1860000,152.0,20011
1870000,164.0,20175
1880000,162.0,20337
1890000,164.0,20501
1900000,165.0,20666
1910000,165.0,20831
1920000,163.0,20994
1930000,165.0,21159
1940000,164.0,21323
1950000,164.0,21487
1960000,164.0,21651
1970000,164.0,21815
1980000,164.0,21979
1990000,164.0,22143
2000000,164.0,22307
