episodes,steps,total reward
1,10000,1.0
2,20000,1.0
3,30000,1.0
3,40000,0.0
5,50000,2.0
6,60000,1.0
6,70000,0.0
6,80000,0.0
8,90000,2.0
11,100000,3.0
13,110000,2.0
14,120000,1.0
16,130000,2.0
18,140000,2.0
19,150000,1.0
21,160000,2.0
23,170000,2.0
26,180000,3.0
27,190000,1.0
29,200000,2.0
33,210000,4.0
36,220000,3.0
38,230000,2.0
41,240000,3.0
44,250000,3.0
48,260000,4.0
51,270000,3.0
53,280000,2.0
56,290000,3.0
58,300000,2.0
63,310000,5.0
70,320000,7.0
77,330000,7.0
83,340000,6.0
91,350000,8.0
98,360000,7.0
107,370000,9.0
112,380000,5.0
121,390000,9.0
128,400000,7.0
138,410000,10.0
144,420000,6.0
155,430000,11.0
167,440000,12.0
176,450000,9.0
186,460000,10.0
200,470000,14.0
212,480000,12.0
226,490000,14.0
244,500000,18.0
261,510000,17.0
281,520000,20.0
300,530000,19.0
326,540000,26.0
352,550000,26.0
381,560000,29.0
413,570000,32.0
446,580000,33.0
490,590000,45.0
533,600000,42.0
582,610000,49.0
631,620000,49.0
688,630000,57.0
749,640000,61.0
820,650000,71.0
892,660000,72.0
976,670000,84.0
1070,680000,94.0
1162,690000,92.0
1281,700000,119.0
1425,710000,144.0
1578,720000,153.0
1725,730000,147.0
1877,740000,152.0
2027,750000,150.0
2176,760000,149.0
2317,770000,141.0
2477,780000,160.0
2638,790000,161.0
2789,800000,151.0
2942,810000,153.0
3090,820000,148.0
3241,830000,151.0
3403,840000,162.0
3568,850000,165.0
3731,860000,163.0
3894,870000,163.0
4057,880000,163.0
4218,890000,161.0
4372,900000,154.0
4530,910000,158.0
4692,920000,162.0
4852,930000,160.0
5014,940000,162.0
5178,950000,164.0
5338,960000,160.0
5501,970000,163.0
5664,980000,163.0
5824,990000,160.0
5988,1000000,164.0
6152,1010000,164.0
6315,1020000,163.0
6475,1030000,160.0
6638,1040000,163.0
6802,1050000,164.0
6965,1060000,163.0
7128,1070000,163.0
7290,1080000,162.0
7453,1090000,163.0
7616,1100000,163.0
7780,1110000,164.0
7944,1120000,164.0
8108,1130000,164.0
8272,1140000,164.0
8436,1150000,164.0
8599,1160000,163.0
8764,1170000,165.0
8927,1180000,163.0
9090,1190000,163.0
9252,1200000,162.0
9416,1210000,164.0
9580,1220000,164.0
9743,1230000,163.0
9907,1240000,164.0
10070,1250000,163.0
10233,1260000,163.0
10397,1270000,164.0
10559,1280000,162.0
10722,1290000,163.0
10886,1300000,164.0
11048,1310000,162.0
11209,1320000,161.0
11372,1330000,163.0
11533,1340000,161.0
11697,1350000,164.0
11862,1360000,165.0
12025,1370000,163.0
12190,1380000,165.0
12354,1390000,164.0
12517,1400000,163.0
12679,1410000,162.0
12842,1420000,163.0
13007,1430000,165.0
13170,1440000,163.0
13333,1450000,163.0
13490,1460000,157.0
13655,1470000,165.0
13819,1480000,164.0
13982,1490000,163.0
14147,1500000,165.0
14310,1510000,163.0
14471,1520000,161.0
14637,1530000,166.0
14790,1540000,153.0
14953,1550000,163.0
15117,1560000,164.0
15281,1570000,164.0
15445,1580000,164.0
15608,1590000,163.0
15772,1600000,164.0
15936,1610000,164.0
16099,1620000,163.0
16263,1630000,164.0
16420,1640000,157.0
16584,1650000,164.0
16747,1660000,163.0
16911,1670000,164.0
17073,1680000,162.0
17237,1690000,164.0
17401,1700000,164.0
17563,1710000,162.0
17726,1720000,163.0
17890,1730000,164.0
18054,1740000,164.0
18218,1750000,164.0
18378,1760000,160.0
18541,1770000,163.0
18706,1780000,165.0
18868,1790000,162.0
19030,1800000,162.0
19193,1810000,163.0
19355,1820000,162.0
19518,1830000,163.0
19681,1840000,163.0
19846,1850000,165.0
20009,1860000,163.0
20173,1870000,164.0
20338,1880000,165.0
20502,1890000,164.0
20666,1900000,164.0
20830,1910000,164.0
20993,1920000,163.0
21157,1930000,164.0
21321,1940000,164.0
21485,1950000,164.0
21648,1960000,163.0
21811,1970000,163.0
21976,1980000,165.0
22140,1990000,164.0
22304,2000000,164.0
