#{"t_start": 1711687202.415382, "env_id": "Craft-single-M3-v0"}
r,l,t
1.0,4742,0.394032
1.0,24377,2.418612
1.0,6968,2.998334
1.0,10475,3.868183
1.0,13495,4.988702
1.0,23251,6.922409
1.0,8909,7.661933
1.0,3714,7.970079
1.0,6277,8.49086
1.0,3326,8.76888
1.0,6514,9.310227
1.0,5681,9.782982
1.0,5655,10.253566
1.0,7108,10.843777
1.0,3075,11.100434
1.0,3571,11.39705
1.0,4341,11.757786
1.0,9126,12.518039
1.0,2260,12.705588
1.0,4792,13.104567
1.0,2964,13.351428
1.0,10857,14.258043
1.0,3926,14.584478
1.0,3034,14.837611
1.0,6513,15.380708
1.0,3643,15.684135
1.0,6125,16.194924
1.0,2118,16.371318
1.0,2965,16.618144
1.0,5479,17.076903
1.0,7662,17.71567
1.0,4750,18.1113
1.0,6190,18.628151
1.0,1731,18.772492
1.0,2765,19.003245
1.0,4058,19.341809
1.0,1154,19.43791
1.0,7674,20.078433
1.0,5205,20.512723
1.0,1006,20.596636
1.0,1887,20.753867
1.0,2542,20.967166
1.0,2848,21.20588
1.0,3930,21.532794
1.0,3100,21.791737
1.0,3228,22.060432
1.0,1166,22.15791
1.0,4400,22.525684
1.0,4267,22.880859
1.0,5031,23.298651
1.0,6626,23.851851
1.0,609,23.90241
1.0,1821,24.05369
1.0,6275,24.577793
1.0,1349,24.690173
1.0,4095,25.032054
1.0,2559,25.245197
1.0,1651,25.382998
1.0,7734,26.025482
1.0,2850,26.262297
1.0,1267,26.36808
1.0,5429,26.821512
1.0,2668,27.043293
1.0,4000,27.376297
1.0,3246,27.648512
1.0,4041,27.984984
1.0,610,28.035864
1.0,4132,28.382492
1.0,4318,28.742245
1.0,2715,28.968444
1.0,1640,29.105394
1.0,8763,29.83753
1.0,2756,30.067332
1.0,5978,30.565874
1.0,319,30.592397
1.0,2860,30.830602
1.0,646,30.884787
1.0,4113,31.228923
1.0,1591,31.361337
1.0,793,31.427632
1.0,929,31.505125
1.0,3518,31.80059
1.0,2670,32.02396
1.0,1791,32.173866
1.0,5426,32.626347
1.0,1132,32.721293
1.0,4854,33.126452
1.0,2843,33.363812
1.0,755,33.427013
1.0,838,33.497357
1.0,4221,33.850278
1.0,700,33.908656
1.0,1520,34.035016
1.0,3637,34.338928
1.0,6220,34.858259
1.0,2207,35.042829
1.0,800,35.109739
1.0,4225,35.463113
1.0,1959,35.626574
1.0,950,35.705805
1.0,3751,36.020394
1.0,4083,36.362007
1.0,2315,36.554924
1.0,2423,36.757747
1.0,2545,36.971836
1.0,2987,37.221395
1.0,3729,37.531559
1.0,163,37.545236
1.0,3574,37.845235
1.0,640,37.898932
1.0,2543,38.110962
1.0,487,38.151845
1.0,5206,38.588334
1.0,2412,38.790271
1.0,2430,38.993136
1.0,164,39.006751
1.0,443,39.043475
1.0,232,39.062764
1.0,3355,39.343322
1.0,619,39.39483
1.0,343,39.423379
1.0,575,39.471313
1.0,913,39.547708
1.0,223,39.566484
1.0,211,39.584196
1.0,273,39.60709
1.0,1389,39.723551
1.0,269,39.746107
1.0,4061,40.085389
1.0,602,40.135819
1.0,559,40.182651
1.0,924,40.260219
1.0,988,40.34249
1.0,3337,40.621931
1.0,1292,40.729691
1.0,2611,40.947957
1.0,2273,41.138387
1.0,791,41.204489
1.0,854,41.276219
1.0,959,41.357015
1.0,793,41.423519
1.0,5349,41.872957
1.0,2377,42.071657
1.0,2378,42.269902
1.0,1198,42.369705
1.0,1854,42.524727
1.0,1665,42.663798
1.0,550,42.710028
1.0,842,42.780994
1.0,2458,42.986697
1.0,177,43.001492
1.0,535,43.046196
1.0,3062,43.302695
1.0,1107,43.395322
1.0,1787,43.544779
1.0,3344,43.824847
1.0,485,43.865436
1.0,3957,44.195842
1.0,942,44.274268
1.0,1683,44.415242
1.0,248,44.435963
1.0,1763,44.583465
1.0,514,44.626487
1.0,2075,44.800324
1.0,1370,44.915223
1.0,1445,45.036686
1.0,262,45.058529
1.0,681,45.115659
1.0,2359,45.313548
1.0,1727,45.456919
1.0,710,45.516375
1.0,183,45.531708
1.0,1373,45.647101
1.0,533,45.691459
1.0,640,45.744865
1.0,294,45.76963
1.0,1067,45.859261
1.0,689,45.917563
1.0,1583,46.05087
1.0,482,46.091531
1.0,122,46.101787
1.0,232,46.121239
1.0,1687,46.262529
1.0,2131,46.44171
1.0,639,46.494839
1.0,355,46.524449
1.0,195,46.540818
1.0,2898,46.783451
1.0,2305,46.97684
1.0,1990,47.142965
1.0,508,47.185365
1.0,1913,47.345018
1.0,877,47.418189
1.0,1674,47.557953
1.0,1618,47.693325
1.0,225,47.712255
1.0,464,47.751159
1.0,161,47.764648
1.0,267,47.787116
1.0,901,47.862753
1.0,2878,48.10518
1.0,642,48.158748
1.0,1382,48.274496
1.0,505,48.316559
1.0,736,48.378107
1.0,1490,48.504083
1.0,323,48.531212
1.0,133,48.542419
1.0,1790,48.696139
1.0,247,48.716779
1.0,3472,49.00668
1.0,743,49.068726
1.0,509,49.111255
1.0,127,49.121883
1.0,235,49.141564
1.0,161,49.155045
1.0,101,49.163502
1.0,557,49.210178
1.0,299,49.235383
1.0,2037,49.406208
1.0,588,49.455281
1.0,1703,49.597588
1.0,371,49.628613
1.0,716,49.688624
1.0,385,49.720903
1.0,1872,49.878229
1.0,221,49.896702
1.0,1093,49.988728
1.0,960,50.069083
1.0,204,50.08609
1.0,1540,50.215314
1.0,155,50.22836
1.0,190,50.244217
1.0,252,50.265272
1.0,1068,50.354976
1.0,1481,50.478994
1.0,1026,50.56487
1.0,576,50.613232
1.0,1424,50.732446
1.0,409,50.766657
1.0,199,50.783414
1.0,1361,50.897332
1.0,671,50.953935
1.0,130,50.96493
1.0,233,50.984457
1.0,165,50.998339
1.0,115,51.007944
1.0,1600,51.142369
1.0,518,51.186123
1.0,405,51.220097
1.0,157,51.233242
1.0,303,51.258676
1.0,137,51.270189
1.0,93,51.278024
1.0,141,51.289887
1.0,602,51.340686
1.0,761,51.405056
1.0,750,51.467888
1.0,150,51.480489
1.0,1362,51.595069
1.0,223,51.613753
1.0,654,51.66878
1.0,191,51.684841
1.0,107,51.6938
1.0,219,51.712147
1.0,2497,51.922387
1.0,645,51.976682
1.0,372,52.00782
1.0,224,52.026603
1.0,83,52.033555
1.0,247,52.054236
1.0,267,52.076659
1.0,718,52.136975
1.0,117,52.146789
1.0,1065,52.236366
1.0,227,52.255405
1.0,119,52.265414
1.0,539,52.310751
1.0,433,52.347291
1.0,592,52.396982
1.0,115,52.406605
1.0,181,52.421789
1.0,274,52.444809
1.0,187,52.460508
1.0,823,52.529651
1.0,127,52.540305
1.0,123,52.550638
1.0,1043,52.638753
1.0,201,52.65566
1.0,1314,52.766138
1.0,173,52.780686
1.0,687,52.838557
