total reward,episodes,steps
1.0,1,10000
1.0,2,20000
0.0,2,30000
1.0,3,40000
0.0,3,50000
1.0,4,60000
0.0,4,70000
0.0,4,80000
1.0,5,90000
1.0,6,100000
2.0,8,110000
1.0,9,120000
2.0,11,130000
1.0,12,140000
1.0,13,150000
2.0,15,160000
1.0,16,170000
2.0,18,180000
1.0,19,190000
1.0,20,200000
3.0,23,210000
1.0,24,220000
2.0,26,230000
3.0,29,240000
3.0,32,250000
2.0,34,260000
3.0,37,270000
2.0,39,280000
3.0,42,290000
2.0,44,300000
3.0,47,310000
3.0,50,320000
2.0,52,330000
3.0,55,340000
2.0,57,350000
6.0,63,360000
5.0,68,370000
3.0,71,380000
5.0,76,390000
4.0,80,400000
5.0,85,410000
6.0,91,420000
5.0,96,430000
6.0,102,440000
4.0,106,450000
6.0,112,460000
9.0,121,470000
7.0,128,480000
7.0,135,490000
7.0,142,500000
7.0,149,510000
5.0,154,520000
5.0,159,530000
11.0,170,540000
9.0,179,550000
12.0,191,560000
13.0,204,570000
12.0,216,580000
14.0,230,590000
13.0,243,600000
21.0,264,610000
19.0,283,620000
17.0,300,630000
28.0,328,640000
22.0,350,650000
28.0,378,660000
36.0,414,670000
32.0,446,680000
37.0,483,690000
34.0,517,700000
55.0,572,710000
50.0,622,720000
47.0,669,730000
60.0,729,740000
88.0,817,750000
135.0,952,760000
126.0,1078,770000
128.0,1206,780000
131.0,1337,790000
135.0,1472,800000
137.0,1609,810000
148.0,1757,820000
151.0,1908,830000
152.0,2060,840000
150.0,2210,850000
152.0,2362,860000
152.0,2514,870000
152.0,2666,880000
152.0,2818,890000
147.0,2965,900000
149.0,3114,910000
142.0,3256,920000
151.0,3407,930000
152.0,3559,940000
135.0,3694,950000
144.0,3838,960000
152.0,3990,970000
151.0,4141,980000
151.0,4292,990000
151.0,4443,1000000
151.0,4594,1010000
151.0,4745,1020000
152.0,4897,1030000
146.0,5043,1040000
149.0,5192,1050000
149.0,5341,1060000
152.0,5493,1070000
152.0,5645,1080000
151.0,5796,1090000
151.0,5947,1100000
153.0,6100,1110000
152.0,6252,1120000
151.0,6403,1130000
152.0,6555,1140000
151.0,6706,1150000
148.0,6854,1160000
150.0,7004,1170000
152.0,7156,1180000
152.0,7308,1190000
152.0,7460,1200000
152.0,7612,1210000
151.0,7763,1220000
152.0,7915,1230000
153.0,8068,1240000
152.0,8220,1250000
152.0,8372,1260000
152.0,8524,1270000
153.0,8676,1280000
151.0,8828,1290000
148.0,8976,1300000
151.0,9127,1310000
151.0,9278,1320000
152.0,9430,1330000
152.0,9582,1340000
135.0,9717,1350000
152.0,9869,1360000
151.0,10020,1370000
151.0,10171,1380000
153.0,10323,1390000
152.0,10476,1400000
152.0,10628,1410000
142.0,10770,1420000
152.0,10922,1430000
153.0,11075,1440000
149.0,11224,1450000
151.0,11375,1460000
151.0,11526,1470000
152.0,11678,1480000
151.0,11829,1490000
152.0,11981,1500000
152.0,12133,1510000
152.0,12285,1520000
150.0,12435,1530000
151.0,12586,1540000
149.0,12735,1550000
153.0,12888,1560000
152.0,13040,1570000
151.0,13191,1580000
150.0,13341,1590000
151.0,13492,1600000
151.0,13643,1610000
153.0,13796,1620000
152.0,13948,1630000
150.0,14098,1640000
152.0,14250,1650000
152.0,14402,1660000
151.0,14553,1670000
152.0,14705,1680000
150.0,14855,1690000
153.0,15008,1700000
151.0,15159,1710000
152.0,15311,1720000
152.0,15463,1730000
151.0,15614,1740000
152.0,15766,1750000
152.0,15918,1760000
153.0,16071,1770000
151.0,16222,1780000
152.0,16374,1790000
152.0,16526,1800000
152.0,16678,1810000
150.0,16828,1820000
152.0,16980,1830000
151.0,17131,1840000
152.0,17283,1850000
150.0,17433,1860000
152.0,17585,1870000
152.0,17737,1880000
151.0,17888,1890000
151.0,18039,1900000
152.0,18191,1910000
152.0,18343,1920000
151.0,18494,1930000
152.0,18646,1940000
153.0,18799,1950000
151.0,18950,1960000
152.0,19102,1970000
152.0,19254,1980000
153.0,19407,1990000
151.0,19558,2000000
