steps,episodes,total reward
10000,4,4.0
20000,4,0.0
30000,4,0.0
40000,5,1.0
50000,5,0.0
60000,6,1.0
70000,7,1.0
80000,8,1.0
90000,11,3.0
100000,15,4.0
110000,18,3.0
120000,23,5.0
130000,27,4.0
140000,29,2.0
150000,33,4.0
160000,36,3.0
170000,37,1.0
180000,44,7.0
190000,47,3.0
200000,48,1.0
210000,54,6.0
220000,57,3.0
230000,62,5.0
240000,65,3.0
250000,67,2.0
260000,75,8.0
270000,85,10.0
280000,88,3.0
290000,96,8.0
300000,104,8.0
310000,107,3.0
320000,113,6.0
330000,117,4.0
340000,117,0.0
350000,125,8.0
360000,129,4.0
370000,137,8.0
380000,147,10.0
390000,155,8.0
400000,158,3.0
410000,174,16.0
420000,178,4.0
430000,187,9.0
440000,188,1.0
450000,198,10.0
460000,208,10.0
470000,225,17.0
480000,238,13.0
490000,248,10.0
500000,258,10.0
510000,278,20.0
520000,297,19.0
530000,327,30.0
540000,348,21.0
550000,364,16.0
560000,377,13.0
570000,395,18.0
580000,417,22.0
590000,438,21.0
600000,474,36.0
610000,494,20.0
620000,508,14.0
630000,558,50.0
640000,584,26.0
650000,607,23.0
660000,657,50.0
670000,704,47.0
680000,728,24.0
690000,764,36.0
700000,807,43.0
710000,857,50.0
720000,927,70.0
730000,997,70.0
740000,1117,120.0
750000,1207,90.0
760000,1353,146.0
770000,1506,153.0
780000,1663,157.0
790000,1859,196.0
800000,2067,208.0
810000,2277,210.0
820000,2459,182.0
830000,2694,235.0
840000,2929,235.0
850000,3167,238.0
860000,3406,239.0
870000,3634,228.0
880000,3871,237.0
890000,4105,234.0
900000,4339,234.0
910000,4576,237.0
920000,4812,236.0
930000,5034,222.0
940000,5257,223.0
950000,5494,237.0
960000,5727,233.0
970000,5959,232.0
980000,6175,216.0
990000,6409,234.0
1000000,6647,238.0
1010000,6883,236.0
1020000,7117,234.0
1030000,7348,231.0
1040000,7585,237.0
1050000,7821,236.0
1060000,8058,237.0
1070000,8297,239.0
1080000,8533,236.0
1090000,8768,235.0
1100000,9006,238.0
1110000,9242,236.0
1120000,9476,234.0
1130000,9713,237.0
1140000,9949,236.0
1150000,10185,236.0
1160000,10417,233.0
1170000,10637,219.0
1180000,10875,239.0
1190000,11109,233.0
1200000,11346,237.0
1210000,11582,236.0
1220000,11815,233.0
1230000,12048,233.0
1240000,12284,236.0
1250000,12518,234.0
1260000,12756,238.0
1270000,12994,238.0
1280000,13228,234.0
1290000,13463,235.0
1300000,13697,235.0
1310000,13934,236.0
1320000,14169,235.0
1330000,14406,237.0
1340000,14641,235.0
1350000,14874,233.0
1360000,15107,233.0
1370000,15344,237.0
1380000,15578,234.0
1390000,15815,237.0
1400000,16050,235.0
1410000,16287,237.0
1420000,16523,236.0
1430000,16756,233.0
1440000,16992,236.0
1450000,17228,236.0
1460000,17465,237.0
1470000,17702,237.0
1480000,17934,232.0
1490000,18169,235.0
1500000,18406,237.0
1510000,18642,236.0
1520000,18878,236.0
1530000,19115,237.0
1540000,19350,235.0
1550000,19587,237.0
1560000,19819,232.0
1570000,20057,238.0
1580000,20289,232.0
1590000,20525,236.0
1600000,20758,233.0
1610000,20995,237.0
1620000,21232,237.0
1630000,21467,235.0
1640000,21703,236.0
1650000,21937,234.0
1660000,22173,236.0
1670000,22407,234.0
1680000,22642,235.0
1690000,22877,235.0
1700000,23110,233.0
1710000,23345,235.0
1720000,23578,233.0
1730000,23815,237.0
1740000,24051,236.0
1750000,24287,236.0
1760000,24524,237.0
1770000,24759,235.0
1780000,24997,238.0
1790000,25232,235.0
1800000,25465,233.0
1810000,25699,234.0
1820000,25937,238.0
1830000,26174,237.0
1840000,26409,235.0
1850000,26645,236.0
1860000,26880,235.0
1870000,27116,236.0
1880000,27353,237.0
1890000,27588,235.0
1900000,27825,237.0
1910000,28059,234.0
1920000,28295,236.0
1930000,28532,237.0
1940000,28768,236.0
1950000,29004,236.0
1960000,29238,234.0
1970000,29474,236.0
1980000,29708,234.0
1990000,29945,237.0
2000000,30177,232.0
