episodes,total reward,steps
3,3.0,10000
3,0.0,20000
5,2.0,30000
5,0.0,40000
6,1.0,50000
7,1.0,60000
8,1.0,70000
10,2.0,80000
12,2.0,90000
16,4.0,100000
17,1.0,110000
21,4.0,120000
24,3.0,130000
28,4.0,140000
33,5.0,150000
35,2.0,160000
39,4.0,170000
44,5.0,180000
47,3.0,190000
54,7.0,200000
59,5.0,210000
66,7.0,220000
74,8.0,230000
77,3.0,240000
84,7.0,250000
87,3.0,260000
97,10.0,270000
104,7.0,280000
107,3.0,290000
115,8.0,300000
119,4.0,310000
128,9.0,320000
137,9.0,330000
144,7.0,340000
147,3.0,350000
158,11.0,360000
167,9.0,370000
175,8.0,380000
184,9.0,390000
195,11.0,400000
204,9.0,410000
216,12.0,420000
228,12.0,430000
244,16.0,440000
257,13.0,450000
267,10.0,460000
278,11.0,470000
287,9.0,480000
304,17.0,490000
326,22.0,500000
347,21.0,510000
357,10.0,520000
377,20.0,530000
395,18.0,540000
407,12.0,550000
425,18.0,560000
448,23.0,570000
477,29.0,580000
498,21.0,590000
527,29.0,600000
548,21.0,610000
577,29.0,620000
607,30.0,630000
638,31.0,640000
674,36.0,650000
717,43.0,660000
738,21.0,670000
788,50.0,680000
852,64.0,690000
937,85.0,700000
1007,70.0,710000
1064,57.0,720000
1147,83.0,730000
1248,101.0,740000
1385,137.0,750000
1522,137.0,760000
1695,173.0,770000
1827,132.0,780000
1996,169.0,790000
2175,179.0,800000
2381,206.0,810000
2551,170.0,820000
2778,227.0,830000
3014,236.0,840000
3251,237.0,850000
3475,224.0,860000
3713,238.0,870000
3945,232.0,880000
4183,238.0,890000
4418,235.0,900000
4652,234.0,910000
4878,226.0,920000
5113,235.0,930000
5348,235.0,940000
5586,239.0,950000
5809,222.0,960000
6044,235.0,970000
6267,223.0,980000
6503,236.0,990000
6712,209.0,1000000
6947,235.0,1010000
7184,237.0,1020000
7417,233.0,1030000
7654,237.0,1040000
7891,237.0,1050000
8127,236.0,1060000
8364,237.0,1070000
8598,234.0,1080000
8836,238.0,1090000
9071,235.0,1100000
9307,236.0,1110000
9538,231.0,1120000
9776,238.0,1130000
10013,237.0,1140000
10248,235.0,1150000
10484,236.0,1160000
10715,231.0,1170000
10947,232.0,1180000
11185,238.0,1190000
11419,234.0,1200000
11654,235.0,1210000
11888,234.0,1220000
12125,237.0,1230000
12360,236.0,1240000
12597,236.0,1250000
12833,236.0,1260000
13068,235.0,1270000
13304,236.0,1280000
13541,237.0,1290000
13775,234.0,1300000
14008,233.0,1310000
14247,239.0,1320000
14483,236.0,1330000
14717,234.0,1340000
14955,238.0,1350000
15193,238.0,1360000
15428,235.0,1370000
15665,237.0,1380000
15897,232.0,1390000
16135,238.0,1400000
16370,235.0,1410000
16607,237.0,1420000
16843,236.0,1430000
17077,234.0,1440000
17314,237.0,1450000
17550,236.0,1460000
17788,238.0,1470000
18025,237.0,1480000
18264,239.0,1490000
18498,234.0,1500000
18737,239.0,1510000
18973,236.0,1520000
19208,235.0,1530000
19446,238.0,1540000
19683,237.0,1550000
19917,234.0,1560000
20154,237.0,1570000
20391,237.0,1580000
20628,237.0,1590000
20863,235.0,1600000
21097,234.0,1610000
21334,237.0,1620000
21571,237.0,1630000
21807,236.0,1640000
22046,239.0,1650000
22280,234.0,1660000
22518,238.0,1670000
22753,235.0,1680000
22988,235.0,1690000
23225,237.0,1700000
23462,237.0,1710000
23698,236.0,1720000
23934,236.0,1730000
24167,233.0,1740000
24404,237.0,1750000
24638,234.0,1760000
24875,237.0,1770000
25114,239.0,1780000
25349,235.0,1790000
25585,236.0,1800000
25824,239.0,1810000
26037,213.0,1820000
26271,234.0,1830000
26507,236.0,1840000
26743,236.0,1850000
26979,236.0,1860000
27215,236.0,1870000
27449,234.0,1880000
27687,238.0,1890000
27917,230.0,1900000
28153,236.0,1910000
28386,233.0,1920000
28622,236.0,1930000
28858,236.0,1940000
29094,236.0,1950000
29328,234.0,1960000
29564,237.0,1970000
29798,233.0,1980000
30034,236.0,1990000
30270,236.0,2000000
