#{"t_start": 1711637386.681091, "env_id": "Craft-M2-v0"}
r,l,t
1.0,3083,1.612778
1.0,658,1.957623
1.0,1166,2.567835
1.0,3483,4.394598
1.0,3222,6.098549
1.0,21916,17.630473
1.0,3895,19.710693
1.0,17667,29.178431
1.0,5429,32.175156
1.0,6090,35.537631
1.0,20197,46.705295
1.0,2702,48.186179
1.0,3103,49.883129
1.0,355,50.078771
1.0,2585,51.500586
1.0,2326,52.782544
1.0,2843,54.360424
1.0,4604,56.914189
1.0,4530,59.45705
1.0,1677,60.402938
1.0,962,60.948648
1.0,1102,61.575629
1.0,1444,62.396728
1.0,1981,63.533756
1.0,2469,64.948164
1.0,1965,66.062827
1.0,1497,66.909301
1.0,2550,68.354698
1.0,8532,73.153469
1.0,1263,73.866217
1.0,3217,75.681676
1.0,185,75.785537
1.0,299,75.953432
1.0,894,76.452333
1.0,819,76.910153
1.0,1636,77.82358
1.0,934,78.347831
1.0,6646,82.08108
1.0,3566,84.082871
1.0,408,84.314816
1.0,2041,85.473765
1.0,537,85.778974
1.0,1249,86.486339
1.0,1509,87.343958
1.0,1279,88.071408
1.0,1365,88.847697
1.0,1010,89.427664
1.0,5465,92.57167
1.0,562,92.897553
1.0,888,93.413082
1.0,3184,95.262083
1.0,446,95.523958
1.0,505,95.818798
1.0,797,96.28413
1.0,1193,96.980368
1.0,2077,98.184135
1.0,1967,99.323127
1.0,1675,100.296624
1.0,3331,102.227127
1.0,1267,102.959571
1.0,2567,104.4447
1.0,727,104.866228
1.0,293,105.036161
1.0,1660,106.020576
1.0,233,106.165457
1.0,966,106.761258
1.0,844,107.279073
1.0,12505,114.595613
1.0,5902,118.059765
1.0,2196,119.347208
1.0,268,119.504271
1.0,231,119.639753
1.0,1006,120.22682
1.0,266,120.383568
1.0,2192,121.665015
1.0,683,122.063597
1.0,589,122.407492
1.0,2467,123.849782
1.0,3415,125.884997
1.0,1113,126.549608
1.0,576,126.894843
1.0,67,126.935588
1.0,276,127.097754
1.0,1055,127.728958
1.0,3022,129.524634
1.0,831,130.014028
1.0,851,130.519358
1.0,1278,131.278414
1.0,3651,133.431566
1.0,1843,134.53346
1.0,346,134.741444
1.0,542,135.067398
1.0,507,135.369682
1.0,465,135.65238
1.0,609,136.023491
1.0,1857,137.148271
1.0,1304,137.931425
1.0,7672,142.46238
1.0,6036,146.004094
1.0,297,146.187876
1.0,198,146.310247
1.0,27,146.327129
1.0,512,146.636975
1.0,1206,147.3648
1.0,1459,148.24372
1.0,1027,148.86144
1.0,562,149.199617
1.0,2519,150.693984
1.0,1657,151.658881
1.0,1000,152.247251
1.0,1651,153.194828
1.0,49,153.222837
1.0,1062,153.823792
1.0,1062,154.427769
1.0,1244,155.131428
1.0,1755,156.123029
1.0,2462,157.525353
1.0,2278,158.823226
1.0,609,159.174421
1.0,918,159.702247
1.0,699,160.104908
1.0,25,160.119409
1.0,1894,161.213066
1.0,688,161.611083
1.0,1513,162.488315
1.0,595,162.833585
1.0,518,163.134589
1.0,5699,166.400017
1.0,1510,167.269991
1.0,342,167.467066
1.0,34,167.486847
1.0,19,167.49782
1.0,966,168.05366
1.0,1386,168.856433
1.0,671,169.24588
1.0,520,169.548699
1.0,1526,170.436239
1.0,4254,172.896731
1.0,2356,174.271824
1.0,156,174.363065
1.0,28,174.379491
1.0,23,174.392916
1.0,70,174.43382
1.0,708,174.845964
1.0,1443,175.686688
1.0,1561,176.596042
1.0,194,176.709418
