total reward,steps,episodes
2.0,10000,2
2.0,20000,4
1.0,30000,5
0.0,40000,5
1.0,50000,6
1.0,60000,7
1.0,70000,8
1.0,80000,9
2.0,90000,11
3.0,100000,14
3.0,110000,17
1.0,120000,18
5.0,130000,23
4.0,140000,27
1.0,150000,28
6.0,160000,34
3.0,170000,37
4.0,180000,41
6.0,190000,47
2.0,200000,49
6.0,210000,55
3.0,220000,58
9.0,230000,67
9.0,240000,76
7.0,250000,83
5.0,260000,88
10.0,270000,98
9.0,280000,107
8.0,290000,115
12.0,300000,127
8.0,310000,135
10.0,320000,145
10.0,330000,155
12.0,340000,167
12.0,350000,179
9.0,360000,188
19.0,370000,207
10.0,380000,217
17.0,390000,234
14.0,400000,248
19.0,410000,267
10.0,420000,277
11.0,430000,288
20.0,440000,308
27.0,450000,335
12.0,460000,347
20.0,470000,367
21.0,480000,388
29.0,490000,417
20.0,500000,437
30.0,510000,467
20.0,520000,487
20.0,530000,507
20.0,540000,527
40.0,550000,567
31.0,560000,598
39.0,570000,637
31.0,580000,668
49.0,590000,717
48.0,600000,765
43.0,610000,808
50.0,620000,858
59.0,630000,917
70.0,640000,987
50.0,650000,1037
65.0,660000,1102
64.0,670000,1166
61.0,680000,1227
60.0,690000,1287
52.0,700000,1339
78.0,710000,1417
62.0,720000,1479
88.0,730000,1567
110.0,740000,1677
80.0,750000,1757
80.0,760000,1837
90.0,770000,1927
76.0,780000,2003
75.0,790000,2078
99.0,800000,2177
110.0,810000,2287
131.0,820000,2418
99.0,830000,2517
116.0,840000,2633
114.0,850000,2747
139.0,860000,2886
134.0,870000,3020
148.0,880000,3168
156.0,890000,3324
163.0,900000,3487
138.0,910000,3625
174.0,920000,3799
138.0,930000,3937
163.0,940000,4100
174.0,950000,4274
163.0,960000,4437
171.0,970000,4608
180.0,980000,4788
197.0,990000,4985
163.0,1000000,5148
199.0,1010000,5347
177.0,1020000,5524
198.0,1030000,5722
205.0,1040000,5927
205.0,1050000,6132
214.0,1060000,6346
208.0,1070000,6554
223.0,1080000,6777
221.0,1090000,6998
221.0,1100000,7219
222.0,1110000,7441
220.0,1120000,7661
219.0,1130000,7880
223.0,1140000,8103
210.0,1150000,8313
223.0,1160000,8535
216.0,1170000,8752
221.0,1180000,8973
220.0,1190000,9193
213.0,1200000,9406
222.0,1210000,9628
225.0,1220000,9853
223.0,1230000,10076
221.0,1240000,10297
214.0,1250000,10511
223.0,1260000,10734
223.0,1270000,10957
223.0,1280000,11180
223.0,1290000,11403
219.0,1300000,11622
222.0,1310000,11844
223.0,1320000,12067
221.0,1330000,12288
222.0,1340000,12510
218.0,1350000,12728
220.0,1360000,12948
225.0,1370000,13173
221.0,1380000,13394
219.0,1390000,13613
220.0,1400000,13833
222.0,1410000,14055
224.0,1420000,14279
224.0,1430000,14503
223.0,1440000,14726
223.0,1450000,14949
223.0,1460000,15171
221.0,1470000,15393
224.0,1480000,15617
220.0,1490000,15837
223.0,1500000,16060
225.0,1510000,16285
221.0,1520000,16506
221.0,1530000,16727
221.0,1540000,16948
223.0,1550000,17171
222.0,1560000,17393
221.0,1570000,17614
221.0,1580000,17834
221.0,1590000,18056
223.0,1600000,18279
221.0,1610000,18500
222.0,1620000,18722
224.0,1630000,18946
221.0,1640000,19167
221.0,1650000,19388
222.0,1660000,19610
222.0,1670000,19832
222.0,1680000,20054
222.0,1690000,20276
223.0,1700000,20499
223.0,1710000,20722
222.0,1720000,20944
221.0,1730000,21165
223.0,1740000,21388
224.0,1750000,21612
221.0,1760000,21833
222.0,1770000,22055
221.0,1780000,22276
220.0,1790000,22496
222.0,1800000,22718
222.0,1810000,22940
222.0,1820000,23162
223.0,1830000,23385
223.0,1840000,23608
222.0,1850000,23830
221.0,1860000,24051
224.0,1870000,24275
222.0,1880000,24497
221.0,1890000,24718
220.0,1900000,24938
224.0,1910000,25162
221.0,1920000,25383
224.0,1930000,25607
222.0,1940000,25829
224.0,1950000,26053
222.0,1960000,26275
221.0,1970000,26496
222.0,1980000,26718
220.0,1990000,26938
225.0,2000000,27163
