total reward,episodes,steps
1.0,1,10000
3.0,4,20000
1.0,5,30000
0.0,5,40000
0.0,5,50000
2.0,7,60000
0.0,7,70000
1.0,8,80000
2.0,10,90000
2.0,12,100000
5.0,17,110000
2.0,19,120000
6.0,25,130000
3.0,28,140000
3.0,31,150000
5.0,36,160000
3.0,39,170000
4.0,43,180000
5.0,48,190000
5.0,53,200000
3.0,56,210000
1.0,57,220000
5.0,62,230000
4.0,66,240000
4.0,70,250000
8.0,78,260000
8.0,86,270000
8.0,94,280000
4.0,98,290000
8.0,106,300000
2.0,108,310000
9.0,117,320000
1.0,118,330000
8.0,126,340000
9.0,135,350000
10.0,145,360000
6.0,151,370000
9.0,160,380000
14.0,174,390000
9.0,183,400000
8.0,191,410000
6.0,197,420000
10.0,207,430000
17.0,224,440000
10.0,234,450000
13.0,247,460000
17.0,264,470000
14.0,278,480000
20.0,298,490000
19.0,317,500000
20.0,337,510000
20.0,357,520000
20.0,377,530000
20.0,397,540000
20.0,417,550000
20.0,437,560000
21.0,458,570000
29.0,487,580000
28.0,515,590000
32.0,547,600000
21.0,568,610000
30.0,598,620000
36.0,634,630000
43.0,677,640000
30.0,707,650000
40.0,747,660000
40.0,787,670000
60.0,847,680000
41.0,888,690000
57.0,945,700000
49.0,994,710000
53.0,1047,720000
57.0,1104,730000
73.0,1177,740000
70.0,1247,750000
70.0,1317,760000
69.0,1386,770000
101.0,1487,780000
117.0,1604,790000
120.0,1724,800000
128.0,1852,810000
76.0,1928,820000
129.0,2057,830000
110.0,2167,840000
110.0,2277,850000
130.0,2407,860000
144.0,2551,870000
126.0,2677,880000
158.0,2835,890000
146.0,2981,900000
132.0,3113,910000
161.0,3274,920000
141.0,3415,930000
162.0,3577,940000
154.0,3731,950000
173.0,3904,960000
159.0,4063,970000
184.0,4247,980000
171.0,4418,990000
189.0,4607,1000000
183.0,4790,1010000
167.0,4957,1020000
170.0,5127,1030000
214.0,5341,1040000
219.0,5560,1050000
213.0,5773,1060000
215.0,5988,1070000
217.0,6205,1080000
219.0,6424,1090000
181.0,6605,1100000
218.0,6823,1110000
219.0,7042,1120000
211.0,7253,1130000
211.0,7464,1140000
211.0,7675,1150000
212.0,7887,1160000
206.0,8093,1170000
219.0,8312,1180000
215.0,8527,1190000
208.0,8735,1200000
216.0,8951,1210000
217.0,9168,1220000
217.0,9385,1230000
218.0,9603,1240000
221.0,9824,1250000
201.0,10025,1260000
220.0,10245,1270000
218.0,10463,1280000
215.0,10678,1290000
219.0,10897,1300000
216.0,11113,1310000
210.0,11323,1320000
218.0,11541,1330000
216.0,11757,1340000
214.0,11971,1350000
196.0,12167,1360000
215.0,12382,1370000
218.0,12600,1380000
218.0,12818,1390000
210.0,13028,1400000
218.0,13246,1410000
218.0,13464,1420000
216.0,13680,1430000
218.0,13898,1440000
220.0,14118,1450000
219.0,14337,1460000
218.0,14555,1470000
211.0,14766,1480000
218.0,14984,1490000
220.0,15204,1500000
218.0,15422,1510000
219.0,15641,1520000
219.0,15860,1530000
218.0,16078,1540000
219.0,16297,1550000
218.0,16515,1560000
218.0,16733,1570000
215.0,16948,1580000
220.0,17168,1590000
216.0,17384,1600000
220.0,17604,1610000
220.0,17824,1620000
216.0,18040,1630000
220.0,18260,1640000
220.0,18480,1650000
214.0,18694,1660000
218.0,18912,1670000
216.0,19128,1680000
219.0,19347,1690000
220.0,19567,1700000
211.0,19778,1710000
219.0,19997,1720000
218.0,20215,1730000
218.0,20433,1740000
216.0,20649,1750000
218.0,20867,1760000
218.0,21085,1770000
217.0,21302,1780000
216.0,21518,1790000
218.0,21736,1800000
219.0,21955,1810000
219.0,22174,1820000
217.0,22391,1830000
219.0,22610,1840000
218.0,22828,1850000
219.0,23047,1860000
219.0,23266,1870000
219.0,23485,1880000
220.0,23705,1890000
215.0,23920,1900000
217.0,24137,1910000
209.0,24346,1920000
220.0,24566,1930000
218.0,24784,1940000
220.0,25004,1950000
216.0,25220,1960000
218.0,25438,1970000
220.0,25658,1980000
219.0,25877,1990000
219.0,26096,2000000
