steps,total reward,episodes
10000,2.0,2
20000,1.0,3
30000,0.0,3
40000,0.0,3
50000,1.0,4
60000,0.0,4
70000,0.0,4
80000,1.0,5
90000,1.0,6
100000,2.0,8
110000,2.0,10
120000,4.0,14
130000,3.0,17
140000,2.0,19
150000,5.0,24
160000,3.0,27
170000,3.0,30
180000,7.0,37
190000,3.0,40
200000,5.0,45
210000,8.0,53
220000,2.0,55
230000,9.0,64
240000,4.0,68
250000,7.0,75
260000,5.0,80
270000,7.0,87
280000,7.0,94
290000,4.0,98
300000,8.0,106
310000,9.0,115
320000,8.0,123
330000,5.0,128
340000,7.0,135
350000,6.0,141
360000,13.0,154
370000,13.0,167
380000,10.0,177
390000,11.0,188
400000,15.0,203
410000,5.0,208
420000,17.0,225
430000,13.0,238
440000,16.0,254
450000,13.0,267
460000,11.0,278
470000,19.0,297
480000,17.0,314
490000,13.0,327
500000,11.0,338
510000,17.0,355
520000,13.0,368
530000,19.0,387
540000,21.0,408
550000,20.0,428
560000,29.0,457
570000,20.0,477
580000,37.0,514
590000,23.0,537
600000,28.0,565
610000,22.0,587
620000,40.0,627
630000,30.0,657
640000,40.0,697
650000,41.0,738
660000,47.0,785
670000,43.0,828
680000,40.0,868
690000,50.0,918
700000,59.0,977
710000,51.0,1028
720000,50.0,1078
730000,59.0,1137
740000,67.0,1204
750000,78.0,1282
760000,75.0,1357
770000,91.0,1448
780000,89.0,1537
790000,110.0,1647
800000,120.0,1767
810000,100.0,1867
820000,130.0,1997
830000,100.0,2097
840000,125.0,2222
850000,110.0,2332
860000,115.0,2447
870000,148.0,2595
880000,142.0,2737
890000,130.0,2867
900000,157.0,3024
910000,159.0,3183
920000,154.0,3337
930000,130.0,3467
940000,158.0,3625
950000,162.0,3787
960000,170.0,3957
970000,167.0,4124
980000,167.0,4291
990000,176.0,4467
1000000,166.0,4633
1010000,164.0,4797
1020000,190.0,4987
1030000,190.0,5177
1040000,200.0,5377
1050000,219.0,5596
1060000,214.0,5810
1070000,214.0,6024
1080000,217.0,6241
1090000,217.0,6458
1100000,214.0,6672
1110000,218.0,6890
1120000,215.0,7105
1130000,217.0,7321
1140000,218.0,7540
1150000,202.0,7742
1160000,218.0,7960
1170000,212.0,8172
1180000,195.0,8367
1190000,215.0,8582
1200000,209.0,8791
1210000,216.0,9007
1220000,215.0,9222
1230000,215.0,9437
1240000,199.0,9636
1250000,219.0,9855
1260000,213.0,10068
1270000,209.0,10277
1280000,217.0,10494
1290000,221.0,10715
1300000,216.0,10931
1310000,216.0,11147
1320000,205.0,11352
1330000,217.0,11569
1340000,216.0,11785
1350000,218.0,12003
1360000,218.0,12221
1370000,216.0,12437
1380000,210.0,12647
1390000,210.0,12857
1400000,218.0,13075
1410000,212.0,13287
1420000,201.0,13488
1430000,207.0,13695
1440000,216.0,13911
1450000,217.0,14128
1460000,219.0,14347
1470000,220.0,14567
1480000,217.0,14784
1490000,219.0,15003
1500000,218.0,15221
1510000,216.0,15437
1520000,205.0,15642
1530000,217.0,15859
1540000,219.0,16078
1550000,219.0,16297
1560000,222.0,16519
1570000,218.0,16737
1580000,218.0,16955
1590000,218.0,17173
1600000,212.0,17385
1610000,218.0,17603
1620000,220.0,17823
1630000,214.0,18037
1640000,220.0,18257
1650000,219.0,18476
1660000,218.0,18694
1670000,215.0,18909
1680000,219.0,19128
1690000,219.0,19347
1700000,220.0,19567
1710000,220.0,19787
1720000,218.0,20005
1730000,219.0,20224
1740000,219.0,20443
1750000,221.0,20664
1760000,220.0,20884
1770000,219.0,21103
1780000,220.0,21323
1790000,220.0,21543
1800000,215.0,21758
1810000,217.0,21975
1820000,218.0,22193
1830000,217.0,22410
1840000,220.0,22630
1850000,218.0,22848
1860000,220.0,23068
1870000,208.0,23276
1880000,218.0,23494
1890000,220.0,23714
1900000,217.0,23931
1910000,217.0,24148
1920000,219.0,24367
1930000,220.0,24587
1940000,218.0,24805
1950000,220.0,25025
1960000,217.0,25242
1970000,218.0,25460
1980000,221.0,25680
1990000,217.0,25898
2000000,220.0,26118
