#{"t_start": 1711482463.5795121, "env_id": "Office-single-v0"}
r,l,t
0.0,17,0.001489
0.0,21,0.002828
0.0,45,0.005599
0.0,18,0.006684
0.0,22,0.007963
0.0,19,0.009089
0.0,13,0.009857
0.0,26,0.01137
0.0,39,0.013622
0.0,38,0.015819
0.0,4,0.016064
0.0,106,0.02178
0.0,11,0.022381
0.0,52,0.025171
0.0,51,0.027894
0.0,81,0.032068
0.0,45,0.034411
0.0,63,0.037627
0.0,150,0.045228
0.0,47,0.047609
0.0,116,0.053485
0.0,64,0.056761
0.0,74,0.060531
0.0,31,0.06213
0.0,18,0.063062
0.0,137,0.070048
0.0,20,0.071083
0.0,71,0.074689
0.0,16,0.075517
0.0,98,0.080502
0.0,27,0.081868
0.0,100,0.086901
0.0,17,0.087778
0.0,210,0.098386
0.0,14,0.099131
0.0,62,0.102284
0.0,168,0.110811
0.0,48,0.113279
0.0,34,0.115048
0.0,19,0.116025
1.0,562,0.144377
0.0,125,0.150671
1.0,558,0.178972
0.0,29,0.180449
0.0,182,0.189556
0.0,61,0.192653
0.0,187,0.20212
0.0,43,0.204297
0.0,147,0.211748
1.0,222,0.222951
1.0,204,0.233339
0.0,92,0.23801
0.0,23,0.239182
1.0,306,0.254621
1.0,263,0.26793
0.0,32,0.269562
0.0,21,0.270639
0.0,82,0.274795
0.0,11,0.275368
0.0,122,0.28154
0.0,9,0.282005
1.0,232,0.293737
1.0,190,0.303339
0.0,89,0.30784
0.0,80,0.3119
0.0,234,0.323772
0.0,95,0.328547
0.0,33,0.330223
0.0,32,0.331848
0.0,20,0.332867
0.0,57,0.335745
0.0,25,0.337018
0.0,78,0.340961
0.0,7,0.341339
0.0,166,0.349728
0.0,86,0.354079
0.0,102,0.359262
0.0,80,0.363333
0.0,31,0.36491
1.0,118,0.370887
1.0,163,0.379178
0.0,83,0.383361
1.0,151,0.391031
0.0,218,0.402036
1.0,363,0.420383
1.0,288,0.434935
0.0,110,0.44047
0.0,23,0.441641
0.0,83,0.445846
1.0,182,0.455065
0.0,155,0.462908
0.0,163,0.471148
0.0,26,0.472468
1.0,112,0.478139
1.0,190,0.487768
1.0,194,0.497616
1.0,280,0.519941
0.0,38,0.522097
0.0,68,0.525712
1.0,176,0.535058
1.0,166,0.543667
0.0,4,0.543894
1.0,134,0.550766
1.0,157,0.558879
0.0,99,0.563983
0.0,58,0.566976
0.0,228,0.578661
0.0,39,0.580701
0.0,229,0.592476
0.0,50,0.595079
1.0,178,0.604197
1.0,201,0.614501
1.0,117,0.620514
1.0,120,0.626674
0.0,2,0.626788
0.0,42,0.628934
0.0,43,0.631193
0.0,9,0.631662
1.0,165,0.640086
0.0,22,0.641235
0.0,107,0.646719
0.0,123,0.653039
1.0,120,0.659183
1.0,52,0.661847
0.0,15,0.662623
1.0,97,0.667589
0.0,32,0.669235
1.0,165,0.677694
1.0,78,0.681708
1.0,155,0.68966
0.0,32,0.691321
1.0,64,0.6946
1.0,129,0.701203
0.0,30,0.702749
1.0,108,0.708287
1.0,106,0.713694
1.0,89,0.71825
0.0,90,0.722852
1.0,210,0.733606
0.0,61,0.736729
1.0,90,0.741343
0.0,22,0.742477
0.0,170,0.751172
0.0,25,0.752463
1.0,49,0.754992
1.0,77,0.758938
1.0,89,0.763497
1.0,89,0.768044
1.0,85,0.772401
0.0,20,0.773439
1.0,87,0.777893
1.0,80,0.781989
0.0,12,0.782613
0.0,12,0.783239
0.0,215,0.794244
0.0,17,0.795126
0.0,23,0.796311
1.0,103,0.801571
1.0,43,0.803778
1.0,48,0.806232
0.0,69,0.809771
0.0,54,0.81255
0.0,34,0.81431
1.0,101,0.819478
1.0,64,0.822759
0.0,37,0.824672
1.0,103,0.829935
1.0,69,0.833477
0.0,87,0.837943
1.0,46,0.8403
1.0,111,0.846003
0.0,12,0.846631
0.0,57,0.849548
1.0,56,0.852407
1.0,49,0.854913
1.0,151,0.862647
0.0,34,0.864395
1.0,30,0.865935
1.0,38,0.867886
0.0,12,0.868511
1.0,44,0.870757
1.0,75,0.8746
1.0,56,0.877466
1.0,343,0.894995
1.0,30,0.896534
1.0,47,0.898934
1.0,69,0.902451
0.0,20,0.903488
1.0,54,0.906244
1.0,44,0.908507
0.0,20,0.909536
0.0,22,0.910667
1.0,34,0.912401
0.0,21,0.913484
1.0,32,0.915125
1.0,37,0.917016
1.0,45,0.919315
1.0,126,0.925758
1.0,41,0.92786
1.0,26,0.929192
0.0,15,0.929967
1.0,29,0.931449
0.0,7,0.931815
1.0,45,0.934117
1.0,32,0.935755
0.0,54,0.938507
1.0,28,0.939936
1.0,42,0.942091
1.0,30,0.943632
1.0,77,0.947554
0.0,13,0.948231
1.0,34,0.949972
1.0,125,0.956386
1.0,38,0.958343
1.0,31,0.959931
1.0,32,0.961569
1.0,55,0.964388
0.0,27,0.965774
1.0,26,0.967109
1.0,55,0.969917
1.0,30,0.971457
1.0,154,0.979328
1.0,26,0.980673
0.0,7,0.981039
1.0,49,0.983553
1.0,23,0.984738
1.0,68,0.988222
1.0,40,0.99027
0.0,14,0.990991
1.0,50,0.993555
1.0,28,0.994995
1.0,163,1.003325
