#{"t_start": 1711473453.321735, "env_id": "Office-v0"}
r,l,t
0.0,8,0.001725
0.0,22,0.005343
0.0,41,0.011659
0.0,27,0.015685
0.0,10,0.017115
0.0,42,0.023147
0.0,20,0.026042
0.0,18,0.028544
0.0,34,0.033261
0.0,67,0.042337
0.0,30,0.046352
1.0,44,0.052196
0.0,53,0.059288
0.0,121,0.075511
0.0,63,0.083931
0.0,38,0.088964
0.0,80,0.09963
0.0,41,0.105083
0.0,118,0.120823
1.0,123,0.137219
0.0,124,0.153774
0.0,159,0.17487
0.0,114,0.190066
1.0,68,0.199105
0.0,81,0.209876
0.0,17,0.212129
0.0,19,0.214642
1.0,55,0.221946
0.0,131,0.239316
0.0,93,0.251758
1.0,134,0.269779
0.0,22,0.272715
0.0,54,0.279889
1.0,135,0.297972
0.0,123,0.314307
1.0,128,0.331389
1.0,352,0.378366
0.0,194,0.404254
0.0,25,0.407583
0.0,9,0.408798
0.0,23,0.411872
0.0,22,0.414836
0.0,335,0.459862
1.0,28,0.463629
0.0,73,0.473424
0.0,203,0.500764
1.0,294,0.540219
0.0,15,0.542234
0.0,143,0.561793
1.0,172,0.587926
0.0,60,0.596645
1.0,87,0.608736
1.0,209,0.636769
0.0,102,0.650454
1.0,163,0.672297
0.0,2,0.672579
0.0,74,0.682532
0.0,27,0.686166
0.0,12,0.687772
1.0,34,0.692342
0.0,424,0.749468
0.0,158,0.77058
0.0,235,0.802065
1.0,45,0.808082
1.0,135,0.826454
0.0,91,0.838655
0.0,48,0.845101
1.0,24,0.848318
0.0,93,0.8608
1.0,239,0.89292
0.0,34,0.897477
1.0,82,0.90845
1.0,267,0.944355
1.0,252,0.978155
0.0,94,0.990812
1.0,61,0.999013
0.0,36,1.003833
1.0,98,1.017017
1.0,234,1.048395
1.0,19,1.050955
1.0,124,1.067622
0.0,98,1.080738
0.0,18,1.083153
0.0,25,1.086507
0.0,36,1.091331
0.0,85,1.102669
0.0,139,1.121428
1.0,13,1.12318
0.0,84,1.134423
0.0,130,1.151839
0.0,108,1.16632
0.0,6,1.167134
1.0,165,1.189294
0.0,160,1.210777
0.0,64,1.220008
1.0,11,1.22166
0.0,20,1.224566
1.0,248,1.260865
0.0,601,1.342115
1.0,11,1.343615
0.0,47,1.349955
0.0,21,1.352792
0.0,76,1.371328
0.0,9,1.373156
0.0,54,1.380665
0.0,33,1.385202
0.0,139,1.404091
1.0,11,1.405672
0.0,95,1.418411
0.0,20,1.421107
0.0,313,1.463371
1.0,12,1.465063
0.0,197,1.491552
1.0,228,1.522243
0.0,230,1.553212
1.0,12,1.554826
1.0,65,1.563603
0.0,90,1.575727
0.0,38,1.580835
0.0,2,1.581109
1.0,158,1.602362
0.0,24,1.605607
0.0,51,1.612443
1.0,11,1.613933
0.0,58,1.621746
0.0,11,1.623231
0.0,212,1.651899
0.0,4,1.652449
0.0,59,1.660375
0.0,24,1.663616
1.0,133,1.681498
1.0,11,1.682988
0.0,67,1.69199
1.0,145,1.711561
0.0,160,1.733111
1.0,14,1.734995
1.0,84,1.746287
1.0,100,1.759734
0.0,356,1.807757
1.0,11,1.809246
0.0,81,1.820075
0.0,63,1.828798
0.0,58,1.836551
1.0,12,1.838156
0.0,145,1.857591
1.0,120,1.87368
0.0,8,1.874758
1.0,11,1.876247
0.0,101,1.891089
1.0,117,1.908493
0.0,266,1.94523
1.0,14,1.947156
0.0,35,1.951884
1.0,93,1.964471
1.0,129,1.981825
1.0,13,1.983634
1.0,78,1.99414
0.0,58,2.001941
0.0,434,2.060537
1.0,16,2.06271
1.0,80,2.073496
0.0,27,2.077123
0.0,17,2.079414
1.0,12,2.081047
1.0,68,2.09023
0.0,6,2.091045
1.0,51,2.097913
1.0,11,2.099397
0.0,19,2.101963
1.0,86,2.113609
1.0,63,2.122096
1.0,11,2.123583
1.0,120,2.139723
1.0,51,2.146622
0.0,401,2.200694
1.0,13,2.202449
1.0,68,2.211577
1.0,55,2.219009
0.0,18,2.221424
0.0,2,2.221701
1.0,72,2.231383
0.0,39,2.236635
0.0,176,2.260324
1.0,11,2.261823
0.0,16,2.263983
1.0,47,2.270311
1.0,58,2.278138
0.0,2,2.278412
