#{"t_start": 1711476728.219981, "env_id": "Office-v0"}
r,l,t
0.0,15,0.002936
0.0,11,0.004819
0.0,5,0.005671
0.0,57,0.014566
0.0,34,0.019597
0.0,80,0.031008
0.0,11,0.032541
0.0,59,0.040726
0.0,19,0.043319
0.0,80,0.053987
0.0,53,0.061091
0.0,21,0.06391
0.0,92,0.076184
0.0,13,0.077927
0.0,29,0.08179
0.0,43,0.087532
0.0,86,0.09906
0.0,91,0.111192
0.0,49,0.117738
1.0,89,0.129576
0.0,46,0.135703
0.0,80,0.146362
0.0,4,0.146904
0.0,75,0.156899
0.0,74,0.166762
0.0,121,0.182913
0.0,94,0.195412
1.0,60,0.20343
0.0,9,0.204637
0.0,4,0.20518
0.0,142,0.224139
0.0,73,0.233869
0.0,120,0.249886
0.0,33,0.254281
0.0,37,0.259212
0.0,44,0.265081
1.0,67,0.274055
0.0,33,0.27844
0.0,16,0.280568
1.0,29,0.284421
0.0,78,0.294748
0.0,124,0.311311
0.0,47,0.31757
1.0,137,0.335933
1.0,480,0.400209
0.0,8,0.401295
0.0,379,0.452117
1.0,122,0.468463
0.0,127,0.485524
0.0,5,0.48621
1.0,250,0.519915
1.0,617,0.603098
0.0,10,0.60445
0.0,35,0.609155
0.0,105,0.623183
1.0,38,0.628283
0.0,7,0.629228
1.0,136,0.647514
0.0,79,0.658102
1.0,35,0.662801
1.0,174,0.686188
0.0,53,0.693323
0.0,22,0.696275
1.0,89,0.708205
1.0,256,0.742676
1.0,215,0.77157
0.0,528,0.843118
0.0,73,0.852926
1.0,268,0.888948
0.0,288,0.927707
0.0,38,0.932813
1.0,91,0.945013
1.0,386,0.99689
0.0,92,1.009198
0.0,401,1.06327
0.0,30,1.067302
0.0,10,1.06865
1.0,360,1.116989
0.0,43,1.12277
1.0,31,1.126929
0.0,459,1.188632
0.0,32,1.192929
1.0,192,1.218726
1.0,39,1.223986
1.0,193,1.249887
0.0,40,1.255263
0.0,91,1.267456
1.0,71,1.276951
0.0,38,1.282016
0.0,40,1.287373
0.0,16,1.289536
1.0,14,1.291422
0.0,21,1.294231
0.0,205,1.321789
0.0,122,1.338093
1.0,15,1.340122
1.0,72,1.357797
0.0,30,1.362438
1.0,237,1.39567
1.0,12,1.397388
0.0,42,1.40326
1.0,99,1.417145
1.0,159,1.439322
0.0,4,1.439891
1.0,88,1.452182
1.0,259,1.48839
0.0,57,1.496326
1.0,15,1.498417
0.0,91,1.511126
0.0,74,1.521426
0.0,28,1.525325
1.0,12,1.526999
1.0,180,1.552132
0.0,184,1.577831
0.0,465,1.643004
1.0,11,1.644548
1.0,61,1.653026
0.0,58,1.661087
0.0,286,1.700957
1.0,11,1.702498
0.0,60,1.710841
0.0,69,1.720413
0.0,190,1.746926
1.0,11,1.748465
0.0,75,1.7589
1.0,152,1.780107
0.0,152,1.801276
0.0,9,1.802543
0.0,25,1.806027
0.0,69,1.815645
0.0,240,1.849528
1.0,13,1.851346
1.0,49,1.858177
1.0,91,1.870828
0.0,481,1.93801
0.0,6,1.938865
1.0,91,1.951494
1.0,62,1.960103
0.0,8,1.961223
0.0,2,1.961506
1.0,112,1.977051
0.0,265,2.014039
0.0,73,2.02417
1.0,11,2.025704
1.0,75,2.036128
1.0,77,2.046833
1.0,86,2.058812
1.0,11,2.060351
0.0,116,2.076532
1.0,94,2.089638
0.0,409,2.146636
1.0,11,2.148173
1.0,101,2.16224
1.0,69,2.171828
0.0,196,2.199192
1.0,11,2.200726
1.0,88,2.212952
0.0,22,2.21604
1.0,62,2.224684
1.0,13,2.226493
0.0,78,2.237303
1.0,60,2.245664
1.0,93,2.25862
1.0,14,2.260577
1.0,101,2.274675
0.0,8,2.275795
0.0,116,2.292002
1.0,17,2.294368
0.0,21,2.297293
1.0,180,2.322471
1.0,51,2.329583
1.0,11,2.33112
1.0,42,2.336987
0.0,128,2.354976
0.0,39,2.360415
0.0,7,2.361402
1.0,54,2.36895
1.0,40,2.374541
0.0,287,2.414553
0.0,4,2.415122
1.0,38,2.420439
0.0,58,2.428493
1.0,57,2.43646
0.0,8,2.43759
0.0,9,2.438846
0.0,7,2.439834
0.0,296,2.481305
1.0,16,2.483536
0.0,12,2.485212
0.0,20,2.487998
0.0,467,2.553273
1.0,13,2.5551
0.0,28,2.559001
0.0,14,2.560958
0.0,37,2.566118
1.0,11,2.567651
1.0,41,2.573374
0.0,21,2.576299
0.0,14,2.578249
1.0,14,2.580202
1.0,102,2.594418
1.0,39,2.59986
0.0,5,2.60056
1.0,11,2.602095
1.0,42,2.607962
1.0,162,2.630619
0.0,204,2.659099
1.0,11,2.660643
1.0,57,2.668573
1.0,34,2.673332
0.0,451,2.736207
1.0,13,2.738021
1.0,32,2.742487
1.0,28,2.746385
1.0,38,2.752066
1.0,14,2.754004
1.0,72,2.764037
0.0,9,2.765294
0.0,673,2.859446
1.0,11,2.861019
0.0,7,2.862027
1.0,25,2.865525
1.0,58,2.873591
0.0,7,2.874572
0.0,14,2.87652
1.0,31,2.880837
1.0,29,2.884882
1.0,18,2.887378
1.0,27,2.891164
1.0,45,2.897407
0.0,150,2.918211
1.0,12,2.919885
1.0,23,2.923085
1.0,33,2.927664
1.0,41,2.933392
1.0,13,2.935206
1.0,29,2.939255
1.0,27,2.943009
0.0,6,2.943865
1.0,13,2.945674
1.0,25,2.949151
1.0,36,2.95415
0.0,47,2.960678
1.0,12,2.962342
1.0,25,2.965814
1.0,23,2.96901
0.0,112,2.984551
1.0,12,2.98621
0.0,16,2.988441
1.0,99,3.002207
0.0,1474,3.207142
0.0,7,3.208126
1.0,37,3.213241
1.0,31,3.217531
0.0,35,3.222387
1.0,11,3.223918
1.0,25,3.227388
1.0,25,3.230863
0.0,715,3.330077
1.0,13,3.331877
0.0,6,3.332714
1.0,28,3.336599
0.0,163,3.359194
1.0,11,3.360731
1.0,29,3.364765
1.0,30,3.368947
0.0,118,3.385336
1.0,13,3.387145
1.0,25,3.39064
1.0,33,3.39524
1.0,57,3.403155
1.0,11,3.404686
0.0,6,3.40553
1.0,23,3.408732
1.0,42,3.414573
1.0,11,3.416109
1.0,26,3.419733
0.0,20,3.422529
1.0,31,3.426854
1.0,13,3.428663
0.0,12,3.430345
1.0,25,3.433826
1.0,39,3.43928
1.0,11,3.440813
1.0,25,3.444294
1.0,31,3.448606
0.0,16,3.450855
1.0,12,3.452523
0.0,13,3.454333
1.0,31,3.458642
0.0,23,3.461846
1.0,13,3.463655
1.0,28,3.467559
0.0,19,3.47019
0.0,23,3.473406
1.0,15,3.475489
1.0,25,3.478973
1.0,24,3.482319
1.0,31,3.48664
1.0,11,3.488183
1.0,27,3.491944
1.0,27,3.495702
1.0,29,3.499753
1.0,11,3.501284
1.0,23,3.504488
1.0,23,3.507682
1.0,28,3.511583
1.0,12,3.513252
1.0,23,3.516479
