steps,episodes,total reward
10000,1,1.0
20000,1,0.0
30000,2,1.0
40000,3,1.0
50000,3,0.0
60000,4,1.0
70000,4,0.0
80000,5,1.0
90000,5,0.0
100000,5,0.0
110000,5,0.0
120000,6,1.0
130000,6,0.0
140000,7,1.0
150000,7,0.0
160000,7,0.0
170000,7,0.0
180000,7,0.0
190000,8,1.0
200000,8,0.0
210000,8,0.0
220000,8,0.0
230000,9,1.0
240000,10,1.0
250000,12,2.0
260000,13,1.0
270000,14,1.0
280000,15,1.0
290000,16,1.0
300000,20,4.0
310000,25,5.0
320000,32,7.0
330000,42,10.0
340000,48,6.0
350000,61,13.0
360000,83,22.0
370000,102,19.0
380000,130,28.0
390000,162,32.0
400000,200,38.0
410000,244,44.0
420000,298,54.0
430000,360,62.0
440000,431,71.0
450000,507,76.0
460000,600,93.0
470000,702,102.0
480000,814,112.0
490000,947,133.0
500000,1073,126.0
510000,1202,129.0
520000,1320,118.0
530000,1461,141.0
540000,1584,123.0
550000,1714,130.0
560000,1845,131.0
570000,1986,141.0
580000,2129,143.0
590000,2272,143.0
600000,2416,144.0
610000,2553,137.0
620000,2692,139.0
630000,2836,145.0
640000,2979,142.0
650000,3126,147.0
660000,3268,142.0
670000,3414,146.0
680000,3558,144.0
690000,3705,147.0
700000,3845,140.0
710000,3990,145.0
720000,4133,143.0
730000,4273,140.0
740000,4419,146.0
750000,4561,142.0
760000,4709,148.0
770000,4848,139.0
780000,4990,142.0
790000,5129,139.0
800000,5275,146.0
810000,5422,147.0
820000,5564,142.0
830000,5707,143.0
840000,5854,147.0
850000,5996,142.0
860000,6138,142.0
870000,6283,145.0
880000,6430,147.0
890000,6573,143.0
900000,6719,146.0
910000,6864,145.0
920000,7008,144.0
930000,7151,143.0
940000,7294,143.0
950000,7439,145.0
960000,7585,146.0
970000,7725,140.0
980000,7868,143.0
990000,8016,148.0
1000000,8162,146.0
1010000,8310,148.0
1020000,8456,146.0
1030000,8601,145.0
1040000,8738,137.0
1050000,8884,146.0
1060000,9023,139.0
1070000,9169,146.0
1080000,9314,145.0
1090000,9460,146.0
1100000,9605,145.0
1110000,9751,146.0
1120000,9892,142.0
1130000,10037,144.0
1140000,10183,146.0
1150000,10329,146.0
1160000,10476,147.0
1170000,10622,146.0
1180000,10768,146.0
1190000,10914,146.0
1200000,11058,144.0
1210000,11202,144.0
1220000,11349,147.0
1230000,11496,147.0
1240000,11643,147.0
1250000,11789,146.0
1260000,11936,147.0
1270000,12081,145.0
1280000,12226,145.0
1290000,12373,147.0
1300000,12519,146.0
1310000,12664,145.0
1320000,12810,146.0
1330000,12954,144.0
1340000,13100,146.0
1350000,13245,145.0
1360000,13389,144.0
1370000,13533,144.0
1380000,13676,143.0
1390000,13823,147.0
1400000,13970,147.0
1410000,14116,146.0
1420000,14261,145.0
1430000,14409,148.0
1440000,14554,145.0
1450000,14701,147.0
1460000,14846,145.0
1470000,14992,146.0
1480000,15138,146.0
1490000,15281,143.0
1500000,15428,147.0
1510000,15576,148.0
1520000,15723,147.0
1530000,15868,145.0
1540000,16015,147.0
1550000,16159,144.0
1560000,16300,141.0
1570000,16444,144.0
1580000,16591,147.0
1590000,16736,145.0
1600000,16881,145.0
1610000,17027,146.0
1620000,17175,148.0
1630000,17322,147.0
1640000,17469,147.0
1650000,17616,147.0
1660000,17762,146.0
1670000,17908,146.0
1680000,18053,145.0
1690000,18197,144.0
1700000,18341,144.0
1710000,18484,143.0
1720000,18631,147.0
1730000,18778,147.0
1740000,18923,145.0
1750000,19068,145.0
1760000,19213,145.0
1770000,19359,146.0
1780000,19504,145.0
1790000,19649,145.0
1800000,19796,147.0
1810000,19945,149.0
1820000,20090,145.0
1830000,20237,147.0
1840000,20384,147.0
1850000,20528,144.0
1860000,20672,144.0
1870000,20820,148.0
1880000,20969,149.0
1890000,21113,144.0
1900000,21260,147.0
1910000,21406,146.0
1920000,21549,143.0
1930000,21696,147.0
1940000,21843,147.0
1950000,21987,144.0
1960000,22134,147.0
1970000,22281,147.0
1980000,22427,146.0
1990000,22574,147.0
2000000,22721,147.0
