total reward,episodes,steps
1.0,1,10000
0.0,1,20000
1.0,2,30000
0.0,2,40000
0.0,2,50000
1.0,3,60000
0.0,3,70000
0.0,3,80000
1.0,4,90000
0.0,4,100000
0.0,4,110000
1.0,5,120000
0.0,5,130000
1.0,6,140000
0.0,6,150000
0.0,6,160000
0.0,6,170000
1.0,7,180000
0.0,7,190000
0.0,7,200000
0.0,7,210000
0.0,7,220000
0.0,7,230000
0.0,7,240000
0.0,7,250000
1.0,8,260000
0.0,8,270000
1.0,9,280000
3.0,12,290000
1.0,13,300000
3.0,16,310000
5.0,21,320000
9.0,30,330000
11.0,41,340000
12.0,53,350000
16.0,69,360000
24.0,93,370000
25.0,118,380000
34.0,152,390000
33.0,185,400000
47.0,232,410000
59.0,291,420000
58.0,349,430000
79.0,428,440000
67.0,495,450000
74.0,569,460000
92.0,661,470000
98.0,759,480000
114.0,873,490000
135.0,1008,500000
128.0,1136,510000
133.0,1269,520000
128.0,1397,530000
135.0,1532,540000
126.0,1658,550000
133.0,1791,560000
130.0,1921,570000
146.0,2067,580000
140.0,2207,590000
142.0,2349,600000
147.0,2496,610000
142.0,2637,620000
138.0,2776,630000
143.0,2919,640000
141.0,3060,650000
142.0,3202,660000
138.0,3340,670000
145.0,3485,680000
145.0,3630,690000
146.0,3776,700000
145.0,3921,710000
145.0,4066,720000
145.0,4211,730000
140.0,4351,740000
143.0,4494,750000
140.0,4634,760000
143.0,4777,770000
141.0,4918,780000
146.0,5064,790000
146.0,5210,800000
146.0,5356,810000
146.0,5502,820000
144.0,5646,830000
140.0,5786,840000
140.0,5926,850000
138.0,6064,860000
146.0,6210,870000
145.0,6355,880000
143.0,6498,890000
146.0,6644,900000
146.0,6790,910000
146.0,6936,920000
146.0,7082,930000
145.0,7227,940000
149.0,7376,950000
145.0,7521,960000
146.0,7667,970000
145.0,7812,980000
136.0,7948,990000
147.0,8095,1000000
145.0,8240,1010000
147.0,8387,1020000
147.0,8534,1030000
134.0,8668,1040000
143.0,8811,1050000
143.0,8954,1060000
144.0,9098,1070000
146.0,9244,1080000
145.0,9389,1090000
144.0,9533,1100000
147.0,9680,1110000
147.0,9827,1120000
147.0,9974,1130000
147.0,10121,1140000
148.0,10269,1150000
146.0,10415,1160000
146.0,10561,1170000
146.0,10707,1180000
148.0,10855,1190000
144.0,10999,1200000
147.0,11146,1210000
144.0,11290,1220000
141.0,11431,1230000
147.0,11578,1240000
145.0,11723,1250000
144.0,11867,1260000
144.0,12011,1270000
146.0,12157,1280000
147.0,12304,1290000
145.0,12449,1300000
148.0,12597,1310000
146.0,12743,1320000
145.0,12888,1330000
149.0,13037,1340000
141.0,13178,1350000
144.0,13322,1360000
145.0,13467,1370000
147.0,13614,1380000
145.0,13759,1390000
146.0,13905,1400000
148.0,14053,1410000
145.0,14198,1420000
147.0,14345,1430000
145.0,14490,1440000
148.0,14638,1450000
145.0,14783,1460000
146.0,14929,1470000
146.0,15075,1480000
147.0,15222,1490000
144.0,15366,1500000
148.0,15514,1510000
142.0,15656,1520000
142.0,15798,1530000
147.0,15945,1540000
142.0,16087,1550000
147.0,16234,1560000
147.0,16381,1570000
146.0,16527,1580000
146.0,16673,1590000
138.0,16811,1600000
145.0,16956,1610000
146.0,17102,1620000
147.0,17249,1630000
143.0,17392,1640000
147.0,17539,1650000
148.0,17687,1660000
146.0,17833,1670000
146.0,17979,1680000
147.0,18126,1690000
147.0,18273,1700000
140.0,18413,1710000
146.0,18559,1720000
146.0,18705,1730000
145.0,18850,1740000
144.0,18994,1750000
148.0,19142,1760000
145.0,19287,1770000
146.0,19433,1780000
147.0,19580,1790000
143.0,19723,1800000
145.0,19868,1810000
147.0,20015,1820000
145.0,20160,1830000
147.0,20307,1840000
145.0,20452,1850000
147.0,20599,1860000
146.0,20745,1870000
145.0,20890,1880000
146.0,21036,1890000
147.0,21183,1900000
145.0,21328,1910000
148.0,21476,1920000
145.0,21621,1930000
144.0,21765,1940000
146.0,21911,1950000
146.0,22057,1960000
146.0,22203,1970000
143.0,22346,1980000
146.0,22492,1990000
147.0,22639,2000000
