steps,total reward,episodes
10000,1.0,1
20000,0.0,1
30000,1.0,2
40000,0.0,2
50000,0.0,2
60000,1.0,3
70000,1.0,4
80000,0.0,4
90000,0.0,4
100000,1.0,5
110000,0.0,5
120000,1.0,6
130000,0.0,6
140000,0.0,6
150000,0.0,6
160000,0.0,6
170000,1.0,7
180000,0.0,7
190000,0.0,7
200000,0.0,7
210000,1.0,8
220000,2.0,10
230000,2.0,12
240000,0.0,12
250000,0.0,12
260000,1.0,13
270000,1.0,14
280000,0.0,14
290000,0.0,14
300000,3.0,17
310000,6.0,23
320000,4.0,27
330000,10.0,37
340000,12.0,49
350000,18.0,67
360000,16.0,83
370000,26.0,108
380000,26.0,135
390000,30.0,165
400000,38.0,203
410000,42.0,245
420000,50.0,295
430000,49.0,344
440000,56.0,400
450000,61.0,461
460000,73.0,534
470000,98.0,632
480000,77.0,709
490000,105.0,814
500000,112.0,926
510000,121.0,1047
520000,125.0,1172
530000,140.0,1312
540000,142.0,1454
550000,130.0,1584
560000,138.0,1722
570000,136.0,1858
580000,132.0,1990
590000,141.0,2131
600000,147.0,2278
610000,145.0,2423
620000,142.0,2565
630000,140.0,2705
640000,146.0,2851
650000,138.0,2989
660000,145.0,3134
670000,145.0,3279
680000,142.0,3421
690000,145.0,3566
700000,142.0,3708
710000,141.0,3849
720000,147.0,3996
730000,145.0,4141
740000,146.0,4287
750000,144.0,4430
760000,145.0,4576
770000,142.0,4718
780000,145.0,4863
790000,147.0,5010
800000,145.0,5155
810000,145.0,5300
820000,146.0,5446
830000,145.0,5591
840000,146.0,5737
850000,135.0,5872
860000,143.0,6015
870000,145.0,6160
880000,145.0,6305
890000,146.0,6451
900000,148.0,6599
910000,147.0,6746
920000,146.0,6892
930000,148.0,7040
940000,146.0,7186
950000,144.0,7330
960000,141.0,7471
970000,141.0,7612
980000,147.0,7759
990000,147.0,7906
1000000,145.0,8051
1010000,146.0,8197
1020000,146.0,8343
1030000,147.0,8490
1040000,147.0,8637
1050000,146.0,8783
1060000,146.0,8929
1070000,144.0,9073
1080000,147.0,9220
1090000,146.0,9366
1100000,147.0,9513
1110000,146.0,9659
1120000,146.0,9805
1130000,145.0,9950
1140000,146.0,10096
1150000,143.0,10239
1160000,145.0,10384
1170000,145.0,10529
1180000,142.0,10671
1190000,143.0,10814
1200000,145.0,10959
1210000,143.0,11102
1220000,147.0,11249
1230000,145.0,11394
1240000,148.0,11542
1250000,143.0,11685
1260000,145.0,11830
1270000,144.0,11974
1280000,147.0,12121
1290000,148.0,12269
1300000,145.0,12414
1310000,142.0,12556
1320000,143.0,12699
1330000,144.0,12843
1340000,143.0,12986
1350000,146.0,13132
1360000,147.0,13279
1370000,145.0,13424
1380000,147.0,13571
1390000,142.0,13713
1400000,146.0,13859
1410000,145.0,14004
1420000,146.0,14150
1430000,146.0,14296
1440000,147.0,14443
1450000,146.0,14589
1460000,148.0,14737
1470000,147.0,14884
1480000,144.0,15028
1490000,145.0,15173
1500000,142.0,15315
1510000,144.0,15459
1520000,146.0,15605
1530000,147.0,15752
1540000,146.0,15898
1550000,146.0,16044
1560000,145.0,16189
1570000,145.0,16334
1580000,145.0,16479
1590000,146.0,16625
1600000,147.0,16772
1610000,148.0,16920
1620000,147.0,17067
1630000,148.0,17215
1640000,144.0,17359
1650000,145.0,17504
1660000,147.0,17651
1670000,146.0,17797
1680000,145.0,17942
1690000,147.0,18089
1700000,147.0,18236
1710000,146.0,18382
1720000,146.0,18528
1730000,148.0,18676
1740000,148.0,18824
1750000,143.0,18967
1760000,146.0,19113
1770000,145.0,19258
1780000,145.0,19403
1790000,145.0,19548
1800000,143.0,19691
1810000,143.0,19834
1820000,144.0,19978
1830000,146.0,20124
1840000,146.0,20270
1850000,148.0,20418
1860000,145.0,20563
1870000,144.0,20707
1880000,147.0,20854
1890000,145.0,20999
1900000,148.0,21147
1910000,145.0,21292
1920000,145.0,21437
1930000,146.0,21583
1940000,146.0,21729
1950000,146.0,21875
1960000,147.0,22022
1970000,145.0,22167
1980000,147.0,22314
1990000,145.0,22459
2000000,148.0,22607
