#{"t_start": 1711649795.8828511, "env_id": "Craft-single-M2-v0"}
r,l,t
1.0,14326,1.793451
1.0,37029,6.405522
1.0,28234,9.91896
1.0,23879,12.896187
1.0,7867,13.877417
1.0,29938,17.608978
1.0,59643,25.063779
1.0,36166,29.556673
1.0,17771,31.767853
1.0,10174,33.042259
1.0,8934,34.157556
1.0,10913,35.525224
1.0,5620,36.223054
1.0,3537,36.663063
1.0,11314,38.07935
1.0,3242,38.483289
1.0,9279,39.637931
1.0,351,39.681531
1.0,787,39.779939
1.0,579,39.852397
1.0,3460,40.287735
1.0,1388,40.461468
1.0,419,40.513961
1.0,3753,40.984259
1.0,1610,41.185314
1.0,2614,41.514289
1.0,956,41.634021
1.0,1523,41.825055
1.0,1114,41.964323
1.0,714,42.053339
1.0,980,42.175925
1.0,863,42.284607
1.0,180,42.307224
1.0,939,42.424699
1.0,1102,42.563372
1.0,586,42.637211
1.0,944,42.755673
1.0,357,42.800145
1.0,1017,42.927701
1.0,740,43.020606
1.0,505,43.08389
1.0,1576,43.282145
1.0,638,43.362317
1.0,905,43.475612
1.0,3045,43.857795
1.0,655,43.940407
1.0,448,43.996545
1.0,1593,44.196479
1.0,286,44.23271
1.0,293,44.269424
1.0,385,44.317611
1.0,588,44.391318
1.0,435,44.445914
1.0,527,44.511955
1.0,500,44.574491
1.0,904,44.688175
1.0,389,44.736909
1.0,1075,44.871767
1.0,423,44.924743
1.0,793,45.024592
1.0,681,45.110396
1.0,265,45.143528
1.0,190,45.167436
1.0,597,45.242824
1.0,947,45.361566
1.0,320,45.401728
1.0,690,45.48837
1.0,299,45.525585
1.0,439,45.580701
1.0,274,45.615133
1.0,937,45.732476
1.0,629,45.811241
1.0,1366,45.982597
1.0,265,46.015878
1.0,773,46.112901
1.0,142,46.130683
1.0,171,46.152199
1.0,472,46.211392
1.0,468,46.270713
1.0,273,46.305212
1.0,461,46.362903
1.0,347,46.406539
1.0,557,46.476578
1.0,251,46.508072
1.0,176,46.530123
1.0,237,46.559724
1.0,567,46.630699
1.0,128,46.646804
1.0,693,46.733804
1.0,942,46.852058
1.0,127,46.867931
1.0,293,46.904604
1.0,471,46.963675
1.0,316,47.003112
1.0,141,47.020568
1.0,139,47.037986
1.0,358,47.082785
1.0,118,47.097532
1.0,140,47.115047
1.0,267,47.148561
1.0,500,47.21078
1.0,1196,47.361387
1.0,170,47.382708
1.0,140,47.400289
1.0,220,47.427877
1.0,270,47.4617
1.0,240,47.491909
1.0,328,47.53314
1.0,166,47.554046
1.0,255,47.586021
1.0,185,47.609091
1.0,1503,47.797805
1.0,220,47.825334
1.0,782,47.923531
1.0,400,47.973678
1.0,243,48.004065
1.0,136,48.021159
1.0,971,48.143097
1.0,241,48.173523
1.0,1014,48.300768
1.0,116,48.315359
1.0,153,48.334496
1.0,408,48.38554
1.0,104,48.39844
1.0,374,48.445179
1.0,691,48.53193
1.0,280,48.567039
1.0,273,48.601232
1.0,1347,48.770903
1.0,269,48.80482
1.0,203,48.830283
1.0,172,48.851833
1.0,149,48.870432
1.0,502,48.933564
1.0,204,48.959142
1.0,279,48.994246
1.0,351,49.038375
1.0,301,49.07605
1.0,326,49.116959
1.0,146,49.135228
1.0,198,49.159897
1.0,134,49.176617
1.0,148,49.195119
1.0,335,49.237575
1.0,218,49.264915
1.0,137,49.282102
1.0,207,49.308042
1.0,318,49.347882
1.0,351,49.39183
1.0,175,49.413746
1.0,350,49.457559
1.0,431,49.511536
1.0,347,49.554952
1.0,124,49.570454
1.0,239,49.600384
1.0,214,49.627283
1.0,1323,49.793055
1.0,137,49.810112
1.0,192,49.834232
1.0,169,49.855279
1.0,111,49.869125
1.0,343,49.912028
1.0,94,49.923788
1.0,481,49.984136
1.0,96,49.996209
1.0,623,50.074346
1.0,156,50.09395
1.0,190,50.117755
1.0,368,50.163743
1.0,261,50.196287
1.0,127,50.212164
1.0,1300,50.374331
1.0,122,50.389569
1.0,191,50.413438
1.0,341,50.456004
1.0,664,50.538826
1.0,360,50.583826
1.0,186,50.607117
1.0,132,50.623585
1.0,615,50.700448
1.0,205,50.726059
1.0,224,50.753953
1.0,291,50.790227
1.0,206,50.815909
1.0,83,50.826251
1.0,428,50.879454
1.0,455,50.9362
1.0,247,50.966902
1.0,200,50.991996
1.0,94,51.003664
1.0,160,51.023588
1.0,241,51.053592
1.0,162,51.073778
1.0,283,51.109127
1.0,173,51.130705
1.0,863,51.238718
1.0,348,51.282533
1.0,446,51.338622
1.0,142,51.356433
1.0,100,51.368946
1.0,134,51.385525
1.0,197,51.410136
1.0,195,51.434636
1.0,86,51.44536
1.0,199,51.470077
1.0,254,51.501815
1.0,165,51.522387
1.0,1043,51.652782
1.0,109,51.666251
1.0,369,51.712332
1.0,167,51.733092
1.0,163,51.753443
1.0,74,51.762585
1.0,190,51.786276
1.0,326,51.827097
1.0,96,51.839097
1.0,311,51.877933
1.0,974,51.999424
1.0,126,52.015225
1.0,198,52.039865
1.0,332,52.081191
1.0,393,52.130289
1.0,352,52.174468
1.0,190,52.198238
1.0,348,52.242111
1.0,216,52.269081
1.0,215,52.295962
1.0,92,52.307458
1.0,164,52.327878
1.0,376,52.374642
1.0,187,52.397864
1.0,236,52.427342
1.0,173,52.448959
1.0,154,52.46808
1.0,128,52.484016
1.0,118,52.498835
1.0,173,52.520527
1.0,284,52.556074
1.0,94,52.567792
1.0,116,52.582253
1.0,289,52.618286
1.0,118,52.633014
1.0,245,52.663671
1.0,126,52.679348
1.0,104,52.692262
1.0,405,52.742947
1.0,1152,52.886872
1.0,778,52.983911
1.0,419,53.036372
1.0,186,53.059549
1.0,152,53.078654
1.0,100,53.09111
1.0,116,53.105458
1.0,1056,53.236973
1.0,163,53.257511
1.0,182,53.280217
1.0,141,53.297741
1.0,254,53.329405
1.0,442,53.384803
1.0,84,53.395314
1.0,265,53.428351
1.0,86,53.439075
1.0,130,53.455356
1.0,166,53.476035
1.0,214,53.50266
1.0,87,53.513508
1.0,234,53.542584
1.0,145,53.5606
1.0,112,53.574511
1.0,376,53.621201
1.0,555,53.690467
1.0,163,53.710829
1.0,94,53.72254
1.0,478,53.782707
1.0,181,53.805473
1.0,226,53.833719
1.0,166,53.854538
1.0,92,53.865939
1.0,263,53.898756
1.0,126,53.914503
1.0,445,53.970146
1.0,141,53.987758
1.0,232,54.016656
1.0,86,54.027375
1.0,148,54.045899
1.0,133,54.06242
1.0,121,54.077477
1.0,259,54.109882
1.0,133,54.126397
1.0,878,54.23584
1.0,136,54.253131
1.0,568,54.323983
1.0,173,54.345629
1.0,173,54.367187
1.0,173,54.388726
1.0,109,54.402314
1.0,102,54.414942
1.0,94,54.426584
1.0,93,54.43816
1.0,201,54.463215
1.0,72,54.472203
1.0,737,54.564275
1.0,80,54.574123
1.0,180,54.596529
1.0,268,54.629916
1.0,146,54.648064
1.0,539,54.715328
1.0,173,54.736837
1.0,283,54.772257
1.0,280,54.807229
1.0,143,54.824967
1.0,166,54.84568
1.0,189,54.869214
1.0,172,54.890592
1.0,115,54.904922
1.0,515,54.96938
1.0,183,54.99228
1.0,152,55.011379
1.0,378,55.058689
1.0,353,55.102978
1.0,669,55.186565
1.0,188,55.209877
1.0,416,55.262154
1.0,120,55.277141
1.0,141,55.294741
1.0,114,55.308916
1.0,140,55.326382
1.0,94,55.338144
1.0,226,55.366516
1.0,179,55.388917
1.0,305,55.426955
1.0,190,55.450839
1.0,104,55.463831
1.0,135,55.480551
1.0,130,55.496786
1.0,224,55.524773
1.0,225,55.552877
1.0,177,55.574966
1.0,346,55.618334
1.0,188,55.641816
1.0,129,55.65787
1.0,108,55.67135
1.0,238,55.701116
1.0,324,55.741727
1.0,223,55.769485
1.0,129,55.785501
1.0,292,55.821893
1.0,110,55.835555
1.0,258,55.867816
1.0,129,55.883746
