episodes,steps,total reward
0,10000,0.0
1,20000,1.0
1,30000,0.0
1,40000,0.0
1,50000,0.0
2,60000,1.0
2,70000,0.0
3,80000,1.0
3,90000,0.0
3,100000,0.0
4,110000,1.0
5,120000,1.0
5,130000,0.0
5,140000,0.0
6,150000,1.0
6,160000,0.0
6,170000,0.0
6,180000,0.0
6,190000,0.0
6,200000,0.0
7,210000,1.0
7,220000,0.0
7,230000,0.0
8,240000,1.0
8,250000,0.0
9,260000,1.0
10,270000,1.0
11,280000,1.0
12,290000,1.0
14,300000,2.0
16,310000,2.0
20,320000,4.0
24,330000,4.0
33,340000,9.0
44,350000,11.0
58,360000,14.0
77,370000,19.0
105,380000,28.0
128,390000,23.0
163,400000,35.0
195,410000,32.0
232,420000,37.0
270,430000,38.0
315,440000,45.0
361,450000,46.0
409,460000,48.0
458,470000,49.0
514,480000,56.0
574,490000,60.0
646,500000,72.0
724,510000,78.0
800,520000,76.0
876,530000,77.0
968,540000,91.0
1055,550000,87.0
1141,560000,86.0
1226,570000,85.0
1312,580000,86.0
1408,590000,96.0
1499,600000,91.0
1589,610000,90.0
1679,620000,90.0
1771,630000,92.0
1862,640000,91.0
1954,650000,92.0
2047,660000,93.0
2140,670000,93.0
2224,680000,84.0
2312,690000,88.0
2405,700000,93.0
2498,710000,93.0
2594,720000,96.0
2682,730000,88.0
2774,740000,92.0
2866,750000,92.0
2958,760000,92.0
3049,770000,91.0
3145,780000,96.0
3239,790000,94.0
3329,800000,90.0
3421,810000,92.0
3512,820000,91.0
3607,830000,95.0
3701,840000,94.0
3787,850000,86.0
3881,860000,94.0
3971,870000,90.0
4065,880000,94.0
4160,890000,95.0
4254,900000,94.0
4347,910000,93.0
4439,920000,92.0
4534,930000,95.0
4627,940000,94.0
4721,950000,93.0
4814,960000,93.0
4910,970000,96.0
5004,980000,94.0
5093,990000,89.0
5189,1000000,96.0
5284,1010000,95.0
5374,1020000,90.0
5468,1030000,94.0
5561,1040000,93.0
5653,1050000,92.0
5746,1060000,93.0
5840,1070000,94.0
5932,1080000,92.0
6024,1090000,92.0
6115,1100000,91.0
6207,1110000,92.0
6299,1120000,92.0
6394,1130000,95.0
6485,1140000,91.0
6579,1150000,94.0
6675,1160000,96.0
6769,1170000,94.0
6859,1180000,90.0
6954,1190000,95.0
7047,1200000,93.0
7142,1210000,95.0
7238,1220000,96.0
7331,1230000,93.0
7426,1240000,95.0
7521,1250000,95.0
7615,1260000,94.0
7708,1270000,93.0
7802,1280000,94.0
7897,1290000,95.0
7991,1300000,94.0
8084,1310000,93.0
8177,1320000,93.0
8269,1330000,92.0
8362,1340000,93.0
8457,1350000,95.0
8547,1360000,90.0
8640,1370000,93.0
8734,1380000,94.0
8827,1390000,93.0
8920,1400000,93.0
9010,1410000,90.0
9105,1420000,95.0
9199,1430000,94.0
9294,1440000,95.0
9387,1450000,93.0
9482,1460000,95.0
9576,1470000,94.0
9671,1480000,95.0
9764,1490000,93.0
9857,1500000,93.0
9951,1510000,94.0
10042,1520000,91.0
10134,1530000,92.0
10226,1540000,92.0
10318,1550000,92.0
10413,1560000,95.0
10507,1570000,94.0
10601,1580000,94.0
10694,1590000,93.0
10789,1600000,95.0
10881,1610000,92.0
10974,1620000,93.0
11068,1630000,94.0
11161,1640000,93.0
11257,1650000,96.0
11349,1660000,92.0
11445,1670000,96.0
11540,1680000,95.0
11632,1690000,92.0
11727,1700000,95.0
11821,1710000,94.0
11916,1720000,95.0
12007,1730000,91.0
12103,1740000,96.0
12196,1750000,93.0
12292,1760000,96.0
12383,1770000,91.0
12479,1780000,96.0
12572,1790000,93.0
12666,1800000,94.0
12761,1810000,95.0
12855,1820000,94.0
12949,1830000,94.0
13043,1840000,94.0
13136,1850000,93.0
13229,1860000,93.0
13323,1870000,94.0
13418,1880000,95.0
13514,1890000,96.0
13607,1900000,93.0
13702,1910000,95.0
13798,1920000,96.0
13890,1930000,92.0
13982,1940000,92.0
14077,1950000,95.0
14169,1960000,92.0
14264,1970000,95.0
14357,1980000,93.0
14451,1990000,94.0
14547,2000000,96.0
