total reward,steps,episodes
1.0,10000,1
0.0,20000,1
0.0,30000,1
0.0,40000,1
1.0,50000,2
0.0,60000,2
0.0,70000,2
0.0,80000,2
0.0,90000,2
1.0,100000,3
0.0,110000,3
0.0,120000,3
1.0,130000,4
0.0,140000,4
0.0,150000,4
1.0,160000,5
0.0,170000,5
0.0,180000,5
0.0,190000,5
1.0,200000,6
0.0,210000,6
1.0,220000,7
0.0,230000,7
0.0,240000,7
1.0,250000,8
1.0,260000,9
1.0,270000,10
2.0,280000,12
1.0,290000,13
1.0,300000,14
1.0,310000,15
6.0,320000,21
5.0,330000,26
11.0,340000,37
12.0,350000,49
16.0,360000,65
23.0,370000,88
25.0,380000,113
25.0,390000,138
33.0,400000,171
34.0,410000,205
34.0,420000,239
39.0,430000,278
41.0,440000,319
42.0,450000,361
53.0,460000,414
52.0,470000,466
62.0,480000,528
58.0,490000,586
81.0,500000,667
71.0,510000,738
76.0,520000,814
89.0,530000,903
92.0,540000,995
89.0,550000,1084
86.0,560000,1170
88.0,570000,1258
91.0,580000,1349
86.0,590000,1435
92.0,600000,1527
92.0,610000,1619
85.0,620000,1704
91.0,630000,1795
92.0,640000,1887
92.0,650000,1979
85.0,660000,2064
90.0,670000,2154
95.0,680000,2249
91.0,690000,2340
94.0,700000,2434
84.0,710000,2518
89.0,720000,2607
95.0,730000,2702
93.0,740000,2795
86.0,750000,2881
92.0,760000,2973
86.0,770000,3059
92.0,780000,3151
91.0,790000,3242
95.0,800000,3337
94.0,810000,3431
89.0,820000,3520
93.0,830000,3613
92.0,840000,3705
91.0,850000,3796
92.0,860000,3888
94.0,870000,3982
92.0,880000,4074
94.0,890000,4168
95.0,900000,4263
89.0,910000,4352
94.0,920000,4446
91.0,930000,4537
94.0,940000,4631
93.0,950000,4724
96.0,960000,4820
95.0,970000,4915
93.0,980000,5008
90.0,990000,5098
93.0,1000000,5191
93.0,1010000,5284
94.0,1020000,5378
94.0,1030000,5472
91.0,1040000,5563
93.0,1050000,5656
92.0,1060000,5748
93.0,1070000,5841
95.0,1080000,5936
92.0,1090000,6028
91.0,1100000,6119
94.0,1110000,6213
94.0,1120000,6307
94.0,1130000,6401
92.0,1140000,6493
95.0,1150000,6588
96.0,1160000,6684
93.0,1170000,6777
93.0,1180000,6870
90.0,1190000,6960
92.0,1200000,7052
94.0,1210000,7146
92.0,1220000,7238
92.0,1230000,7330
93.0,1240000,7423
94.0,1250000,7517
91.0,1260000,7608
95.0,1270000,7703
94.0,1280000,7797
90.0,1290000,7887
94.0,1300000,7981
96.0,1310000,8077
93.0,1320000,8170
93.0,1330000,8263
95.0,1340000,8358
92.0,1350000,8450
93.0,1360000,8543
95.0,1370000,8638
95.0,1380000,8733
91.0,1390000,8824
96.0,1400000,8920
93.0,1410000,9013
95.0,1420000,9108
95.0,1430000,9203
94.0,1440000,9297
94.0,1450000,9391
94.0,1460000,9485
94.0,1470000,9579
93.0,1480000,9672
92.0,1490000,9764
92.0,1500000,9856
92.0,1510000,9948
95.0,1520000,10043
92.0,1530000,10135
91.0,1540000,10226
94.0,1550000,10320
94.0,1560000,10414
93.0,1570000,10507
94.0,1580000,10601
96.0,1590000,10697
93.0,1600000,10790
94.0,1610000,10884
96.0,1620000,10980
93.0,1630000,11073
94.0,1640000,11167
94.0,1650000,11261
93.0,1660000,11354
94.0,1670000,11448
93.0,1680000,11541
94.0,1690000,11635
96.0,1700000,11731
93.0,1710000,11824
93.0,1720000,11917
94.0,1730000,12011
93.0,1740000,12104
95.0,1750000,12199
93.0,1760000,12292
96.0,1770000,12388
91.0,1780000,12479
95.0,1790000,12574
95.0,1800000,12669
93.0,1810000,12762
93.0,1820000,12855
94.0,1830000,12949
94.0,1840000,13043
94.0,1850000,13137
94.0,1860000,13231
94.0,1870000,13325
96.0,1880000,13421
93.0,1890000,13514
90.0,1900000,13604
95.0,1910000,13699
94.0,1920000,13793
94.0,1930000,13887
94.0,1940000,13981
94.0,1950000,14075
94.0,1960000,14169
95.0,1970000,14264
95.0,1980000,14359
94.0,1990000,14453
96.0,2000000,14549
