episodes,total reward,steps
0,0.0,10000
1,1.0,20000
1,0.0,30000
1,0.0,40000
1,0.0,50000
1,0.0,60000
1,0.0,70000
1,0.0,80000
2,1.0,90000
2,0.0,100000
2,0.0,110000
2,0.0,120000
2,0.0,130000
2,0.0,140000
3,1.0,150000
3,0.0,160000
3,0.0,170000
4,1.0,180000
4,0.0,190000
4,0.0,200000
4,0.0,210000
5,1.0,220000
5,0.0,230000
5,0.0,240000
6,1.0,250000
7,1.0,260000
7,0.0,270000
7,0.0,280000
7,0.0,290000
10,3.0,300000
12,2.0,310000
15,3.0,320000
18,3.0,330000
23,5.0,340000
30,7.0,350000
41,11.0,360000
51,10.0,370000
66,15.0,380000
82,16.0,390000
102,20.0,400000
121,19.0,410000
150,29.0,420000
177,27.0,430000
208,31.0,440000
240,32.0,450000
289,49.0,460000
329,40.0,470000
375,46.0,480000
427,52.0,490000
472,45.0,500000
534,62.0,510000
605,71.0,520000
700,95.0,530000
791,91.0,540000
873,82.0,550000
967,94.0,560000
1066,99.0,570000
1160,94.0,580000
1265,105.0,590000
1368,103.0,600000
1450,82.0,610000
1550,100.0,620000
1645,95.0,630000
1749,104.0,640000
1834,85.0,650000
1939,105.0,660000
2043,104.0,670000
2144,101.0,680000
2248,104.0,690000
2342,94.0,700000
2444,102.0,710000
2542,98.0,720000
2636,94.0,730000
2729,93.0,740000
2831,102.0,750000
2938,107.0,760000
3043,105.0,770000
3145,102.0,780000
3237,92.0,790000
3340,103.0,800000
3443,103.0,810000
3527,84.0,820000
3628,101.0,830000
3731,103.0,840000
3837,106.0,850000
3942,105.0,860000
4048,106.0,870000
4142,94.0,880000
4247,105.0,890000
4353,106.0,900000
4447,94.0,910000
4550,103.0,920000
4649,99.0,930000
4754,105.0,940000
4860,106.0,950000
4946,86.0,960000
5053,107.0,970000
5153,100.0,980000
5256,103.0,990000
5360,104.0,1000000
5463,103.0,1010000
5569,106.0,1020000
5674,105.0,1030000
5780,106.0,1040000
5874,94.0,1050000
5976,102.0,1060000
6079,103.0,1070000
6186,107.0,1080000
6283,97.0,1090000
6388,105.0,1100000
6495,107.0,1110000
6595,100.0,1120000
6700,105.0,1130000
6808,108.0,1140000
6913,105.0,1150000
7021,108.0,1160000
7123,102.0,1170000
7229,106.0,1180000
7336,107.0,1190000
7439,103.0,1200000
7547,108.0,1210000
7647,100.0,1220000
7752,105.0,1230000
7858,106.0,1240000
7964,106.0,1250000
8068,104.0,1260000
8176,108.0,1270000
8281,105.0,1280000
8386,105.0,1290000
8489,103.0,1300000
8596,107.0,1310000
8702,106.0,1320000
8809,107.0,1330000
8915,106.0,1340000
9020,105.0,1350000
9127,107.0,1360000
9233,106.0,1370000
9341,108.0,1380000
9447,106.0,1390000
9554,107.0,1400000
9660,106.0,1410000
9767,107.0,1420000
9871,104.0,1430000
9975,104.0,1440000
10081,106.0,1450000
10188,107.0,1460000
10293,105.0,1470000
10398,105.0,1480000
10500,102.0,1490000
10601,101.0,1500000
10707,106.0,1510000
10814,107.0,1520000
10918,104.0,1530000
11026,108.0,1540000
11131,105.0,1550000
11235,104.0,1560000
11341,106.0,1570000
11447,106.0,1580000
11554,107.0,1590000
11659,105.0,1600000
11767,108.0,1610000
11873,106.0,1620000
11979,106.0,1630000
12088,109.0,1640000
12194,106.0,1650000
12296,102.0,1660000
12402,106.0,1670000
12508,106.0,1680000
12612,104.0,1690000
12716,104.0,1700000
12822,106.0,1710000
12928,106.0,1720000
13033,105.0,1730000
13139,106.0,1740000
13243,104.0,1750000
13352,109.0,1760000
13459,107.0,1770000
13565,106.0,1780000
13673,108.0,1790000
13782,109.0,1800000
13889,107.0,1810000
13994,105.0,1820000
14100,106.0,1830000
14207,107.0,1840000
14300,93.0,1850000
14404,104.0,1860000
14509,105.0,1870000
14617,108.0,1880000
14726,109.0,1890000
14830,104.0,1900000
14931,101.0,1910000
15036,105.0,1920000
15133,97.0,1930000
15238,105.0,1940000
15343,105.0,1950000
15448,105.0,1960000
15553,105.0,1970000
15661,108.0,1980000
15766,105.0,1990000
15872,106.0,2000000
