steps,episodes,total reward
10000,1,1.0
20000,3,2.0
30000,4,1.0
40000,4,0.0
50000,4,0.0
60000,5,1.0
70000,6,1.0
80000,6,0.0
90000,7,1.0
100000,8,1.0
110000,8,0.0
120000,8,0.0
130000,8,0.0
140000,9,1.0
150000,9,0.0
160000,10,1.0
170000,11,1.0
180000,12,1.0
190000,12,0.0
200000,13,1.0
210000,14,1.0
220000,15,1.0
230000,16,1.0
240000,17,1.0
250000,17,0.0
260000,17,0.0
270000,19,2.0
280000,21,2.0
290000,26,5.0
300000,29,3.0
310000,32,3.0
320000,44,12.0
330000,57,13.0
340000,78,21.0
350000,94,16.0
360000,117,23.0
370000,131,14.0
380000,167,36.0
390000,213,46.0
400000,248,35.0
410000,308,60.0
420000,375,67.0
430000,448,73.0
440000,537,89.0
450000,607,70.0
460000,698,91.0
470000,804,106.0
480000,917,113.0
490000,1031,114.0
500000,1147,116.0
510000,1257,110.0
520000,1377,120.0
530000,1517,140.0
540000,1657,140.0
550000,1815,158.0
560000,1981,166.0
570000,2128,147.0
580000,2299,171.0
590000,2452,153.0
600000,2607,155.0
610000,2737,130.0
620000,2887,150.0
630000,3043,156.0
640000,3177,134.0
650000,3327,150.0
660000,3507,180.0
670000,3673,166.0
680000,3817,144.0
690000,3967,150.0
700000,4137,170.0
710000,4287,150.0
720000,4452,165.0
730000,4623,171.0
740000,4788,165.0
750000,4967,179.0
760000,5126,159.0
770000,5295,169.0
780000,5487,192.0
790000,5654,167.0
800000,5839,185.0
810000,6014,175.0
820000,6167,153.0
830000,6337,170.0
840000,6507,170.0
850000,6698,191.0
860000,6874,176.0
870000,7057,183.0
880000,7247,190.0
890000,7437,190.0
900000,7628,191.0
910000,7824,196.0
920000,7997,173.0
930000,8187,190.0
940000,8354,167.0
950000,8539,185.0
960000,8727,188.0
970000,8917,190.0
980000,9079,162.0
990000,9263,184.0
1000000,9439,176.0
1010000,9633,194.0
1020000,9824,191.0
1030000,10011,187.0
1040000,10184,173.0
1050000,10374,190.0
1060000,10564,190.0
1070000,10756,192.0
1080000,10944,188.0
1090000,11134,190.0
1100000,11327,193.0
1110000,11519,192.0
1120000,11697,178.0
1130000,11885,188.0
1140000,12069,184.0
1150000,12257,188.0
1160000,12427,170.0
1170000,12623,196.0
1180000,12809,186.0
1190000,13003,194.0
1200000,13194,191.0
1210000,13383,189.0
1220000,13574,191.0
1230000,13758,184.0
1240000,13952,194.0
1250000,14143,191.0
1260000,14337,194.0
1270000,14513,176.0
1280000,14704,191.0
1290000,14887,183.0
1300000,15076,189.0
1310000,15261,185.0
1320000,15447,186.0
1330000,15637,190.0
1340000,15824,187.0
1350000,16017,193.0
1360000,16193,176.0
1370000,16364,171.0
1380000,16554,190.0
1390000,16747,193.0
1400000,16940,193.0
1410000,17108,168.0
1420000,17296,188.0
1430000,17487,191.0
1440000,17679,192.0
1450000,17873,194.0
1460000,18067,194.0
1470000,18258,191.0
1480000,18443,185.0
1490000,18635,192.0
1500000,18817,182.0
1510000,19005,188.0
1520000,19197,192.0
1530000,19387,190.0
1540000,19577,190.0
1550000,19763,186.0
1560000,19954,191.0
1570000,20147,193.0
1580000,20338,191.0
1590000,20525,187.0
1600000,20717,192.0
1610000,20907,190.0
1620000,21098,191.0
1630000,21292,194.0
1640000,21474,182.0
1650000,21666,192.0
1660000,21847,181.0
1670000,22029,182.0
1680000,22204,175.0
1690000,22393,189.0
1700000,22587,194.0
1710000,22775,188.0
1720000,22965,190.0
1730000,23157,192.0
1740000,23348,191.0
1750000,23538,190.0
1760000,23727,189.0
1770000,23907,180.0
1780000,24094,187.0
1790000,24286,192.0
1800000,24478,192.0
1810000,24668,190.0
1820000,24858,190.0
1830000,25048,191.0
1840000,25238,189.0
1850000,25432,194.0
1860000,25624,192.0
1870000,25815,191.0
1880000,26007,192.0
1890000,26198,191.0
1900000,26388,190.0
1910000,26579,191.0
1920000,26775,196.0
1930000,26967,192.0
1940000,27156,189.0
1950000,27348,192.0
1960000,27540,193.0
1970000,27733,192.0
1980000,27925,192.0
1990000,28116,191.0
2000000,28305,189.0
