total reward,steps,episodes
4.0,10000,4
1.0,20000,5
2.0,30000,7
0.0,40000,7
0.0,50000,7
1.0,60000,8
0.0,70000,8
0.0,80000,8
2.0,90000,10
3.0,100000,13
1.0,110000,14
0.0,120000,14
0.0,130000,14
0.0,140000,14
0.0,150000,14
1.0,160000,15
0.0,170000,15
0.0,180000,15
1.0,190000,16
1.0,200000,17
1.0,210000,18
0.0,220000,18
0.0,230000,18
0.0,240000,18
2.0,250000,20
2.0,260000,22
2.0,270000,24
0.0,280000,24
1.0,290000,25
2.0,300000,27
10.0,310000,37
4.0,320000,41
16.0,330000,57
10.0,340000,67
18.0,350000,85
22.0,360000,107
20.0,370000,127
38.0,380000,165
42.0,390000,207
36.0,400000,243
42.0,410000,285
69.0,420000,354
53.0,430000,407
81.0,440000,488
90.0,450000,578
80.0,460000,658
87.0,470000,745
108.0,480000,853
107.0,490000,960
117.0,500000,1077
150.0,510000,1227
118.0,520000,1345
142.0,530000,1487
137.0,540000,1624
130.0,550000,1754
160.0,560000,1914
135.0,570000,2049
128.0,580000,2177
150.0,590000,2327
159.0,600000,2486
177.0,610000,2663
164.0,620000,2827
154.0,630000,2981
159.0,640000,3140
172.0,650000,3312
175.0,660000,3487
163.0,670000,3650
127.0,680000,3777
167.0,690000,3944
151.0,700000,4095
162.0,710000,4257
139.0,720000,4396
163.0,730000,4558
187.0,740000,4746
181.0,750000,4927
150.0,760000,5077
187.0,770000,5264
168.0,780000,5432
169.0,790000,5601
183.0,800000,5783
189.0,810000,5973
190.0,820000,6163
193.0,830000,6356
188.0,840000,6544
190.0,850000,6734
163.0,860000,6897
190.0,870000,7087
189.0,880000,7276
187.0,890000,7463
186.0,900000,7649
187.0,910000,7836
191.0,920000,8027
188.0,930000,8215
189.0,940000,8404
185.0,950000,8589
188.0,960000,8777
187.0,970000,8964
192.0,980000,9156
160.0,990000,9316
176.0,1000000,9492
192.0,1010000,9684
191.0,1020000,9875
183.0,1030000,10058
187.0,1040000,10245
178.0,1050000,10423
183.0,1060000,10605
189.0,1070000,10795
193.0,1080000,10988
178.0,1090000,11166
188.0,1100000,11354
171.0,1110000,11525
183.0,1120000,11708
193.0,1130000,11901
187.0,1140000,12088
188.0,1150000,12276
180.0,1160000,12456
186.0,1170000,12642
187.0,1180000,12829
179.0,1190000,13008
179.0,1200000,13187
186.0,1210000,13373
190.0,1220000,13563
191.0,1230000,13754
187.0,1240000,13941
183.0,1250000,14124
188.0,1260000,14311
185.0,1270000,14497
190.0,1280000,14687
192.0,1290000,14878
195.0,1300000,15074
187.0,1310000,15261
187.0,1320000,15448
189.0,1330000,15637
191.0,1340000,15828
189.0,1350000,16017
194.0,1360000,16211
193.0,1370000,16404
190.0,1380000,16594
191.0,1390000,16785
192.0,1400000,16977
191.0,1410000,17168
192.0,1420000,17360
193.0,1430000,17553
191.0,1440000,17744
183.0,1450000,17927
173.0,1460000,18100
187.0,1470000,18287
194.0,1480000,18481
190.0,1490000,18671
192.0,1500000,18863
190.0,1510000,19053
194.0,1520000,19247
191.0,1530000,19437
190.0,1540000,19628
194.0,1550000,19822
187.0,1560000,20009
194.0,1570000,20203
181.0,1580000,20384
183.0,1590000,20567
190.0,1600000,20757
190.0,1610000,20947
191.0,1620000,21138
177.0,1630000,21315
191.0,1640000,21506
192.0,1650000,21698
191.0,1660000,21889
188.0,1670000,22077
192.0,1680000,22269
193.0,1690000,22462
191.0,1700000,22653
189.0,1710000,22842
191.0,1720000,23033
190.0,1730000,23223
176.0,1740000,23399
188.0,1750000,23587
191.0,1760000,23778
195.0,1770000,23973
188.0,1780000,24161
194.0,1790000,24355
193.0,1800000,24548
195.0,1810000,24743
191.0,1820000,24934
193.0,1830000,25127
183.0,1840000,25310
194.0,1850000,25504
191.0,1860000,25695
188.0,1870000,25883
192.0,1880000,26075
191.0,1890000,26266
190.0,1900000,26456
189.0,1910000,26645
189.0,1920000,26834
192.0,1930000,27026
193.0,1940000,27219
190.0,1950000,27409
192.0,1960000,27601
182.0,1970000,27783
192.0,1980000,27975
190.0,1990000,28165
189.0,2000000,28354
