episodes,total reward,steps
4,4.0,10000
6,2.0,20000
8,2.0,30000
9,1.0,40000
10,1.0,50000
13,3.0,60000
14,1.0,70000
15,1.0,80000
16,1.0,90000
17,1.0,100000
18,1.0,110000
18,0.0,120000
19,1.0,130000
20,1.0,140000
21,1.0,150000
22,1.0,160000
24,2.0,170000
25,1.0,180000
25,0.0,190000
26,1.0,200000
27,1.0,210000
27,0.0,220000
28,1.0,230000
28,0.0,240000
31,3.0,250000
32,1.0,260000
34,2.0,270000
35,1.0,280000
36,1.0,290000
44,8.0,300000
48,4.0,310000
60,12.0,320000
77,17.0,330000
95,18.0,340000
109,14.0,350000
135,26.0,360000
168,33.0,370000
198,30.0,380000
247,49.0,390000
294,47.0,400000
354,60.0,410000
417,63.0,420000
484,67.0,430000
551,67.0,440000
635,84.0,450000
713,78.0,460000
797,84.0,470000
895,98.0,480000
1000,105.0,490000
1108,108.0,500000
1239,131.0,510000
1365,126.0,520000
1499,134.0,530000
1642,143.0,540000
1804,162.0,550000
1966,162.0,560000
2125,159.0,570000
2282,157.0,580000
2426,144.0,590000
2595,169.0,600000
2765,170.0,610000
2925,160.0,620000
3079,154.0,630000
3243,164.0,640000
3416,173.0,650000
3584,168.0,660000
3745,161.0,670000
3908,163.0,680000
4087,179.0,690000
4245,158.0,700000
4406,161.0,710000
4571,165.0,720000
4741,170.0,730000
4890,149.0,740000
5056,166.0,750000
5215,159.0,760000
5388,173.0,770000
5562,174.0,780000
5732,170.0,790000
5896,164.0,800000
6067,171.0,810000
6232,165.0,820000
6400,168.0,830000
6568,168.0,840000
6718,150.0,850000
6895,177.0,860000
7068,173.0,870000
7238,170.0,880000
7415,177.0,890000
7592,177.0,900000
7765,173.0,910000
7931,166.0,920000
8095,164.0,930000
8264,169.0,940000
8419,155.0,950000
8590,171.0,960000
8767,177.0,970000
8934,167.0,980000
9106,172.0,990000
9280,174.0,1000000
9449,169.0,1010000
9604,155.0,1020000
9772,168.0,1030000
9944,172.0,1040000
10115,171.0,1050000
10284,169.0,1060000
10450,166.0,1070000
10625,175.0,1080000
10800,175.0,1090000
10968,168.0,1100000
11143,175.0,1110000
11306,163.0,1120000
11476,170.0,1130000
11647,171.0,1140000
11823,176.0,1150000
11985,162.0,1160000
12163,178.0,1170000
12335,172.0,1180000
12507,172.0,1190000
12674,167.0,1200000
12849,175.0,1210000
13027,179.0,1220000
13195,167.0,1230000
13364,169.0,1240000
13534,170.0,1250000
13706,172.0,1260000
13875,169.0,1270000
14048,173.0,1280000
14212,164.0,1290000
14382,170.0,1300000
14548,166.0,1310000
14726,178.0,1320000
14898,172.0,1330000
15074,176.0,1340000
15237,163.0,1350000
15408,171.0,1360000
15578,170.0,1370000
15749,171.0,1380000
15920,171.0,1390000
16093,173.0,1400000
16267,174.0,1410000
16443,176.0,1420000
16613,170.0,1430000
16788,175.0,1440000
16965,177.0,1450000
17142,177.0,1460000
17316,174.0,1470000
17485,169.0,1480000
17658,173.0,1490000
17834,176.0,1500000
18000,166.0,1510000
18176,176.0,1520000
18353,177.0,1530000
18527,174.0,1540000
18697,170.0,1550000
18868,171.0,1560000
19033,165.0,1570000
19207,174.0,1580000
19380,173.0,1590000
19553,174.0,1600000
19727,173.0,1610000
19906,179.0,1620000
20082,176.0,1630000
20257,175.0,1640000
20432,175.0,1650000
20604,172.0,1660000
20778,174.0,1670000
20945,167.0,1680000
21119,174.0,1690000
21295,176.0,1700000
21467,172.0,1710000
21635,168.0,1720000
21807,172.0,1730000
21976,169.0,1740000
22147,171.0,1750000
22324,177.0,1760000
22495,171.0,1770000
22669,174.0,1780000
22836,167.0,1790000
23010,174.0,1800000
23186,176.0,1810000
23363,177.0,1820000
23538,175.0,1830000
23714,176.0,1840000
23890,176.0,1850000
24066,176.0,1860000
24236,170.0,1870000
24409,173.0,1880000
24583,174.0,1890000
24756,174.0,1900000
24925,168.0,1910000
25100,175.0,1920000
25276,176.0,1930000
25452,176.0,1940000
25623,171.0,1950000
25797,174.0,1960000
25974,177.0,1970000
26136,162.0,1980000
26313,177.0,1990000
26488,175.0,2000000
