#{"t_start": 1711647643.358834, "env_id": "Craft-M2-v0"}
r,l,t
1.0,2159,1.561085
1.0,6663,6.403361
1.0,1309,7.368159
1.0,5781,11.73222
1.0,56542,53.049366
1.0,28051,74.403697
1.0,8419,80.835079
1.0,16593,93.513493
1.0,46557,128.85595
1.0,6765,134.012673
1.0,5276,138.033542
1.0,440,138.364043
1.0,4914,142.091106
1.0,17168,155.166089
1.0,9987,162.786835
1.0,10130,170.474993
1.0,3988,173.517511
1.0,25726,193.070413
1.0,8975,199.918665
1.0,3978,202.971785
1.0,5689,207.317203
1.0,1376,208.362934
1.0,4501,211.797869
1.0,14405,222.804041
1.0,2477,224.683011
1.0,3512,227.367086
1.0,437,227.701536
1.0,3765,230.569741
1.0,1460,231.68693
1.0,3031,234.009585
1.0,96,234.083231
1.0,1297,235.077066
1.0,40,235.107917
1.0,329,235.358467
1.0,2114,236.972193
1.0,2996,239.267605
1.0,558,239.696297
1.0,1783,241.05974
1.0,4201,244.275326
1.0,255,244.471301
1.0,396,244.774252
1.0,113,244.860971
1.0,52,244.901078
1.0,111,244.986075
1.0,1548,246.170426
1.0,944,246.895704
1.0,744,247.469253
1.0,2239,249.188553
1.0,1150,250.069478
1.0,84,250.134063
1.0,66,250.184772
1.0,97,250.259441
1.0,36,250.287362
1.0,207,250.446901
1.0,164,250.573286
1.0,899,251.262672
1.0,409,251.577354
1.0,1228,252.523587
1.0,1759,253.868688
1.0,120,253.96075
1.0,195,254.109847
1.0,47,254.146092
1.0,64,254.195394
1.0,209,254.355638
1.0,436,254.689948
1.0,156,254.808905
1.0,132,254.909972
1.0,337,255.167925
1.0,1218,256.101348
1.0,68,256.15354
1.0,86,256.219487
1.0,205,256.377651
1.0,32,256.402487
1.0,405,256.713622
1.0,192,256.862023
1.0,902,257.555861
1.0,420,257.878368
1.0,2181,259.550373
1.0,622,260.026863
1.0,138,260.131737
1.0,50,260.169797
1.0,21,260.185788
1.0,34,260.211988
1.0,467,260.569462
1.0,1527,261.73538
1.0,1004,262.499561
1.0,297,262.726329
1.0,238,262.907488
1.0,413,263.222156
1.0,50,263.260414
1.0,112,263.34573
1.0,19,263.360337
1.0,95,263.432886
1.0,49,263.470053
1.0,125,263.565359
1.0,779,264.158459
1.0,118,264.248428
1.0,1234,265.193311
1.0,332,265.447385
1.0,136,265.550775
1.0,70,265.604177
1.0,29,265.626437
1.0,137,265.731696
1.0,159,265.853358
1.0,694,266.384413
1.0,1424,267.472901
1.0,66,267.523207
1.0,287,267.742445
1.0,1298,268.732243
1.0,46,268.76734
1.0,124,268.86173
1.0,21,268.877745
1.0,34,268.903552
1.0,59,268.948289
1.0,415,269.265074
1.0,373,269.550183
1.0,132,269.650957
1.0,811,270.266713
1.0,620,270.738973
1.0,114,270.824914
1.0,84,270.88873
1.0,19,270.903333
1.0,34,270.929364
1.0,81,270.990863
1.0,362,271.267155
1.0,194,271.414488
1.0,87,271.480453
1.0,1058,272.311167
1.0,719,272.873778
1.0,44,272.907369
1.0,40,272.93759
1.0,21,272.953501
1.0,42,272.985493
1.0,185,273.126177
1.0,1554,274.309254
1.0,1350,275.340111
1.0,62,275.386745
1.0,436,275.721274
1.0,325,275.969774
1.0,36,275.997502
1.0,48,276.033881
1.0,19,276.048456
1.0,44,276.082386
1.0,78,276.141539
1.0,233,276.319147
1.0,753,276.895214
1.0,58,276.93947
1.0,586,277.386945
1.0,2264,279.122166
1.0,32,279.146677
1.0,36,279.17386
1.0,19,279.188289
1.0,34,279.214265
1.0,340,279.473297
1.0,1049,280.272125
1.0,146,280.38357
1.0,70,280.43707
1.0,1288,281.421488
1.0,949,282.152609
1.0,52,282.192467
1.0,40,282.223046
1.0,23,282.240666
1.0,34,282.266956
1.0,55,282.308587
1.0,204,282.46599
1.0,302,282.697125
1.0,170,282.827477
1.0,414,283.145178
1.0,437,283.480222
1.0,40,283.510985
1.0,42,283.542984
1.0,23,283.560572
1.0,36,283.588247
1.0,793,284.197
1.0,422,284.521495
1.0,2057,286.10145
1.0,54,286.142701
1.0,706,286.68101
1.0,438,287.017753
