episodes,steps,total reward
2,10000,2.0
4,20000,2.0
4,30000,0.0
4,40000,0.0
4,50000,0.0
4,60000,0.0
4,70000,0.0
5,80000,1.0
5,90000,0.0
5,100000,0.0
7,110000,2.0
7,120000,0.0
8,130000,1.0
8,140000,0.0
8,150000,0.0
8,160000,0.0
8,170000,0.0
10,180000,2.0
13,190000,3.0
13,200000,0.0
14,210000,1.0
15,220000,1.0
16,230000,1.0
17,240000,1.0
17,250000,0.0
18,260000,1.0
20,270000,2.0
22,280000,2.0
23,290000,1.0
25,300000,2.0
29,310000,4.0
38,320000,9.0
48,330000,10.0
75,340000,27.0
97,350000,22.0
127,360000,30.0
154,370000,27.0
184,380000,30.0
227,390000,43.0
281,400000,54.0
338,410000,57.0
395,420000,57.0
468,430000,73.0
538,440000,70.0
615,450000,77.0
697,460000,82.0
800,470000,103.0
905,480000,105.0
998,490000,93.0
1110,500000,112.0
1218,510000,108.0
1360,520000,142.0
1480,530000,120.0
1614,540000,134.0
1758,550000,144.0
1911,560000,153.0
2068,570000,157.0
2227,580000,159.0
2395,590000,168.0
2558,600000,163.0
2705,610000,147.0
2864,620000,159.0
3027,630000,163.0
3193,640000,166.0
3363,650000,170.0
3535,660000,172.0
3692,670000,157.0
3839,680000,147.0
4004,690000,165.0
4162,700000,158.0
4309,710000,147.0
4474,720000,165.0
4639,730000,165.0
4807,740000,168.0
4968,750000,161.0
5145,760000,177.0
5303,770000,159.0
5467,780000,163.0
5645,790000,178.0
5814,800000,169.0
5987,810000,173.0
6156,820000,169.0
6326,830000,170.0
6489,840000,163.0
6662,850000,173.0
6829,860000,167.0
6994,870000,165.0
7165,880000,171.0
7336,890000,171.0
7498,900000,162.0
7664,910000,166.0
7833,920000,169.0
7988,930000,155.0
8166,940000,178.0
8339,950000,173.0
8496,960000,157.0
8672,970000,176.0
8839,980000,167.0
9007,990000,168.0
9183,1000000,176.0
9347,1010000,164.0
9514,1020000,167.0
9675,1030000,161.0
9848,1040000,173.0
10024,1050000,176.0
10192,1060000,168.0
10363,1070000,171.0
10525,1080000,162.0
10687,1090000,162.0
10857,1100000,170.0
11024,1110000,167.0
11188,1120000,164.0
11366,1130000,178.0
11538,1140000,172.0
11714,1150000,176.0
11886,1160000,172.0
12058,1170000,172.0
12230,1180000,172.0
12406,1190000,176.0
12576,1200000,170.0
12746,1210000,170.0
12925,1220000,179.0
13097,1230000,172.0
13263,1240000,166.0
13436,1250000,173.0
13603,1260000,167.0
13778,1270000,175.0
13957,1280000,179.0
14128,1290000,171.0
14295,1300000,167.0
14471,1310000,176.0
14640,1320000,169.0
14817,1330000,177.0
14993,1340000,176.0
15168,1350000,175.0
15338,1360000,170.0
15513,1370000,175.0
15688,1380000,175.0
15865,1390000,177.0
16041,1400000,176.0
16212,1410000,171.0
16388,1420000,176.0
16558,1430000,170.0
16734,1440000,176.0
16908,1450000,174.0
17082,1460000,174.0
17254,1470000,172.0
17426,1480000,172.0
17598,1490000,172.0
17773,1500000,175.0
17950,1510000,177.0
18124,1520000,174.0
18295,1530000,171.0
18473,1540000,178.0
18647,1550000,174.0
18823,1560000,176.0
18998,1570000,175.0
19173,1580000,175.0
19340,1590000,167.0
19516,1600000,176.0
19686,1610000,170.0
19863,1620000,177.0
20037,1630000,174.0
20210,1640000,173.0
20385,1650000,175.0
20557,1660000,172.0
20734,1670000,177.0
20907,1680000,173.0
21078,1690000,171.0
21253,1700000,175.0
21428,1710000,175.0
21604,1720000,176.0
21774,1730000,170.0
21946,1740000,172.0
22123,1750000,177.0
22298,1760000,175.0
22474,1770000,176.0
22643,1780000,169.0
22818,1790000,175.0
22996,1800000,178.0
23168,1810000,172.0
23343,1820000,175.0
23515,1830000,172.0
23686,1840000,171.0
23860,1850000,174.0
24035,1860000,176.0
24209,1870000,173.0
24386,1880000,177.0
24560,1890000,174.0
24735,1900000,175.0
24907,1910000,172.0
25077,1920000,170.0
25255,1930000,178.0
25424,1940000,169.0
25598,1950000,174.0
25776,1960000,178.0
25950,1970000,174.0
26125,1980000,175.0
26301,1990000,176.0
26477,2000000,176.0
