total reward,episodes,steps
3.0,3,10000
0.0,3,20000
1.0,4,30000
1.0,5,40000
2.0,7,50000
1.0,8,60000
0.0,8,70000
0.0,8,80000
0.0,8,90000
0.0,8,100000
0.0,8,110000
0.0,8,120000
0.0,8,130000
1.0,9,140000
3.0,12,150000
2.0,14,160000
0.0,14,170000
1.0,15,180000
1.0,16,190000
2.0,18,200000
0.0,18,210000
0.0,18,220000
0.0,18,230000
0.0,18,240000
0.0,18,250000
0.0,18,260000
0.0,18,270000
0.0,18,280000
2.0,20,290000
7.0,27,300000
6.0,33,310000
4.0,37,320000
11.0,48,330000
17.0,65,340000
22.0,87,350000
21.0,108,360000
27.0,135,370000
40.0,175,380000
42.0,217,390000
50.0,267,400000
58.0,325,410000
54.0,379,420000
69.0,448,430000
77.0,525,440000
72.0,597,450000
91.0,688,460000
99.0,787,470000
93.0,880,480000
104.0,984,490000
121.0,1105,500000
118.0,1223,510000
121.0,1344,520000
129.0,1473,530000
145.0,1618,540000
147.0,1765,550000
132.0,1897,560000
167.0,2064,570000
154.0,2218,580000
157.0,2375,590000
157.0,2532,600000
155.0,2687,610000
160.0,2847,620000
159.0,3006,630000
172.0,3178,640000
167.0,3345,650000
161.0,3506,660000
175.0,3681,670000
171.0,3852,680000
174.0,4026,690000
152.0,4178,700000
169.0,4346,710000
170.0,4517,720000
173.0,4690,730000
166.0,4856,740000
170.0,5026,750000
172.0,5198,760000
179.0,5377,770000
178.0,5555,780000
169.0,5724,790000
152.0,5876,800000
169.0,6045,810000
162.0,6207,820000
161.0,6368,830000
160.0,6528,840000
169.0,6697,850000
168.0,6865,860000
160.0,7025,870000
163.0,7188,880000
171.0,7359,890000
176.0,7535,900000
171.0,7706,910000
163.0,7869,920000
166.0,8035,930000
177.0,8212,940000
166.0,8378,950000
169.0,8547,960000
176.0,8723,970000
174.0,8897,980000
164.0,9061,990000
157.0,9218,1000000
179.0,9397,1010000
172.0,9569,1020000
175.0,9744,1030000
171.0,9915,1040000
163.0,10078,1050000
175.0,10253,1060000
170.0,10423,1070000
175.0,10598,1080000
177.0,10775,1090000
169.0,10944,1100000
169.0,11113,1110000
171.0,11284,1120000
169.0,11453,1130000
173.0,11626,1140000
173.0,11799,1150000
178.0,11977,1160000
176.0,12153,1170000
165.0,12318,1180000
170.0,12488,1190000
172.0,12660,1200000
167.0,12827,1210000
173.0,13000,1220000
175.0,13175,1230000
168.0,13343,1240000
173.0,13515,1250000
172.0,13688,1260000
164.0,13852,1270000
173.0,14025,1280000
170.0,14195,1290000
173.0,14368,1300000
175.0,14543,1310000
170.0,14713,1320000
174.0,14887,1330000
176.0,15063,1340000
173.0,15236,1350000
176.0,15412,1360000
171.0,15583,1370000
170.0,15753,1380000
168.0,15921,1390000
173.0,16094,1400000
171.0,16265,1410000
172.0,16437,1420000
175.0,16612,1430000
166.0,16778,1440000
172.0,16950,1450000
175.0,17125,1460000
167.0,17292,1470000
176.0,17468,1480000
168.0,17636,1490000
177.0,17813,1500000
175.0,17988,1510000
177.0,18165,1520000
170.0,18335,1530000
173.0,18508,1540000
176.0,18684,1550000
172.0,18856,1560000
172.0,19028,1570000
176.0,19204,1580000
166.0,19370,1590000
177.0,19547,1600000
171.0,19718,1610000
175.0,19893,1620000
169.0,20062,1630000
174.0,20236,1640000
172.0,20408,1650000
176.0,20584,1660000
168.0,20752,1670000
173.0,20925,1680000
176.0,21101,1690000
175.0,21276,1700000
169.0,21445,1710000
173.0,21618,1720000
177.0,21795,1730000
171.0,21966,1740000
174.0,22140,1750000
173.0,22313,1760000
172.0,22485,1770000
173.0,22658,1780000
169.0,22827,1790000
177.0,23004,1800000
174.0,23178,1810000
170.0,23348,1820000
179.0,23527,1830000
169.0,23696,1840000
173.0,23869,1850000
177.0,24046,1860000
174.0,24220,1870000
177.0,24397,1880000
172.0,24569,1890000
177.0,24746,1900000
172.0,24918,1910000
178.0,25096,1920000
172.0,25268,1930000
172.0,25440,1940000
167.0,25607,1950000
173.0,25780,1960000
176.0,25956,1970000
173.0,26129,1980000
179.0,26308,1990000
178.0,26486,2000000
