steps,total reward,episodes
10000,3.0,3
20000,2.0,5
30000,0.0,5
40000,0.0,5
50000,1.0,6
60000,1.0,7
70000,0.0,7
80000,0.0,7
90000,0.0,7
100000,1.0,8
110000,0.0,8
120000,1.0,9
130000,2.0,11
140000,0.0,11
150000,2.0,13
160000,1.0,14
170000,0.0,14
180000,0.0,14
190000,2.0,16
200000,1.0,17
210000,1.0,18
220000,0.0,18
230000,0.0,18
240000,1.0,19
250000,0.0,19
260000,1.0,20
270000,3.0,23
280000,2.0,25
290000,1.0,26
300000,2.0,28
310000,9.0,37
320000,11.0,48
330000,16.0,64
340000,11.0,75
350000,13.0,88
360000,22.0,110
370000,25.0,135
380000,18.0,153
390000,31.0,184
400000,33.0,217
410000,41.0,258
420000,67.0,325
430000,79.0,404
440000,62.0,466
450000,79.0,545
460000,100.0,645
470000,135.0,780
480000,114.0,894
490000,120.0,1014
500000,102.0,1116
510000,112.0,1228
520000,110.0,1338
530000,103.0,1441
540000,136.0,1577
550000,143.0,1720
560000,155.0,1875
570000,163.0,2038
580000,160.0,2198
590000,152.0,2350
600000,145.0,2495
610000,142.0,2637
620000,131.0,2768
630000,128.0,2896
640000,162.0,3058
650000,167.0,3225
660000,161.0,3386
670000,159.0,3545
680000,151.0,3696
690000,157.0,3853
700000,125.0,3978
710000,153.0,4131
720000,152.0,4283
730000,156.0,4439
740000,167.0,4606
750000,132.0,4738
760000,166.0,4904
770000,151.0,5055
780000,136.0,5191
790000,160.0,5351
800000,166.0,5517
810000,151.0,5668
820000,164.0,5832
830000,166.0,5998
840000,154.0,6152
850000,155.0,6307
860000,160.0,6467
870000,144.0,6611
880000,163.0,6774
890000,163.0,6937
900000,140.0,7077
910000,163.0,7240
920000,161.0,7401
930000,168.0,7568
940000,153.0,7722
950000,165.0,7887
960000,169.0,8056
970000,162.0,8218
980000,165.0,8383
990000,165.0,8548
1000000,164.0,8712
1010000,165.0,8877
1020000,166.0,9043
1030000,168.0,9211
1040000,155.0,9366
1050000,164.0,9530
1060000,167.0,9697
1070000,154.0,9851
1080000,166.0,10017
1090000,168.0,10185
1100000,149.0,10334
1110000,161.0,10495
1120000,169.0,10664
1130000,165.0,10829
1140000,163.0,10992
1150000,152.0,11144
1160000,158.0,11302
1170000,166.0,11468
1180000,163.0,11631
1190000,167.0,11798
1200000,160.0,11958
1210000,167.0,12124
1220000,166.0,12291
1230000,166.0,12457
1240000,168.0,12625
1250000,170.0,12795
1260000,151.0,12946
1270000,169.0,13115
1280000,160.0,13275
1290000,163.0,13438
1300000,169.0,13607
1310000,167.0,13774
1320000,170.0,13944
1330000,168.0,14112
1340000,167.0,14279
1350000,167.0,14446
1360000,162.0,14608
1370000,167.0,14775
1380000,165.0,14940
1390000,167.0,15107
1400000,166.0,15273
1410000,169.0,15442
1420000,160.0,15602
1430000,169.0,15771
1440000,167.0,15938
1450000,168.0,16106
1460000,151.0,16257
1470000,163.0,16420
1480000,168.0,16588
1490000,166.0,16754
1500000,151.0,16905
1510000,160.0,17065
1520000,166.0,17231
1530000,167.0,17398
1540000,169.0,17567
1550000,153.0,17720
1560000,162.0,17882
1570000,165.0,18047
1580000,167.0,18214
1590000,167.0,18381
1600000,167.0,18548
1610000,168.0,18716
1620000,133.0,18849
1630000,168.0,19017
1640000,160.0,19177
1650000,169.0,19346
1660000,165.0,19511
1670000,167.0,19678
1680000,167.0,19845
1690000,167.0,20012
1700000,164.0,20176
1710000,168.0,20344
1720000,164.0,20508
1730000,162.0,20670
1740000,165.0,20835
1750000,163.0,20998
1760000,168.0,21166
1770000,159.0,21325
1780000,159.0,21484
1790000,167.0,21651
1800000,166.0,21817
1810000,164.0,21981
1820000,167.0,22148
1830000,157.0,22305
1840000,165.0,22470
1850000,163.0,22633
1860000,167.0,22800
1870000,167.0,22967
1880000,169.0,23136
1890000,166.0,23302
1900000,167.0,23469
1910000,159.0,23628
1920000,168.0,23796
1930000,162.0,23958
1940000,164.0,24122
1950000,166.0,24288
1960000,167.0,24455
1970000,165.0,24620
1980000,166.0,24786
1990000,168.0,24954
2000000,168.0,25122
