#{"t_start": 1711478551.2839732, "env_id": "Office-single-v0"}
r,l,t
0.0,56,0.00616
0.0,7,0.00688
0.0,47,0.011218
0.0,10,0.012175
0.0,29,0.01484
0.0,34,0.017912
0.0,29,0.020449
0.0,26,0.022675
0.0,20,0.024407
0.0,59,0.029407
0.0,24,0.031421
0.0,32,0.034145
0.0,64,0.039358
0.0,19,0.040885
0.0,32,0.043447
0.0,43,0.046866
0.0,107,0.055397
0.0,159,0.068164
0.0,59,0.072989
0.0,77,0.079227
0.0,25,0.081252
0.0,78,0.08764
0.0,86,0.09445
0.0,235,0.113515
0.0,46,0.117249
0.0,222,0.135026
0.0,97,0.142481
0.0,72,0.148313
0.0,88,0.155425
0.0,82,0.162095
0.0,117,0.171389
0.0,37,0.174422
0.0,209,0.191496
0.0,27,0.193681
0.0,6,0.194179
0.0,105,0.202723
0.0,442,0.238132
0.0,38,0.24125
0.0,24,0.243231
0.0,82,0.249878
0.0,38,0.252974
0.0,10,0.253792
0.0,258,0.27461
0.0,85,0.281525
0.0,293,0.305314
0.0,662,0.358331
0.0,12,0.359354
0.0,662,0.413106
0.0,437,0.447884
0.0,27,0.450093
0.0,106,0.458665
0.0,16,0.460002
0.0,217,0.477527
0.0,37,0.480538
0.0,185,0.495439
0.0,43,0.498926
0.0,18,0.500401
0.0,348,0.528625
0.0,140,0.540014
0.0,91,0.547352
0.0,329,0.573965
0.0,31,0.576487
0.0,92,0.583906
0.0,144,0.59558
0.0,7,0.596161
0.0,481,0.634161
0.0,69,0.639791
0.0,59,0.644583
0.0,508,0.685737
0.0,57,0.690371
0.0,64,0.695575
0.0,447,0.731714
0.0,15,0.732966
0.0,2,0.733134
0.0,76,0.739278
0.0,119,0.748866
0.0,275,0.77095
0.0,384,0.801886
0.0,74,0.807893
0.0,20,0.809536
0.0,90,0.825189
0.0,64,0.830751
0.0,37,0.833866
0.0,43,0.837426
0.0,50,0.841578
0.0,48,0.845489
0.0,1220,0.944366
0.0,80,0.950961
0.0,12,0.951972
0.0,115,0.961369
0.0,47,0.965227
0.0,146,0.977099
0.0,222,0.995065
0.0,112,1.003484
0.0,258,1.024481
0.0,35,1.027349
0.0,153,1.039851
0.0,70,1.045552
0.0,40,1.04883
0.0,27,1.05104
0.0,13,1.052134
0.0,52,1.056375
0.0,220,1.074383
0.0,15,1.075645
0.0,61,1.080605
0.0,91,1.088035
0.0,102,1.096361
0.0,239,1.115312
0.0,1335,1.222752
0.0,152,1.235117
0.0,250,1.255131
0.0,58,1.259871
0.0,39,1.263071
0.0,31,1.26558
0.0,11,1.266496
0.0,359,1.295747
0.0,125,1.305668
0.0,189,1.322194
0.0,340,1.351232
0.0,113,1.360429
0.0,33,1.36314
0.0,331,1.390076
0.0,46,1.393821
0.0,9,1.394564
0.0,223,1.412441
0.0,687,1.467694
0.0,59,1.472334
0.0,74,1.478305
0.0,310,1.503262
0.0,250,1.52341
0.0,40,1.52667
0.0,199,1.542884
0.0,14,1.544062
0.0,178,1.558525
1.0,171,1.572321
1.0,283,1.595066
0.0,2,1.595248
0.0,221,1.613091
0.0,29,1.615442
0.0,154,1.627901
0.0,72,1.634126
1.0,91,1.641468
0.0,10,1.642289
0.0,248,1.662136
1.0,171,1.675993
1.0,374,1.706485
0.0,534,1.74875
0.0,63,1.75385
