#{"t_start": 1711477703.165859, "env_id": "Office-v0"}
r,l,t
0.0,26,0.006014
0.0,12,0.008427
0.0,63,0.020171
0.0,11,0.022201
0.0,32,0.027907
0.0,19,0.031285
0.0,21,0.034957
0.0,18,0.038118
0.0,49,0.046572
0.0,68,0.058307
0.0,127,0.080179
0.0,35,0.086251
0.0,85,0.100896
0.0,39,0.10764
0.0,45,0.115449
0.0,151,0.141517
0.0,43,0.148926
0.0,16,0.151713
0.0,141,0.175573
0.0,84,0.190133
0.0,29,0.195114
0.0,89,0.210444
0.0,227,0.249229
0.0,60,0.25967
0.0,139,0.283458
0.0,84,0.298017
0.0,188,0.330154
0.0,84,0.344736
1.0,159,0.372291
0.0,84,0.386805
0.0,83,0.401023
0.0,27,0.405691
1.0,154,0.432122
0.0,14,0.434552
0.0,988,0.604161
1.0,113,0.623662
0.0,163,0.651724
0.0,20,0.655202
0.0,150,0.680913
0.0,636,0.790197
0.0,60,0.800202
0.0,384,0.866671
0.0,2,0.867065
0.0,16,0.869859
0.0,41,0.876958
0.0,9,0.878531
0.0,32,0.884091
0.0,161,0.911897
0.0,35,0.917935
0.0,372,0.982072
0.0,48,0.989944
0.0,351,1.050268
0.0,35,1.056349
0.0,166,1.084981
0.0,49,1.093511
0.0,144,1.118444
0.0,190,1.150179
0.0,210,1.186638
0.0,111,1.205675
0.0,132,1.228484
0.0,32,1.234061
0.0,6,1.235106
0.0,19,1.238408
1.0,275,1.28597
1.0,242,1.327602
0.0,349,1.38822
0.0,97,1.404474
0.0,58,1.414455
0.0,24,1.418619
0.0,517,1.507383
0.0,381,1.572124
0.0,276,1.619755
0.0,2,1.620132
0.0,14,1.622561
0.0,24,1.626497
0.0,58,1.636526
0.0,19,1.639812
0.0,54,1.649152
0.0,65,1.660316
0.0,99,1.67745
0.0,118,1.697919
0.0,346,1.767985
0.0,181,1.800246
0.0,24,1.804455
0.0,15,1.807094
0.0,780,1.942949
0.0,75,1.955707
0.0,57,1.965683
0.0,51,1.974426
0.0,310,2.028704
0.0,256,2.073322
0.0,17,2.076321
0.0,54,2.085669
0.0,47,2.093987
0.0,150,2.120063
0.0,112,2.139674
1.0,140,2.164136
0.0,188,2.197095
0.0,52,2.206181
0.0,76,2.219476
1.0,163,2.247477
0.0,105,2.265899
0.0,142,2.290554
0.0,121,2.311631
1.0,321,2.367521
0.0,401,2.437464
0.0,235,2.478209
0.0,269,2.525111
0.0,7,2.526364
0.0,13,2.528642
0.0,8,2.530056
0.0,422,2.603843
0.0,83,2.618154
0.0,86,2.633116
0.0,145,2.658113
0.0,32,2.663746
0.0,85,2.678635
0.0,216,2.716426
0.0,489,2.80071
0.0,403,2.871504
0.0,11,2.873459
0.0,64,2.884621
0.0,32,2.890053
0.0,13,2.892351
0.0,33,2.898124
0.0,142,2.922876
1.0,660,3.036598
0.0,70,3.048715
0.0,135,3.072019
0.0,22,3.075865
0.0,34,3.081788
0.0,13,3.084069
0.0,115,3.104074
0.0,20,3.107587
0.0,62,3.117821
0.0,37,3.124263
0.0,25,3.128631
0.0,2,3.128991
1.0,160,3.157109
0.0,32,3.162759
0.0,17,3.165749
0.0,194,3.199744
0.0,42,3.207164
0.0,45,3.215044
0.0,138,3.238983
1.0,365,3.303203
1.0,347,3.362957
1.0,474,3.445737
0.0,73,3.457959
0.0,48,3.466231
0.0,269,3.513063
1.0,74,3.526043
1.0,266,3.572314
1.0,382,3.63881
0.0,55,3.648431
1.0,54,3.657875
0.0,106,3.676214
0.0,126,3.697808
1.0,230,3.737827
1.0,119,3.758538
1.0,160,3.78637
0.0,68,3.798045
0.0,122,3.819234
0.0,36,3.82552
1.0,230,3.865773
1.0,316,3.920749
0.0,81,3.934872
1.0,30,3.940114
1.0,178,3.971303
0.0,140,3.995357
0.0,89,4.010701
0.0,25,4.015081
0.0,82,4.029246
0.0,122,4.050589
0.0,67,4.062227
1.0,16,4.064991
0.0,150,4.091063
1.0,81,4.105202
0.0,84,4.119738
0.0,26,4.124248
0.0,200,4.158752
0.0,8,4.160162
1.0,40,4.167139
1.0,51,4.175987
0.0,64,4.187123
1.0,177,4.21785
1.0,32,4.223385
1.0,12,4.22546
0.0,37,4.231856
0.0,9,4.233429
1.0,113,4.252933
1.0,11,4.254845
1.0,115,4.274802
1.0,123,4.295709
0.0,97,4.312444
1.0,11,4.314366
1.0,204,4.349855
0.0,4,4.350568
1.0,54,4.359822
1.0,11,4.361727
1.0,106,4.380126
0.0,90,4.395557
1.0,100,4.412788
1.0,14,4.415225
1.0,115,4.435231
1.0,108,4.453969
1.0,127,4.475896
1.0,11,4.477812
0.0,47,4.486033
1.0,139,4.510208
1.0,43,4.517746
1.0,13,4.520001
0.0,83,4.53443
0.0,16,4.53709
1.0,147,4.562468
1.0,11,4.56439
0.0,5,4.565276
0.0,49,4.573691
1.0,49,4.582297
1.0,13,4.58456
1.0,165,4.613387
1.0,63,4.624345
1.0,26,4.628903
1.0,14,4.631323
1.0,152,4.65767
0.0,22,4.661324
1.0,97,4.678023
1.0,11,4.679956
1.0,113,4.699638
0.0,7,4.700864
1.0,35,4.707002
1.0,13,4.709263
1.0,128,4.731382
1.0,37,4.737847
0.0,14,4.740318
1.0,15,4.742908
1.0,70,4.755046
0.0,12,4.757086
1.0,47,4.76534
1.0,11,4.76726
1.0,106,4.785668
1.0,57,4.795577
0.0,6,4.796636
1.0,14,4.79899
0.0,98,4.816075
1.0,78,4.829715
1.0,54,4.839184
1.0,11,4.8411
1.0,71,4.85346
1.0,46,4.861421
1.0,128,4.883599
1.0,13,4.885847
1.0,60,4.896277
1.0,75,4.909356
1.0,41,4.916455
1.0,11,4.918372
0.0,84,4.93305
1.0,69,4.945062
1.0,35,4.951167
0.0,2,4.951527
0.0,42,4.958878
1.0,79,4.972671
1.0,30,4.977936
0.0,4,4.978651
1.0,89,4.994099
1.0,79,5.007763
0.0,27,5.012547
1.0,11,5.014468
0.0,45,5.022283
1.0,72,5.034811
1.0,33,5.04057
0.0,4,5.041267
0.0,65,5.052673
1.0,34,5.058622
1.0,36,5.064883
1.0,11,5.066804
0.0,40,5.073798
0.0,9,5.07539
0.0,44,5.082983
1.0,13,5.085247
0.0,31,5.090675
1.0,71,5.10295
1.0,35,5.109132
1.0,11,5.111052
0.0,59,5.121366
1.0,72,5.133899
1.0,35,5.140075
1.0,14,5.142473
0.0,45,5.150355
0.0,11,5.15229
1.0,28,5.157272
1.0,13,5.159529
1.0,41,5.166671
0.0,16,5.169494
1.0,57,5.179415
1.0,11,5.181347
0.0,6,5.18241
0.0,46,5.190433
1.0,25,5.194813
1.0,11,5.196741
0.0,12,5.198856
0.0,44,5.206411
1.0,31,5.211911
1.0,11,5.213846
1.0,71,5.226274
0.0,19,5.22959
1.0,34,5.235514
1.0,12,5.237599
0.0,65,5.248995
1.0,31,5.25446
1.0,25,5.258873
1.0,11,5.260794
1.0,46,5.268865
1.0,41,5.276058
1.0,43,5.28347
1.0,11,5.285386
1.0,41,5.292504
0.0,93,5.30881
1.0,30,5.314057
1.0,14,5.316492
0.0,16,5.319306
1.0,55,5.328872
0.0,21,5.332554
1.0,11,5.334486
1.0,34,5.340437
0.0,30,5.345688
1.0,25,5.350093
1.0,11,5.352008
1.0,33,5.35776
0.0,7,5.359003
1.0,26,5.363624
1.0,11,5.365557
1.0,27,5.370238
1.0,37,5.37667
1.0,29,5.381773
0.0,9,5.383372
1.0,26,5.387858
1.0,52,5.396971
1.0,25,5.401449
1.0,14,5.403813
0.0,38,5.410476
1.0,40,5.417436
1.0,25,5.421832
1.0,12,5.423921
0.0,15,5.426536
1.0,31,5.431948
1.0,25,5.436371
1.0,11,5.438283
1.0,32,5.443835
1.0,31,5.449253
1.0,27,5.45401
1.0,14,5.456432
1.0,23,5.460421
1.0,45,5.468219
0.0,18,5.471377
1.0,11,5.473297
0.0,7,5.474516
0.0,20,5.478009
1.0,32,5.483576
0.0,7,5.484808
1.0,34,5.490779
0.0,6,5.491819
1.0,25,5.496207
1.0,12,5.498285
1.0,83,5.512777
1.0,31,5.518168
1.0,29,5.523285
1.0,11,5.525201
1.0,23,5.52921
0.0,19,5.532533
1.0,29,5.537656
1.0,11,5.539583
1.0,25,5.543938
1.0,55,5.553448
0.0,19,5.55681
1.0,11,5.558741
1.0,27,5.56339
1.0,31,5.568804
1.0,32,5.574401
1.0,15,5.57698
1.0,25,5.581341
0.0,6,5.582392
1.0,30,5.587672
1.0,11,5.589589
1.0,23,5.593565
1.0,31,5.598954
1.0,25,5.603394
1.0,13,5.605649
1.0,25,5.610002
1.0,31,5.615404
1.0,28,5.620355
1.0,11,5.62228
0.0,21,5.625921
1.0,30,5.631165
1.0,32,5.636799
0.0,6,5.637862
1.0,25,5.642221
1.0,32,5.647765
1.0,27,5.652532
1.0,13,5.654799
1.0,23,5.658805
1.0,34,5.66474
1.0,31,5.670195
1.0,13,5.672416
1.0,24,5.676571
1.0,49,5.685118
1.0,25,5.689542
1.0,11,5.691465
1.0,26,5.695919
1.0,56,5.705581
1.0,25,5.710572
1.0,12,5.712696
1.0,24,5.717124
1.0,29,5.722194
1.0,27,5.726976
1.0,11,5.728905
1.0,25,5.733259
1.0,35,5.739362
1.0,31,5.744844
1.0,11,5.74677
1.0,23,5.750783
1.0,29,5.75582
1.0,27,5.760594
0.0,6,5.761663
0.0,30,5.766933
1.0,29,5.772001
1.0,26,5.776565
1.0,12,5.77862
1.0,23,5.782655
1.0,44,5.790274
0.0,4,5.790983
0.0,2,5.791338
1.0,23,5.795394
1.0,38,5.801935
1.0,30,5.807213
0.0,11,5.809146
1.0,27,5.813876
1.0,29,5.818942
1.0,29,5.824032
1.0,12,5.82613
1.0,23,5.830168
0.0,20,5.833647
0.0,17,5.836572
1.0,13,5.838833
0.0,23,5.842835
1.0,33,5.848581
1.0,29,5.853655
1.0,11,5.85557
1.0,43,5.863116
0.0,14,5.865532
1.0,28,5.870421
1.0,12,5.872649
1.0,25,5.877175
0.0,19,5.880471
1.0,28,5.885363
1.0,16,5.888121
1.0,56,5.897901
1.0,32,5.903496
1.0,25,5.907894
0.0,9,5.909457
0.0,4,5.910169
0.0,29,5.915218
1.0,28,5.92017
0.0,9,5.921763
1.0,23,5.925811
1.0,33,5.931587
1.0,27,5.936291
1.0,14,5.938715
1.0,25,5.943114
1.0,29,5.948169
1.0,25,5.952529
1.0,13,5.954798
1.0,28,5.95963
1.0,32,5.965217
1.0,25,5.969617
0.0,6,5.97068
1.0,25,5.975074
0.0,7,5.976316
1.0,25,5.980723
1.0,13,5.982981
1.0,26,5.987471
0.0,10,5.989222
0.0,6,5.990264
0.0,2,5.99062
1.0,23,5.994644
1.0,44,6.002286
0.0,14,6.004759
1.0,14,6.007199
1.0,25,6.01159
1.0,134,6.034927
0.0,6,6.035997
1.0,11,6.037945
1.0,27,6.042621
0.0,17,6.045581
0.0,37,6.05208
1.0,17,6.055053
1.0,23,6.059071
1.0,34,6.064986
1.0,29,6.070122
1.0,11,6.072047
0.0,8,6.073479
1.0,29,6.078554
1.0,29,6.083702
1.0,11,6.085629
0.0,19,6.088944
0.0,11,6.090869
1.0,29,6.095909
1.0,12,6.098004
1.0,25,6.102385
1.0,33,6.10814
1.0,39,6.115022
1.0,16,6.117807
1.0,25,6.122197
1.0,29,6.127284
1.0,25,6.131675
0.0,6,6.132735
1.0,29,6.137834
1.0,33,6.143612
0.0,16,6.146394
1.0,12,6.14848
1.0,23,6.152492
0.0,9,6.154083
1.0,30,6.159376
1.0,14,6.161827
1.0,27,6.166499
1.0,33,6.172229
0.0,17,6.175234
1.0,12,6.177321
1.0,26,6.181809
1.0,59,6.192144
1.0,29,6.197265
0.0,9,6.198868
1.0,25,6.20319
0.0,26,6.207763
0.0,22,6.211648
1.0,15,6.214285
1.0,23,6.218313
0.0,23,6.222375
0.0,99,6.23958
1.0,13,6.241857
0.0,10,6.243608
1.0,29,6.248655
1.0,26,6.253197
1.0,15,6.255808
1.0,27,6.260499
1.0,31,6.265912
1.0,27,6.27065
1.0,11,6.272575
0.0,16,6.275333
1.0,33,6.281065
1.0,29,6.286141
1.0,11,6.288049
1.0,26,6.292567
0.0,9,6.294159
0.0,24,6.298379
1.0,16,6.301148
1.0,25,6.30548
1.0,33,6.311218
1.0,29,6.316332
1.0,11,6.318243
0.0,19,6.321555
1.0,35,6.327646
1.0,31,6.333096
1.0,11,6.335011
1.0,23,6.339059
1.0,32,6.344611
1.0,32,6.350127
0.0,2,6.350474
1.0,23,6.354514
1.0,32,6.359945
1.0,28,6.364843
1.0,11,6.366751
1.0,25,6.371069
0.0,26,6.375584
1.0,25,6.380016
0.0,5,6.380887
1.0,23,6.384925
1.0,31,6.39037
1.0,29,6.395444
1.0,12,6.397538
1.0,25,6.401861
1.0,37,6.408322
1.0,27,6.413102
0.0,7,6.41434
1.0,25,6.418671
1.0,38,6.425285
1.0,28,6.430231
1.0,15,6.432842
1.0,27,6.437574
1.0,29,6.442625
0.0,10,6.444364
1.0,13,6.446629
0.0,4,6.447338
