episodes,steps,total reward
1,10000,1.0
1,20000,0.0
2,30000,1.0
2,40000,0.0
3,50000,1.0
4,60000,1.0
4,70000,0.0
4,80000,0.0
5,90000,1.0
6,100000,1.0
8,110000,2.0
12,120000,4.0
19,130000,7.0
26,140000,7.0
30,150000,4.0
38,160000,8.0
46,170000,8.0
58,180000,12.0
78,190000,20.0
102,200000,24.0
132,210000,30.0
165,220000,33.0
211,230000,46.0
267,240000,56.0
330,250000,63.0
399,260000,69.0
481,270000,82.0
583,280000,102.0
695,290000,112.0
807,300000,112.0
920,310000,113.0
1038,320000,118.0
1148,330000,110.0
1264,340000,116.0
1390,350000,126.0
1516,360000,126.0
1649,370000,133.0
1774,380000,126.0
1911,390000,136.0
2049,400000,138.0
2194,410000,145.0
2333,420000,139.0
2476,430000,143.0
2609,440000,133.0
2755,450000,146.0
2901,460000,146.0
3047,470000,146.0
3195,480000,148.0
3335,490000,140.0
3479,500000,144.0
3623,510000,144.0
3765,520000,142.0
3909,530000,144.0
4055,540000,146.0
4195,550000,140.0
4337,560000,142.0
4483,570000,146.0
4630,580000,147.0
4775,590000,145.0
4919,600000,144.0
5064,610000,145.0
5210,620000,146.0
5356,630000,146.0
5502,640000,146.0
5648,650000,146.0
5788,660000,140.0
5932,670000,144.0
6074,680000,142.0
6221,690000,147.0
6360,700000,139.0
6505,710000,145.0
6649,720000,144.0
6795,730000,146.0
6942,740000,147.0
7088,750000,146.0
7233,760000,145.0
7378,770000,145.0
7524,780000,146.0
7664,790000,140.0
7810,800000,146.0
7956,810000,146.0
8098,820000,142.0
8241,830000,143.0
8380,840000,139.0
8525,850000,145.0
8669,860000,144.0
8803,870000,134.0
8944,880000,141.0
9089,890000,145.0
9234,900000,145.0
9381,910000,147.0
9527,920000,146.0
9671,930000,144.0
9815,940000,144.0
9958,950000,143.0
10102,960000,144.0
10247,970000,145.0
10396,980000,149.0
10544,990000,148.0
10688,1000000,144.0
10835,1010000,147.0
10979,1020000,144.0
11117,1030000,138.0
11261,1040000,144.0
11407,1050000,146.0
11554,1060000,147.0
11700,1070000,146.0
11841,1080000,141.0
11987,1090000,146.0
12134,1100000,147.0
12279,1110000,145.0
12425,1120000,146.0
12570,1130000,145.0
12714,1140000,144.0
12861,1150000,147.0
13006,1160000,145.0
13148,1170000,142.0
13296,1180000,148.0
13442,1190000,146.0
13590,1200000,148.0
13736,1210000,146.0
13882,1220000,146.0
14029,1230000,147.0
14170,1240000,141.0
14317,1250000,147.0
14461,1260000,144.0
14608,1270000,147.0
14754,1280000,146.0
14899,1290000,145.0
15045,1300000,146.0
15186,1310000,141.0
15334,1320000,148.0
15482,1330000,148.0
15627,1340000,145.0
15769,1350000,142.0
15914,1360000,145.0
16061,1370000,147.0
16203,1380000,142.0
16350,1390000,147.0
16497,1400000,147.0
16643,1410000,146.0
16788,1420000,145.0
16937,1430000,149.0
17080,1440000,143.0
17227,1450000,147.0
17369,1460000,142.0
17514,1470000,145.0
17660,1480000,146.0
17804,1490000,144.0
17950,1500000,146.0
18098,1510000,148.0
18242,1520000,144.0
18388,1530000,146.0
18526,1540000,138.0
18670,1550000,144.0
18814,1560000,144.0
18961,1570000,147.0
19106,1580000,145.0
19251,1590000,145.0
19393,1600000,142.0
19539,1610000,146.0
19685,1620000,146.0
19831,1630000,146.0
19977,1640000,146.0
20123,1650000,146.0
20269,1660000,146.0
20416,1670000,147.0
20560,1680000,144.0
20706,1690000,146.0
20854,1700000,148.0
20999,1710000,145.0
21145,1720000,146.0
21291,1730000,146.0
21437,1740000,146.0
21582,1750000,145.0
21725,1760000,143.0
21872,1770000,147.0
22017,1780000,145.0
22163,1790000,146.0
22308,1800000,145.0
22452,1810000,144.0
22599,1820000,147.0
22743,1830000,144.0
22889,1840000,146.0
23033,1850000,144.0
23180,1860000,147.0
23327,1870000,147.0
23472,1880000,145.0
23615,1890000,143.0
23759,1900000,144.0
23905,1910000,146.0
24051,1920000,146.0
24197,1930000,146.0
24345,1940000,148.0
24489,1950000,144.0
24636,1960000,147.0
24782,1970000,146.0
24928,1980000,146.0
25074,1990000,146.0
25219,2000000,145.0
