episodes,total reward,steps
0,0.0,10000
1,1.0,20000
1,0.0,30000
1,0.0,40000
1,0.0,50000
1,0.0,60000
1,0.0,70000
2,1.0,80000
3,1.0,90000
5,2.0,100000
9,4.0,110000
12,3.0,120000
17,5.0,130000
20,3.0,140000
28,8.0,150000
37,9.0,160000
48,11.0,170000
58,10.0,180000
76,18.0,190000
90,14.0,200000
114,24.0,210000
145,31.0,220000
183,38.0,230000
232,49.0,240000
302,70.0,250000
374,72.0,260000
455,81.0,270000
540,85.0,280000
631,91.0,290000
749,118.0,300000
873,124.0,310000
998,125.0,320000
1105,107.0,330000
1241,136.0,340000
1373,132.0,350000
1507,134.0,360000
1642,135.0,370000
1769,127.0,380000
1912,143.0,390000
2057,145.0,400000
2203,146.0,410000
2333,130.0,420000
2475,142.0,430000
2620,145.0,440000
2763,143.0,450000
2908,146.0,460000
3053,144.0,470000
3187,134.0,480000
3327,140.0,490000
3471,144.0,500000
3617,146.0,510000
3761,144.0,520000
3907,146.0,530000
4054,147.0,540000
4199,145.0,550000
4342,143.0,560000
4483,141.0,570000
4604,121.0,580000
4747,143.0,590000
4895,148.0,600000
5041,146.0,610000
5186,145.0,620000
5334,148.0,630000
5481,147.0,640000
5627,146.0,650000
5774,147.0,660000
5920,146.0,670000
6058,138.0,680000
6200,142.0,690000
6342,142.0,700000
6487,145.0,710000
6633,146.0,720000
6779,146.0,730000
6922,143.0,740000
7067,145.0,750000
7213,146.0,760000
7358,145.0,770000
7502,144.0,780000
7646,144.0,790000
7794,148.0,800000
7937,143.0,810000
8084,147.0,820000
8228,144.0,830000
8375,147.0,840000
8512,137.0,850000
8658,146.0,860000
8804,146.0,870000
8948,144.0,880000
9093,145.0,890000
9237,144.0,900000
9380,143.0,910000
9527,147.0,920000
9674,147.0,930000
9822,148.0,940000
9967,145.0,950000
10113,146.0,960000
10255,142.0,970000
10401,146.0,980000
10537,136.0,990000
10684,147.0,1000000
10824,140.0,1010000
10971,147.0,1020000
11119,148.0,1030000
11263,144.0,1040000
11407,144.0,1050000
11550,143.0,1060000
11692,142.0,1070000
11836,144.0,1080000
11983,147.0,1090000
12128,145.0,1100000
12271,143.0,1110000
12417,146.0,1120000
12563,146.0,1130000
12709,146.0,1140000
12853,145.0,1150000
12998,144.0,1160000
13144,146.0,1170000
13290,146.0,1180000
13438,148.0,1190000
13584,146.0,1200000
13732,148.0,1210000
13879,147.0,1220000
14027,148.0,1230000
14171,144.0,1240000
14313,142.0,1250000
14448,135.0,1260000
14591,143.0,1270000
14735,144.0,1280000
14878,143.0,1290000
15022,144.0,1300000
15169,147.0,1310000
15315,146.0,1320000
15460,145.0,1330000
15604,144.0,1340000
15752,148.0,1350000
15899,147.0,1360000
16045,146.0,1370000
16190,145.0,1380000
16336,146.0,1390000
16483,147.0,1400000
16628,145.0,1410000
16775,147.0,1420000
16919,144.0,1430000
17061,142.0,1440000
17207,146.0,1450000
17354,147.0,1460000
17500,146.0,1470000
17644,144.0,1480000
17792,148.0,1490000
17933,141.0,1500000
18076,143.0,1510000
18223,147.0,1520000
18371,148.0,1530000
18519,148.0,1540000
18667,148.0,1550000
18812,145.0,1560000
18957,145.0,1570000
19104,147.0,1580000
19250,146.0,1590000
19397,147.0,1600000
19545,148.0,1610000
19686,141.0,1620000
19833,147.0,1630000
19979,146.0,1640000
20124,145.0,1650000
20271,147.0,1660000
20414,143.0,1670000
20561,147.0,1680000
20709,148.0,1690000
20854,145.0,1700000
20998,144.0,1710000
21143,145.0,1720000
21288,145.0,1730000
21435,147.0,1740000
21583,148.0,1750000
21729,146.0,1760000
21875,146.0,1770000
22023,148.0,1780000
22169,146.0,1790000
22314,145.0,1800000
22461,147.0,1810000
22606,145.0,1820000
22752,146.0,1830000
22897,145.0,1840000
23044,147.0,1850000
23190,146.0,1860000
23337,147.0,1870000
23483,146.0,1880000
23628,145.0,1890000
23774,146.0,1900000
23917,143.0,1910000
24059,142.0,1920000
24206,147.0,1930000
24349,143.0,1940000
24495,147.0,1950000
24641,145.0,1960000
24788,147.0,1970000
24933,145.0,1980000
25080,147.0,1990000
25226,146.0,2000000
