#{"t_start": 1711514504.720593, "env_id": "Craft-single-M1-v0"}
r,l,t
1.0,3277,0.380498
1.0,3183,0.749225
1.0,4880,1.323633
1.0,45032,6.549108
1.0,29981,10.016256
1.0,6573,10.782384
1.0,5244,11.397112
1.0,4055,11.872941
1.0,2223,12.131704
1.0,4766,12.686973
1.0,1854,12.903015
1.0,1119,13.034044
1.0,10680,14.283409
1.0,3502,14.689587
1.0,361,14.73153
1.0,1199,14.870564
1.0,1055,14.992816
1.0,2078,15.235196
1.0,694,15.31709
1.0,4678,15.862135
1.0,1003,15.979801
1.0,832,16.077197
1.0,1155,16.212787
1.0,2965,16.560858
1.0,3945,17.024913
1.0,559,17.090742
1.0,296,17.125368
1.0,2890,17.464645
1.0,697,17.546873
1.0,1283,17.697562
1.0,240,17.725687
1.0,2387,18.004965
1.0,275,18.037073
1.0,3322,18.424729
1.0,1203,18.56483
1.0,1625,18.753874
1.0,1201,18.894625
1.0,2018,19.13106
1.0,3855,19.579497
1.0,286,19.612888
1.0,774,19.703279
1.0,245,19.731849
1.0,249,19.760764
1.0,1006,19.879529
1.0,1480,20.053443
1.0,497,20.111833
1.0,709,20.195282
1.0,1155,20.330576
1.0,796,20.423716
1.0,1068,20.548349
1.0,351,20.5895
1.0,249,20.618484
1.0,294,20.652646
1.0,940,20.762889
1.0,1031,20.883914
1.0,714,20.967585
1.0,462,21.021783
1.0,1426,21.189186
1.0,209,21.2137
1.0,1132,21.34653
1.0,556,21.411526
1.0,113,21.424683
1.0,676,21.503658
1.0,115,21.516889
1.0,611,21.588694
1.0,1354,21.747926
1.0,214,21.772935
1.0,935,21.882019
1.0,259,21.912317
1.0,351,21.953631
1.0,507,22.012964
1.0,702,22.095391
1.0,2397,22.377521
1.0,1732,22.580823
1.0,470,22.636234
1.0,103,22.648343
1.0,335,22.687689
1.0,281,22.720639
1.0,975,22.834598
1.0,794,22.927735
1.0,83,22.937519
1.0,1117,23.068677
1.0,180,23.089697
1.0,444,23.141652
1.0,504,23.200513
1.0,916,23.30765
1.0,2277,23.574168
1.0,165,23.593593
1.0,992,23.709553
1.0,403,23.756918
1.0,116,23.770427
1.0,231,23.797673
1.0,918,23.905355
1.0,216,23.930655
1.0,201,23.954064
1.0,95,23.965013
1.0,219,23.990496
1.0,97,24.001798
1.0,91,24.012341
1.0,516,24.072464
1.0,499,24.131021
1.0,665,24.209023
1.0,286,24.242453
1.0,161,24.261215
1.0,222,24.287147
1.0,80,24.296418
1.0,119,24.310294
1.0,489,24.367861
1.0,287,24.401371
1.0,471,24.456473
1.0,136,24.472308
1.0,117,24.486073
1.0,73,24.494531
1.0,147,24.511617
1.0,1114,24.642292
1.0,729,24.728159
1.0,936,24.838045
1.0,110,24.850944
1.0,283,24.88407
1.0,124,24.89854
1.0,561,24.96413
1.0,98,24.975553
1.0,123,24.989842
1.0,361,25.03207
1.0,329,25.070659
1.0,195,25.093566
1.0,184,25.115059
1.0,332,25.153872
1.0,91,25.164465
1.0,75,25.173213
1.0,450,25.225512
1.0,97,25.236849
1.0,92,25.24756
1.0,139,25.26379
1.0,234,25.291125
1.0,101,25.302887
1.0,89,25.313246
1.0,75,25.321903
1.0,257,25.352067
1.0,97,25.363493
1.0,1295,25.515466
1.0,131,25.530824
1.0,141,25.547262
1.0,111,25.560204
1.0,201,25.583646
1.0,505,25.64276
1.0,101,25.654609
1.0,97,25.665886
1.0,110,25.678715
1.0,272,25.710643
1.0,818,25.806623
1.0,710,25.889344
1.0,95,25.900401
1.0,334,25.939661
1.0,95,25.950738
1.0,524,26.012196
1.0,652,26.088372
1.0,647,26.164179
1.0,67,26.17203
1.0,1420,26.337895
1.0,103,26.349997
1.0,123,26.36439
1.0,147,26.381989
1.0,122,26.396286
1.0,91,26.406822
1.0,81,26.416177
1.0,110,26.429032
1.0,97,26.440299
1.0,69,26.448181
1.0,101,26.459909
1.0,205,26.483895
1.0,475,26.539722
1.0,99,26.551225
1.0,102,26.56304
1.0,81,26.572442
1.0,119,26.586331
1.0,436,26.637303
1.0,93,26.648075
1.0,257,26.678161
1.0,124,26.692625
1.0,812,26.787783
1.0,183,26.809241
1.0,348,26.850013
1.0,69,26.858103
1.0,73,26.866705
1.0,139,26.883068
1.0,73,26.891585
1.0,199,26.914994
1.0,75,26.923688
1.0,115,26.937158
1.0,376,26.9811
1.0,69,26.989157
1.0,113,27.002389
1.0,236,27.029968
1.0,142,27.0465
1.0,69,27.054493
1.0,69,27.06252
1.0,729,27.147991
1.0,273,27.180017
1.0,61,27.187106
1.0,93,27.197844
1.0,73,27.206369
1.0,81,27.215755
1.0,79,27.224852
1.0,464,27.27937
1.0,124,27.293893
1.0,93,27.304711
1.0,83,27.314371
1.0,79,27.323518
1.0,105,27.335784
1.0,105,27.348061
1.0,415,27.397208
1.0,145,27.414197
1.0,179,27.435152
1.0,131,27.450533
1.0,333,27.489498
1.0,73,27.498001
1.0,739,27.584697
1.0,71,27.592859
1.0,84,27.602591
1.0,111,27.615484
1.0,81,27.624923
1.0,215,27.650213
1.0,902,27.755483
1.0,79,27.764658
1.0,67,27.772438
