total reward,steps,episodes
1.0,10000,1
0.0,20000,1
1.0,30000,2
0.0,40000,2
0.0,50000,2
0.0,60000,2
1.0,70000,3
0.0,80000,3
0.0,90000,3
2.0,100000,5
3.0,110000,8
4.0,120000,12
4.0,130000,16
5.0,140000,21
7.0,150000,28
9.0,160000,37
11.0,170000,48
14.0,180000,62
13.0,190000,75
24.0,200000,99
21.0,210000,120
23.0,220000,143
22.0,230000,165
35.0,240000,200
34.0,250000,234
43.0,260000,277
36.0,270000,313
42.0,280000,355
48.0,290000,403
43.0,300000,446
52.0,310000,498
57.0,320000,555
53.0,330000,608
62.0,340000,670
70.0,350000,740
77.0,360000,817
82.0,370000,899
76.0,380000,975
78.0,390000,1053
71.0,400000,1124
71.0,410000,1195
86.0,420000,1281
89.0,430000,1370
88.0,440000,1458
81.0,450000,1539
81.0,460000,1620
95.0,470000,1715
86.0,480000,1801
94.0,490000,1895
87.0,500000,1982
91.0,510000,2073
86.0,520000,2159
93.0,530000,2252
91.0,540000,2343
94.0,550000,2437
89.0,560000,2526
93.0,570000,2619
88.0,580000,2707
91.0,590000,2798
94.0,600000,2892
93.0,610000,2985
91.0,620000,3076
93.0,630000,3169
87.0,640000,3256
94.0,650000,3350
91.0,660000,3441
93.0,670000,3534
88.0,680000,3622
94.0,690000,3716
92.0,700000,3808
94.0,710000,3902
91.0,720000,3993
95.0,730000,4088
94.0,740000,4182
94.0,750000,4276
93.0,760000,4369
94.0,770000,4463
94.0,780000,4557
89.0,790000,4646
91.0,800000,4737
93.0,810000,4830
91.0,820000,4921
94.0,830000,5015
93.0,840000,5108
89.0,850000,5197
93.0,860000,5290
93.0,870000,5383
94.0,880000,5477
91.0,890000,5568
93.0,900000,5661
95.0,910000,5756
91.0,920000,5847
93.0,930000,5940
90.0,940000,6030
92.0,950000,6122
93.0,960000,6215
90.0,970000,6305
92.0,980000,6397
94.0,990000,6491
91.0,1000000,6582
92.0,1010000,6674
94.0,1020000,6768
92.0,1030000,6860
94.0,1040000,6954
92.0,1050000,7046
95.0,1060000,7141
90.0,1070000,7231
94.0,1080000,7325
93.0,1090000,7418
95.0,1100000,7513
94.0,1110000,7607
94.0,1120000,7701
95.0,1130000,7796
92.0,1140000,7888
93.0,1150000,7981
94.0,1160000,8075
94.0,1170000,8169
95.0,1180000,8264
92.0,1190000,8356
92.0,1200000,8448
92.0,1210000,8540
93.0,1220000,8633
94.0,1230000,8727
95.0,1240000,8822
96.0,1250000,8918
93.0,1260000,9011
94.0,1270000,9105
95.0,1280000,9199
93.0,1290000,9293
95.0,1300000,9388
94.0,1310000,9482
94.0,1320000,9576
93.0,1330000,9669
95.0,1340000,9764
92.0,1350000,9856
92.0,1360000,9948
94.0,1370000,10042
94.0,1380000,10136
95.0,1390000,10231
92.0,1400000,10323
93.0,1410000,10416
94.0,1420000,10510
93.0,1430000,10603
94.0,1440000,10697
93.0,1450000,10790
93.0,1460000,10883
93.0,1470000,10976
93.0,1480000,11069
95.0,1490000,11164
95.0,1500000,11259
94.0,1510000,11353
93.0,1520000,11446
96.0,1530000,11542
93.0,1540000,11635
95.0,1550000,11730
94.0,1560000,11824
95.0,1570000,11919
93.0,1580000,12012
94.0,1590000,12106
94.0,1600000,12200
93.0,1610000,12293
94.0,1620000,12387
95.0,1630000,12482
94.0,1640000,12576
95.0,1650000,12671
95.0,1660000,12766
94.0,1670000,12860
94.0,1680000,12954
94.0,1690000,13048
93.0,1700000,13141
93.0,1710000,13234
94.0,1720000,13328
96.0,1730000,13424
93.0,1740000,13517
95.0,1750000,13612
94.0,1760000,13706
95.0,1770000,13801
94.0,1780000,13895
92.0,1790000,13987
95.0,1800000,14082
93.0,1810000,14175
94.0,1820000,14269
96.0,1830000,14365
93.0,1840000,14458
95.0,1850000,14553
93.0,1860000,14646
94.0,1870000,14740
93.0,1880000,14833
93.0,1890000,14926
93.0,1900000,15019
94.0,1910000,15113
94.0,1920000,15207
95.0,1930000,15302
94.0,1940000,15396
94.0,1950000,15490
95.0,1960000,15585
94.0,1970000,15679
95.0,1980000,15774
93.0,1990000,15867
94.0,2000000,15961
