steps,total reward,episodes
10000,1.0,1
20000,0.0,1
30000,0.0,1
40000,1.0,2
50000,0.0,2
60000,0.0,2
70000,1.0,3
80000,0.0,3
90000,0.0,3
100000,2.0,5
110000,3.0,8
120000,3.0,11
130000,3.0,14
140000,5.0,19
150000,5.0,24
160000,5.0,29
170000,10.0,39
180000,9.0,48
190000,11.0,59
200000,11.0,70
210000,14.0,84
220000,19.0,103
230000,18.0,121
240000,22.0,143
250000,25.0,168
260000,26.0,194
270000,26.0,220
280000,34.0,254
290000,38.0,292
300000,51.0,343
310000,49.0,392
320000,76.0,468
330000,83.0,550
340000,71.0,622
350000,102.0,724
360000,102.0,826
370000,98.0,924
380000,95.0,1019
390000,90.0,1109
400000,102.0,1211
410000,85.0,1296
420000,106.0,1402
430000,104.0,1506
440000,94.0,1600
450000,96.0,1696
460000,100.0,1796
470000,106.0,1902
480000,93.0,1995
490000,103.0,2098
500000,101.0,2199
510000,94.0,2293
520000,102.0,2395
530000,108.0,2503
540000,100.0,2603
550000,102.0,2705
560000,81.0,2786
570000,106.0,2892
580000,95.0,2987
590000,102.0,3089
600000,101.0,3190
610000,96.0,3286
620000,96.0,3382
630000,99.0,3481
640000,103.0,3584
650000,90.0,3674
660000,102.0,3776
670000,98.0,3874
680000,88.0,3962
690000,101.0,4063
700000,105.0,4168
710000,95.0,4263
720000,100.0,4363
730000,95.0,4458
740000,107.0,4565
750000,98.0,4663
760000,105.0,4768
770000,106.0,4874
780000,89.0,4963
790000,98.0,5061
800000,108.0,5169
810000,100.0,5269
820000,106.0,5375
830000,107.0,5482
840000,106.0,5588
850000,106.0,5694
860000,105.0,5799
870000,107.0,5906
880000,104.0,6010
890000,104.0,6114
900000,104.0,6218
910000,107.0,6325
920000,106.0,6431
930000,105.0,6536
940000,108.0,6644
950000,107.0,6751
960000,107.0,6858
970000,106.0,6964
980000,104.0,7068
990000,105.0,7173
1000000,106.0,7279
1010000,107.0,7386
1020000,107.0,7493
1030000,103.0,7596
1040000,105.0,7701
1050000,107.0,7808
1060000,104.0,7912
1070000,106.0,8018
1080000,107.0,8125
1090000,106.0,8231
1100000,106.0,8337
1110000,107.0,8444
1120000,105.0,8549
1130000,107.0,8656
1140000,98.0,8754
1150000,107.0,8861
1160000,106.0,8967
1170000,106.0,9073
1180000,105.0,9178
1190000,107.0,9285
1200000,106.0,9391
1210000,108.0,9499
1220000,106.0,9605
1230000,107.0,9712
1240000,107.0,9819
1250000,106.0,9925
1260000,107.0,10032
1270000,107.0,10139
1280000,109.0,10247
1290000,106.0,10354
1300000,106.0,10460
1310000,108.0,10568
1320000,107.0,10675
1330000,107.0,10782
1340000,105.0,10887
1350000,106.0,10993
1360000,99.0,11092
1370000,105.0,11197
1380000,106.0,11303
1390000,107.0,11410
1400000,108.0,11518
1410000,106.0,11624
1420000,107.0,11731
1430000,106.0,11837
1440000,105.0,11942
1450000,106.0,12048
1460000,106.0,12154
1470000,106.0,12260
1480000,105.0,12365
1490000,107.0,12472
1500000,107.0,12579
1510000,106.0,12685
1520000,106.0,12791
1530000,107.0,12898
1540000,106.0,13004
1550000,106.0,13110
1560000,107.0,13217
1570000,107.0,13324
1580000,106.0,13430
1590000,105.0,13535
1600000,97.0,13632
1610000,106.0,13738
1620000,105.0,13843
1630000,106.0,13949
1640000,107.0,14056
1650000,107.0,14163
1660000,105.0,14268
1670000,108.0,14376
1680000,106.0,14482
1690000,108.0,14590
1700000,104.0,14694
1710000,108.0,14802
1720000,106.0,14908
1730000,106.0,15014
1740000,107.0,15121
1750000,107.0,15228
1760000,107.0,15335
1770000,106.0,15441
1780000,107.0,15548
1790000,101.0,15649
1800000,106.0,15755
1810000,106.0,15861
1820000,106.0,15967
1830000,105.0,16072
1840000,106.0,16178
1850000,108.0,16286
1860000,105.0,16391
1870000,105.0,16496
1880000,107.0,16603
1890000,106.0,16709
1900000,108.0,16817
1910000,107.0,16924
1920000,106.0,17030
1930000,106.0,17136
1940000,107.0,17243
1950000,105.0,17348
1960000,107.0,17455
1970000,105.0,17560
1980000,95.0,17655
1990000,106.0,17761
2000000,103.0,17864
