total reward,episodes,steps
1.0,1,10000
1.0,2,20000
0.0,2,30000
1.0,3,40000
0.0,3,50000
0.0,3,60000
1.0,4,70000
0.0,4,80000
1.0,5,90000
2.0,7,100000
4.0,11,110000
2.0,13,120000
2.0,15,130000
7.0,22,140000
6.0,28,150000
8.0,36,160000
10.0,46,170000
11.0,57,180000
7.0,64,190000
14.0,78,200000
14.0,92,210000
15.0,107,220000
23.0,130,230000
20.0,150,240000
30.0,180,250000
21.0,201,260000
28.0,229,270000
32.0,261,280000
29.0,290,290000
48.0,338,300000
42.0,380,310000
74.0,454,320000
76.0,530,330000
94.0,624,340000
86.0,710,350000
92.0,802,360000
89.0,891,370000
98.0,989,380000
105.0,1094,390000
88.0,1182,400000
104.0,1286,410000
106.0,1392,420000
108.0,1500,430000
91.0,1591,440000
104.0,1695,450000
106.0,1801,460000
100.0,1901,470000
108.0,2009,480000
96.0,2105,490000
102.0,2207,500000
102.0,2309,510000
98.0,2407,520000
103.0,2510,530000
98.0,2608,540000
101.0,2709,550000
90.0,2799,560000
89.0,2888,570000
102.0,2990,580000
103.0,3093,590000
88.0,3181,600000
87.0,3268,610000
102.0,3370,620000
105.0,3475,630000
100.0,3575,640000
94.0,3669,650000
103.0,3772,660000
79.0,3851,670000
107.0,3958,680000
92.0,4049,690000
91.0,4141,700000
101.0,4242,710000
95.0,4337,720000
106.0,4443,730000
92.0,4535,740000
105.0,4640,750000
103.0,4743,760000
102.0,4845,770000
106.0,4951,780000
106.0,5057,790000
104.0,5161,800000
103.0,5264,810000
107.0,5371,820000
107.0,5478,830000
106.0,5584,840000
107.0,5691,850000
105.0,5796,860000
107.0,5903,870000
108.0,6011,880000
105.0,6116,890000
106.0,6222,900000
105.0,6327,910000
106.0,6433,920000
104.0,6537,930000
107.0,6644,940000
107.0,6751,950000
105.0,6856,960000
105.0,6961,970000
108.0,7069,980000
107.0,7176,990000
107.0,7283,1000000
106.0,7389,1010000
108.0,7497,1020000
105.0,7602,1030000
106.0,7708,1040000
96.0,7804,1050000
108.0,7912,1060000
105.0,8017,1070000
107.0,8124,1080000
106.0,8230,1090000
107.0,8337,1100000
107.0,8444,1110000
106.0,8550,1120000
107.0,8657,1130000
104.0,8761,1140000
107.0,8868,1150000
106.0,8974,1160000
107.0,9081,1170000
105.0,9186,1180000
107.0,9293,1190000
106.0,9399,1200000
104.0,9503,1210000
107.0,9610,1220000
104.0,9714,1230000
100.0,9814,1240000
105.0,9919,1250000
107.0,10026,1260000
106.0,10132,1270000
107.0,10239,1280000
106.0,10345,1290000
106.0,10451,1300000
108.0,10559,1310000
106.0,10665,1320000
104.0,10769,1330000
107.0,10876,1340000
105.0,10981,1350000
107.0,11088,1360000
104.0,11192,1370000
103.0,11295,1380000
107.0,11402,1390000
105.0,11507,1400000
108.0,11615,1410000
108.0,11723,1420000
107.0,11830,1430000
108.0,11937,1440000
98.0,12036,1450000
104.0,12140,1460000
107.0,12247,1470000
105.0,12352,1480000
107.0,12459,1490000
106.0,12565,1500000
107.0,12672,1510000
107.0,12779,1520000
107.0,12886,1530000
108.0,12994,1540000
101.0,13095,1550000
105.0,13200,1560000
107.0,13307,1570000
103.0,13410,1580000
102.0,13512,1590000
105.0,13617,1600000
106.0,13722,1610000
103.0,13826,1620000
104.0,13930,1630000
107.0,14037,1640000
107.0,14144,1650000
103.0,14247,1660000
109.0,14356,1670000
105.0,14461,1680000
108.0,14569,1690000
106.0,14675,1700000
108.0,14783,1710000
106.0,14889,1720000
107.0,14996,1730000
107.0,15103,1740000
106.0,15209,1750000
106.0,15315,1760000
106.0,15421,1770000
107.0,15528,1780000
105.0,15633,1790000
108.0,15741,1800000
107.0,15848,1810000
104.0,15952,1820000
107.0,16059,1830000
107.0,16166,1840000
108.0,16274,1850000
108.0,16382,1860000
106.0,16488,1870000
107.0,16595,1880000
105.0,16700,1890000
105.0,16805,1900000
105.0,16910,1910000
107.0,17017,1920000
107.0,17124,1930000
108.0,17232,1940000
107.0,17339,1950000
108.0,17447,1960000
105.0,17552,1970000
108.0,17660,1980000
107.0,17767,1990000
108.0,17875,2000000
