steps,episodes,total reward
10000,0,0.0
20000,1,1.0
30000,1,0.0
40000,2,1.0
50000,2,0.0
60000,3,1.0
70000,3,0.0
80000,4,1.0
90000,4,0.0
100000,5,1.0
110000,8,3.0
120000,13,5.0
130000,18,5.0
140000,21,3.0
150000,26,5.0
160000,34,8.0
170000,39,5.0
180000,48,9.0
190000,62,14.0
200000,72,10.0
210000,84,12.0
220000,103,19.0
230000,119,16.0
240000,139,20.0
250000,165,26.0
260000,198,33.0
270000,232,34.0
280000,261,29.0
290000,295,34.0
300000,339,44.0
310000,388,49.0
320000,438,50.0
330000,494,56.0
340000,554,60.0
350000,638,84.0
360000,725,87.0
370000,814,89.0
380000,904,90.0
390000,991,87.0
400000,1095,104.0
410000,1200,105.0
420000,1308,108.0
430000,1409,101.0
440000,1505,96.0
450000,1574,69.0
460000,1666,92.0
470000,1772,106.0
480000,1875,103.0
490000,1972,97.0
500000,2073,101.0
510000,2175,102.0
520000,2270,95.0
530000,2363,93.0
540000,2470,107.0
550000,2573,103.0
560000,2672,99.0
570000,2779,107.0
580000,2881,102.0
590000,2975,94.0
600000,3066,91.0
610000,3151,85.0
620000,3253,102.0
630000,3348,95.0
640000,3455,107.0
650000,3556,101.0
660000,3657,101.0
670000,3757,100.0
680000,3860,103.0
690000,3959,99.0
700000,4065,106.0
710000,4167,102.0
720000,4272,105.0
730000,4378,106.0
740000,4480,102.0
750000,4587,107.0
760000,4695,108.0
770000,4797,102.0
780000,4905,108.0
790000,5011,106.0
800000,5115,104.0
810000,5222,107.0
820000,5331,109.0
830000,5436,105.0
840000,5543,107.0
850000,5647,104.0
860000,5753,106.0
870000,5860,107.0
880000,5964,104.0
890000,6071,107.0
900000,6178,107.0
910000,6284,106.0
920000,6391,107.0
930000,6498,107.0
940000,6603,105.0
950000,6710,107.0
960000,6817,107.0
970000,6922,106.0
980000,7029,106.0
990000,7136,108.0
1000000,7244,107.0
1010000,7350,106.0
1020000,7457,107.0
1030000,7565,108.0
1040000,7670,105.0
1050000,7777,107.0
1060000,7876,99.0
1070000,7981,105.0
1080000,8088,107.0
1090000,8192,104.0
1100000,8289,97.0
1110000,8394,105.0
1120000,8498,104.0
1130000,8603,105.0
1140000,8708,106.0
1150000,8814,105.0
1160000,8919,105.0
1170000,9025,106.0
1180000,9130,105.0
1190000,9237,107.0
1200000,9344,107.0
1210000,9441,97.0
1220000,9548,107.0
1230000,9653,105.0
1240000,9760,107.0
1250000,9864,104.0
1260000,9972,108.0
1270000,10079,107.0
1280000,10187,108.0
1290000,10294,107.0
1300000,10396,102.0
1310000,10502,106.0
1320000,10605,103.0
1330000,10702,97.0
1340000,10806,104.0
1350000,10913,107.0
1360000,11019,106.0
1370000,11127,108.0
1380000,11232,105.0
1390000,11338,106.0
1400000,11446,108.0
1410000,11552,106.0
1420000,11658,106.0
1430000,11764,106.0
1440000,11871,107.0
1450000,11979,108.0
1460000,12084,105.0
1470000,12191,107.0
1480000,12296,105.0
1490000,12402,106.0
1500000,12507,105.0
1510000,12615,108.0
1520000,12721,106.0
1530000,12828,107.0
1540000,12934,106.0
1550000,13040,106.0
1560000,13144,104.0
1570000,13248,104.0
1580000,13353,105.0
1590000,13459,106.0
1600000,13562,103.0
1610000,13663,101.0
1620000,13770,107.0
1630000,13876,106.0
1640000,13981,105.0
1650000,14087,106.0
1660000,14191,104.0
1670000,14297,106.0
1680000,14400,103.0
1690000,14505,105.0
1700000,14602,97.0
1710000,14707,105.0
1720000,14815,108.0
1730000,14922,107.0
1740000,15028,106.0
1750000,15133,105.0
1760000,15240,107.0
1770000,15346,106.0
1780000,15452,106.0
1790000,15558,106.0
1800000,15665,107.0
1810000,15771,106.0
1820000,15877,106.0
1830000,15982,105.0
1840000,16089,107.0
1850000,16195,106.0
1860000,16302,107.0
1870000,16409,107.0
1880000,16515,106.0
1890000,16621,106.0
1900000,16729,108.0
1910000,16836,107.0
1920000,16942,106.0
1930000,17050,108.0
1940000,17154,104.0
1950000,17261,107.0
1960000,17368,107.0
1970000,17473,105.0
1980000,17577,104.0
1990000,17683,106.0
2000000,17790,107.0
