total reward,episodes,steps
4.0,4,10000
1.0,5,20000
1.0,6,30000
1.0,7,40000
0.0,7,50000
1.0,8,60000
0.0,8,70000
0.0,8,80000
3.0,11,90000
4.0,15,100000
8.0,23,110000
5.0,28,120000
9.0,37,130000
7.0,44,140000
13.0,57,150000
7.0,64,160000
14.0,78,170000
29.0,107,180000
24.0,131,190000
16.0,147,200000
27.0,174,210000
24.0,198,220000
39.0,237,230000
40.0,277,240000
60.0,337,250000
57.0,394,260000
52.0,446,270000
61.0,507,280000
81.0,588,290000
79.0,667,300000
98.0,765,310000
110.0,875,320000
93.0,968,330000
129.0,1097,340000
120.0,1217,350000
140.0,1357,360000
150.0,1507,370000
166.0,1673,380000
142.0,1815,390000
161.0,1976,400000
171.0,2147,410000
169.0,2316,420000
138.0,2454,430000
180.0,2634,440000
133.0,2767,450000
152.0,2919,460000
162.0,3081,470000
152.0,3233,480000
171.0,3404,490000
179.0,3583,500000
164.0,3747,510000
160.0,3907,520000
166.0,4073,530000
171.0,4244,540000
164.0,4408,550000
180.0,4588,560000
184.0,4772,570000
171.0,4943,580000
164.0,5107,590000
173.0,5280,600000
177.0,5457,610000
182.0,5639,620000
187.0,5826,630000
175.0,6001,640000
180.0,6181,650000
184.0,6365,660000
190.0,6555,670000
192.0,6747,680000
186.0,6933,690000
175.0,7108,700000
165.0,7273,710000
172.0,7445,720000
182.0,7627,730000
190.0,7817,740000
191.0,8008,750000
185.0,8193,760000
184.0,8377,770000
183.0,8560,780000
165.0,8725,790000
191.0,8916,800000
187.0,9103,810000
187.0,9290,820000
178.0,9468,830000
191.0,9659,840000
187.0,9846,850000
174.0,10020,860000
192.0,10212,870000
189.0,10401,880000
193.0,10594,890000
190.0,10784,900000
193.0,10977,910000
191.0,11168,920000
191.0,11359,930000
196.0,11555,940000
191.0,11746,950000
176.0,11922,960000
183.0,12105,970000
175.0,12280,980000
179.0,12459,990000
188.0,12647,1000000
187.0,12834,1010000
179.0,13013,1020000
185.0,13198,1030000
192.0,13390,1040000
186.0,13576,1050000
192.0,13768,1060000
189.0,13957,1070000
191.0,14148,1080000
190.0,14338,1090000
190.0,14528,1100000
180.0,14708,1110000
181.0,14889,1120000
188.0,15077,1130000
191.0,15268,1140000
193.0,15461,1150000
193.0,15654,1160000
190.0,15844,1170000
191.0,16035,1180000
190.0,16225,1190000
192.0,16417,1200000
191.0,16608,1210000
191.0,16799,1220000
193.0,16992,1230000
194.0,17186,1240000
191.0,17377,1250000
194.0,17571,1260000
192.0,17763,1270000
192.0,17955,1280000
189.0,18144,1290000
191.0,18335,1300000
189.0,18524,1310000
189.0,18713,1320000
194.0,18907,1330000
187.0,19094,1340000
193.0,19287,1350000
192.0,19479,1360000
191.0,19670,1370000
175.0,19845,1380000
191.0,20036,1390000
195.0,20231,1400000
193.0,20424,1410000
192.0,20616,1420000
190.0,20806,1430000
191.0,20997,1440000
192.0,21189,1450000
193.0,21382,1460000
181.0,21563,1470000
189.0,21752,1480000
192.0,21944,1490000
191.0,22135,1500000
193.0,22328,1510000
193.0,22521,1520000
193.0,22714,1530000
190.0,22904,1540000
192.0,23096,1550000
191.0,23287,1560000
194.0,23481,1570000
193.0,23674,1580000
191.0,23865,1590000
186.0,24051,1600000
193.0,24244,1610000
192.0,24436,1620000
192.0,24628,1630000
190.0,24818,1640000
193.0,25011,1650000
193.0,25204,1660000
191.0,25395,1670000
190.0,25585,1680000
181.0,25766,1690000
197.0,25963,1700000
192.0,26155,1710000
191.0,26346,1720000
193.0,26539,1730000
194.0,26733,1740000
191.0,26924,1750000
193.0,27117,1760000
186.0,27303,1770000
192.0,27495,1780000
192.0,27687,1790000
190.0,27877,1800000
195.0,28072,1810000
193.0,28265,1820000
192.0,28457,1830000
196.0,28653,1840000
192.0,28845,1850000
193.0,29038,1860000
190.0,29228,1870000
190.0,29418,1880000
194.0,29612,1890000
191.0,29803,1900000
191.0,29994,1910000
191.0,30185,1920000
192.0,30377,1930000
190.0,30567,1940000
193.0,30760,1950000
193.0,30953,1960000
193.0,31146,1970000
191.0,31337,1980000
190.0,31527,1990000
191.0,31718,2000000
