steps,total reward,episodes
10000,2.0,2
20000,1.0,3
30000,2.0,5
40000,1.0,6
50000,1.0,7
60000,1.0,8
70000,1.0,9
80000,2.0,11
90000,2.0,13
100000,2.0,15
110000,6.0,21
120000,6.0,27
130000,6.0,33
140000,14.0,47
150000,14.0,61
160000,12.0,73
170000,8.0,81
180000,12.0,93
190000,18.0,111
200000,26.0,137
210000,30.0,167
220000,27.0,194
230000,40.0,234
240000,43.0,277
250000,47.0,324
260000,44.0,368
270000,69.0,437
280000,81.0,518
290000,69.0,587
300000,81.0,668
310000,85.0,753
320000,110.0,863
330000,115.0,978
340000,140.0,1118
350000,127.0,1245
360000,122.0,1367
370000,142.0,1509
380000,130.0,1639
390000,168.0,1807
400000,186.0,1993
410000,147.0,2140
420000,145.0,2285
430000,162.0,2447
440000,170.0,2617
450000,141.0,2758
460000,169.0,2927
470000,167.0,3094
480000,150.0,3244
490000,159.0,3403
500000,176.0,3579
510000,172.0,3751
520000,156.0,3907
530000,170.0,4077
540000,175.0,4252
550000,175.0,4427
560000,180.0,4607
570000,184.0,4791
580000,163.0,4954
590000,183.0,5137
600000,164.0,5301
610000,183.0,5484
620000,177.0,5661
630000,184.0,5845
640000,152.0,5997
650000,191.0,6188
660000,190.0,6378
670000,193.0,6571
680000,192.0,6763
690000,184.0,6947
700000,176.0,7123
710000,184.0,7307
720000,187.0,7494
730000,180.0,7674
740000,185.0,7859
750000,165.0,8024
760000,189.0,8213
770000,185.0,8398
780000,176.0,8574
790000,183.0,8757
800000,187.0,8944
810000,193.0,9137
820000,188.0,9325
830000,182.0,9507
840000,191.0,9698
850000,179.0,9877
860000,189.0,10066
870000,189.0,10255
880000,188.0,10443
890000,191.0,10634
900000,168.0,10802
910000,192.0,10994
920000,190.0,11184
930000,185.0,11369
940000,192.0,11561
950000,191.0,11752
960000,185.0,11937
970000,192.0,12129
980000,194.0,12323
990000,192.0,12515
1000000,168.0,12683
1010000,191.0,12874
1020000,190.0,13064
1030000,180.0,13244
1040000,185.0,13429
1050000,187.0,13616
1060000,188.0,13804
1070000,193.0,13997
1080000,189.0,14186
1090000,187.0,14373
1100000,184.0,14557
1110000,178.0,14735
1120000,180.0,14915
1130000,190.0,15105
1140000,190.0,15295
1150000,193.0,15488
1160000,192.0,15680
1170000,195.0,15875
1180000,190.0,16065
1190000,191.0,16256
1200000,189.0,16445
1210000,190.0,16635
1220000,172.0,16807
1230000,190.0,16997
1240000,196.0,17193
1250000,193.0,17386
1260000,191.0,17577
1270000,193.0,17770
1280000,192.0,17962
1290000,191.0,18153
1300000,190.0,18343
1310000,192.0,18535
1320000,191.0,18726
1330000,192.0,18918
1340000,193.0,19111
1350000,193.0,19304
1360000,188.0,19492
1370000,193.0,19685
1380000,192.0,19877
1390000,191.0,20068
1400000,194.0,20262
1410000,185.0,20447
1420000,193.0,20640
1430000,188.0,20828
1440000,182.0,21010
1450000,194.0,21204
1460000,188.0,21392
1470000,186.0,21578
1480000,194.0,21772
1490000,193.0,21965
1500000,192.0,22157
1510000,195.0,22352
1520000,181.0,22533
1530000,191.0,22724
1540000,190.0,22914
1550000,193.0,23107
1560000,189.0,23296
1570000,192.0,23488
1580000,195.0,23683
1590000,185.0,23868
1600000,193.0,24061
1610000,193.0,24254
1620000,193.0,24447
1630000,191.0,24638
1640000,191.0,24829
1650000,192.0,25021
1660000,193.0,25214
1670000,189.0,25403
1680000,191.0,25594
1690000,194.0,25788
1700000,191.0,25979
1710000,195.0,26174
1720000,192.0,26366
1730000,192.0,26558
1740000,193.0,26751
1750000,194.0,26945
1760000,192.0,27137
1770000,189.0,27326
1780000,190.0,27516
1790000,192.0,27708
1800000,191.0,27899
1810000,193.0,28092
1820000,191.0,28283
1830000,192.0,28475
1840000,191.0,28666
1850000,191.0,28857
1860000,195.0,29052
1870000,193.0,29245
1880000,192.0,29437
1890000,192.0,29629
1900000,194.0,29823
1910000,191.0,30014
1920000,185.0,30199
1930000,194.0,30393
1940000,191.0,30584
1950000,192.0,30776
1960000,196.0,30972
1970000,192.0,31164
1980000,185.0,31349
1990000,190.0,31539
2000000,193.0,31732
