total reward,steps,episodes
3.0,10000,3
1.0,20000,4
0.0,30000,4
1.0,40000,5
0.0,50000,5
1.0,60000,6
1.0,70000,7
0.0,80000,7
1.0,90000,8
7.0,100000,15
9.0,110000,24
10.0,120000,34
12.0,130000,46
12.0,140000,58
11.0,150000,69
9.0,160000,78
22.0,170000,100
17.0,180000,117
26.0,190000,143
31.0,200000,174
34.0,210000,208
52.0,220000,260
38.0,230000,298
48.0,240000,346
62.0,250000,408
58.0,260000,466
69.0,270000,535
91.0,280000,626
94.0,290000,720
85.0,300000,805
92.0,310000,897
110.0,320000,1007
110.0,330000,1117
103.0,340000,1220
123.0,350000,1343
131.0,360000,1474
111.0,370000,1585
143.0,380000,1728
141.0,390000,1869
166.0,400000,2035
141.0,410000,2176
137.0,420000,2313
162.0,430000,2475
153.0,440000,2628
160.0,450000,2788
170.0,460000,2958
157.0,470000,3115
169.0,480000,3284
168.0,490000,3452
163.0,500000,3615
153.0,510000,3768
171.0,520000,3939
164.0,530000,4103
160.0,540000,4263
170.0,550000,4433
169.0,560000,4602
158.0,570000,4760
171.0,580000,4931
161.0,590000,5092
166.0,600000,5258
168.0,610000,5426
169.0,620000,5595
173.0,630000,5768
176.0,640000,5944
172.0,650000,6115
160.0,660000,6276
172.0,670000,6448
164.0,680000,6612
174.0,690000,6786
165.0,700000,6951
177.0,710000,7128
171.0,720000,7299
171.0,730000,7470
169.0,740000,7639
169.0,750000,7808
177.0,760000,7985
172.0,770000,8157
168.0,780000,8325
173.0,790000,8498
176.0,800000,8674
169.0,810000,8843
171.0,820000,9014
172.0,830000,9186
167.0,840000,9353
172.0,850000,9525
177.0,860000,9702
173.0,870000,9875
175.0,880000,10050
178.0,890000,10228
169.0,900000,10397
177.0,910000,10574
171.0,920000,10745
167.0,930000,10912
175.0,940000,11087
168.0,950000,11255
175.0,960000,11430
170.0,970000,11600
178.0,980000,11778
172.0,990000,11950
173.0,1000000,12123
171.0,1010000,12294
163.0,1020000,12457
170.0,1030000,12627
172.0,1040000,12799
176.0,1050000,12975
171.0,1060000,13146
173.0,1070000,13319
177.0,1080000,13496
177.0,1090000,13672
171.0,1100000,13844
178.0,1110000,14022
176.0,1120000,14198
169.0,1130000,14367
177.0,1140000,14544
170.0,1150000,14714
172.0,1160000,14886
159.0,1170000,15045
173.0,1180000,15218
178.0,1190000,15396
171.0,1200000,15567
171.0,1210000,15738
167.0,1220000,15905
173.0,1230000,16078
170.0,1240000,16248
175.0,1250000,16423
174.0,1260000,16597
173.0,1270000,16770
170.0,1280000,16940
173.0,1290000,17113
173.0,1300000,17286
174.0,1310000,17460
175.0,1320000,17635
166.0,1330000,17801
173.0,1340000,17974
173.0,1350000,18147
171.0,1360000,18318
177.0,1370000,18495
173.0,1380000,18668
174.0,1390000,18842
173.0,1400000,19015
172.0,1410000,19187
177.0,1420000,19364
172.0,1430000,19536
177.0,1440000,19713
172.0,1450000,19885
177.0,1460000,20062
172.0,1470000,20234
172.0,1480000,20406
176.0,1490000,20582
176.0,1500000,20758
175.0,1510000,20933
175.0,1520000,21108
176.0,1530000,21284
174.0,1540000,21458
177.0,1550000,21635
174.0,1560000,21809
176.0,1570000,21985
173.0,1580000,22158
172.0,1590000,22330
174.0,1600000,22504
171.0,1610000,22675
173.0,1620000,22848
174.0,1630000,23022
176.0,1640000,23198
172.0,1650000,23370
176.0,1660000,23546
173.0,1670000,23719
176.0,1680000,23895
173.0,1690000,24068
173.0,1700000,24241
177.0,1710000,24418
177.0,1720000,24595
174.0,1730000,24769
177.0,1740000,24946
178.0,1750000,25124
170.0,1760000,25294
173.0,1770000,25467
172.0,1780000,25639
177.0,1790000,25816
173.0,1800000,25989
177.0,1810000,26166
171.0,1820000,26337
176.0,1830000,26513
175.0,1840000,26688
178.0,1850000,26866
171.0,1860000,27037
176.0,1870000,27213
175.0,1880000,27388
177.0,1890000,27565
171.0,1900000,27736
174.0,1910000,27910
177.0,1920000,28087
173.0,1930000,28260
170.0,1940000,28430
173.0,1950000,28603
173.0,1960000,28776
170.0,1970000,28946
173.0,1980000,29119
179.0,1990000,29298
177.0,2000000,29475
