episodes,total reward,steps
3,3.0,10000
5,2.0,20000
6,1.0,30000
7,1.0,40000
8,1.0,50000
8,0.0,60000
9,1.0,70000
9,0.0,80000
12,3.0,90000
15,3.0,100000
17,2.0,110000
22,5.0,120000
28,6.0,130000
36,8.0,140000
41,5.0,150000
55,14.0,160000
68,13.0,170000
83,15.0,180000
97,14.0,190000
114,17.0,200000
141,27.0,210000
158,17.0,220000
187,29.0,230000
225,38.0,240000
266,41.0,250000
304,38.0,260000
353,49.0,270000
403,50.0,280000
467,64.0,290000
548,81.0,300000
622,74.0,310000
711,89.0,320000
788,77.0,330000
888,100.0,340000
1004,116.0,350000
1141,137.0,360000
1265,124.0,370000
1377,112.0,380000
1502,125.0,390000
1665,163.0,400000
1802,137.0,410000
1952,150.0,420000
2096,144.0,430000
2257,161.0,440000
2418,161.0,450000
2568,150.0,460000
2720,152.0,470000
2885,165.0,480000
3038,153.0,490000
3180,142.0,500000
3341,161.0,510000
3508,167.0,520000
3677,169.0,530000
3845,168.0,540000
4012,167.0,550000
4155,143.0,560000
4316,162.0,570000
4480,163.0,580000
4637,157.0,590000
4804,167.0,600000
4969,165.0,610000
5137,168.0,620000
5298,161.0,630000
5461,163.0,640000
5620,159.0,650000
5777,157.0,660000
5944,167.0,670000
6107,163.0,680000
6257,150.0,690000
6424,167.0,700000
6576,152.0,710000
6740,164.0,720000
6897,157.0,730000
7065,168.0,740000
7227,162.0,750000
7394,167.0,760000
7558,164.0,770000
7701,143.0,780000
7868,167.0,790000
8025,157.0,800000
8189,164.0,810000
8357,168.0,820000
8527,170.0,830000
8696,169.0,840000
8864,168.0,850000
9028,164.0,860000
9195,167.0,870000
9358,163.0,880000
9516,158.0,890000
9667,151.0,900000
9833,166.0,910000
10001,168.0,920000
10167,166.0,930000
10326,159.0,940000
10487,161.0,950000
10655,168.0,960000
10817,162.0,970000
10978,161.0,980000
11146,168.0,990000
11311,165.0,1000000
11468,157.0,1010000
11632,164.0,1020000
11787,155.0,1030000
11948,161.0,1040000
12113,165.0,1050000
12277,164.0,1060000
12446,169.0,1070000
12608,162.0,1080000
12768,160.0,1090000
12918,150.0,1100000
13066,148.0,1110000
13234,168.0,1120000
13401,167.0,1130000
13561,160.0,1140000
13725,164.0,1150000
13894,169.0,1160000
14062,168.0,1170000
14227,165.0,1180000
14397,170.0,1190000
14565,168.0,1200000
14732,167.0,1210000
14896,164.0,1220000
15062,166.0,1230000
15228,166.0,1240000
15397,169.0,1250000
15564,167.0,1260000
15726,162.0,1270000
15892,166.0,1280000
16058,166.0,1290000
16225,167.0,1300000
16388,163.0,1310000
16553,165.0,1320000
16709,156.0,1330000
16875,166.0,1340000
17036,161.0,1350000
17204,168.0,1360000
17369,165.0,1370000
17534,165.0,1380000
17685,151.0,1390000
17851,166.0,1400000
18015,164.0,1410000
18182,167.0,1420000
18348,166.0,1430000
18516,168.0,1440000
18682,166.0,1450000
18843,161.0,1460000
19010,167.0,1470000
19177,167.0,1480000
19337,160.0,1490000
19505,168.0,1500000
19667,162.0,1510000
19834,167.0,1520000
19997,163.0,1530000
20165,168.0,1540000
20333,168.0,1550000
20498,165.0,1560000
20666,168.0,1570000
20834,168.0,1580000
21001,167.0,1590000
21169,168.0,1600000
21338,169.0,1610000
21506,168.0,1620000
21672,166.0,1630000
21839,167.0,1640000
22006,167.0,1650000
22172,167.0,1660000
22336,163.0,1670000
22504,168.0,1680000
22672,168.0,1690000
22839,167.0,1700000
23008,169.0,1710000
23177,169.0,1720000
23345,168.0,1730000
23510,165.0,1740000
23678,168.0,1750000
23845,167.0,1760000
24012,167.0,1770000
24179,167.0,1780000
24348,169.0,1790000
24514,166.0,1800000
24681,167.0,1810000
24846,165.0,1820000
25010,164.0,1830000
25175,165.0,1840000
25339,164.0,1850000
25505,166.0,1860000
25672,168.0,1870000
25838,165.0,1880000
26000,162.0,1890000
26166,166.0,1900000
26335,169.0,1910000
26499,164.0,1920000
26667,168.0,1930000
26830,163.0,1940000
26998,168.0,1950000
27166,168.0,1960000
27334,168.0,1970000
27500,166.0,1980000
27665,165.0,1990000
27831,166.0,2000000
