episodes,steps,total reward
4,10000,4.0
5,20000,1.0
5,30000,0.0
6,40000,1.0
8,50000,2.0
8,60000,0.0
8,70000,0.0
8,80000,0.0
9,90000,1.0
14,100000,5.0
18,110000,4.0
24,120000,6.0
32,130000,8.0
38,140000,6.0
47,150000,9.0
56,160000,9.0
68,170000,12.0
85,180000,17.0
105,190000,20.0
118,200000,13.0
138,210000,20.0
168,220000,30.0
196,230000,28.0
228,240000,32.0
267,250000,39.0
314,260000,47.0
355,270000,41.0
415,280000,60.0
477,290000,62.0
524,300000,47.0
601,310000,77.0
700,320000,99.0
805,330000,105.0
915,340000,110.0
1007,350000,92.0
1137,360000,130.0
1288,370000,151.0
1407,380000,119.0
1548,390000,141.0
1707,400000,159.0
1845,410000,138.0
1981,420000,136.0
2138,430000,157.0
2281,440000,143.0
2441,450000,160.0
2599,460000,158.0
2755,470000,156.0
2924,480000,169.0
3090,490000,166.0
3247,500000,157.0
3398,510000,151.0
3558,520000,160.0
3718,530000,160.0
3871,540000,153.0
4014,550000,143.0
4178,560000,164.0
4340,570000,162.0
4505,580000,165.0
4651,590000,146.0
4808,600000,157.0
4975,610000,167.0
5135,620000,160.0
5295,630000,160.0
5463,640000,168.0
5626,650000,163.0
5785,660000,159.0
5924,670000,139.0
6086,680000,162.0
6248,690000,162.0
6409,700000,161.0
6576,710000,167.0
6738,720000,162.0
6903,730000,165.0
7068,740000,165.0
7236,750000,168.0
7401,760000,165.0
7557,770000,156.0
7724,780000,167.0
7886,790000,162.0
8048,800000,162.0
8216,810000,168.0
8348,820000,132.0
8514,830000,166.0
8682,840000,168.0
8838,850000,156.0
8998,860000,160.0
9165,870000,167.0
9329,880000,164.0
9496,890000,167.0
9664,900000,168.0
9814,910000,150.0
9978,920000,164.0
10140,930000,162.0
10307,940000,167.0
10475,950000,168.0
10643,960000,168.0
10797,970000,154.0
10956,980000,159.0
11108,990000,152.0
11265,1000000,157.0
11424,1010000,159.0
11590,1020000,166.0
11756,1030000,166.0
11924,1040000,168.0
12090,1050000,166.0
12257,1060000,167.0
12425,1070000,168.0
12591,1080000,166.0
12748,1090000,157.0
12907,1100000,159.0
13054,1110000,147.0
13211,1120000,157.0
13375,1130000,164.0
13544,1140000,169.0
13710,1150000,166.0
13878,1160000,168.0
14042,1170000,164.0
14197,1180000,155.0
14360,1190000,163.0
14525,1200000,165.0
14693,1210000,168.0
14851,1220000,158.0
15018,1230000,167.0
15184,1240000,166.0
15351,1250000,167.0
15518,1260000,167.0
15687,1270000,169.0
15855,1280000,168.0
16023,1290000,168.0
16188,1300000,165.0
16346,1310000,158.0
16512,1320000,166.0
16676,1330000,164.0
16845,1340000,169.0
17011,1350000,167.0
17170,1360000,158.0
17336,1370000,166.0
17505,1380000,169.0
17666,1390000,161.0
17833,1400000,167.0
17998,1410000,165.0
18165,1420000,167.0
18326,1430000,161.0
18488,1440000,162.0
18653,1450000,165.0
18818,1460000,166.0
18983,1470000,164.0
19150,1480000,167.0
19317,1490000,167.0
19483,1500000,166.0
19638,1510000,155.0
19803,1520000,165.0
19970,1530000,167.0
20137,1540000,167.0
20304,1550000,167.0
20465,1560000,161.0
20632,1570000,167.0
20800,1580000,168.0
20965,1590000,165.0
21126,1600000,161.0
21294,1610000,168.0
21460,1620000,166.0
21624,1630000,164.0
21789,1640000,165.0
21955,1650000,166.0
22122,1660000,167.0
22287,1670000,165.0
22454,1680000,167.0
22619,1690000,165.0
22774,1700000,155.0
22944,1710000,170.0
23110,1720000,166.0
23277,1730000,167.0
23446,1740000,169.0
23615,1750000,169.0
23783,1760000,168.0
23948,1770000,165.0
24116,1780000,168.0
24284,1790000,168.0
24449,1800000,165.0
24617,1810000,168.0
24785,1820000,168.0
24943,1830000,158.0
25108,1840000,165.0
25277,1850000,169.0
25444,1860000,167.0
25609,1870000,165.0
25772,1880000,163.0
25936,1890000,164.0
26105,1900000,169.0
26271,1910000,166.0
26438,1920000,167.0
26605,1930000,167.0
26768,1940000,163.0
26936,1950000,168.0
27103,1960000,167.0
27268,1970000,165.0
27436,1980000,168.0
27604,1990000,168.0
27769,2000000,165.0
