#{"t_start": 1711715755.485901, "env_id": "Craft-M4-v0"}
r,l,t
1.0,908,0.652782
1.0,902,1.301403
1.0,2787,3.323466
1.0,3432,5.816738
1.0,26345,24.881644
1.0,5007,28.732661
1.0,24042,47.128119
1.0,21824,63.742024
1.0,5162,67.706524
1.0,938,68.413982
1.0,1082,69.228082
1.0,487,69.593614
1.0,1070,70.399747
1.0,1733,71.707271
1.0,3443,74.325265
1.0,939,75.042214
1.0,1838,76.447081
1.0,1622,77.69526
1.0,4533,81.145803
1.0,1492,82.286623
1.0,1180,83.192972
1.0,127,83.290061
1.0,26,83.310003
1.0,77,83.368434
1.0,1219,84.295221
1.0,290,84.514286
1.0,541,84.926418
1.0,3621,87.707356
1.0,1035,88.498875
1.0,1858,89.924422
1.0,41,89.955826
1.0,263,90.158753
1.0,22,90.175937
1.0,2534,92.117239
1.0,105,92.199645
1.0,779,92.800641
1.0,918,93.53584
1.0,1896,94.983409
1.0,200,95.133597
1.0,22,95.150065
1.0,624,95.623362
1.0,47,95.659385
1.0,18,95.673112
1.0,735,96.230457
1.0,71,96.283502
1.0,262,96.480442
1.0,4113,99.633667
1.0,4761,103.281108
1.0,1176,104.194655
1.0,30,104.217522
1.0,537,104.633284
1.0,63,104.683013
1.0,24,104.701869
1.0,434,105.040058
1.0,1189,105.957945
1.0,3698,108.845874
1.0,804,109.532582
1.0,2450,111.695893
1.0,1577,112.928454
1.0,32,112.953608
1.0,391,113.261809
1.0,931,113.978496
1.0,22,113.995313
1.0,4182,117.168603
1.0,109,117.251348
1.0,944,117.969001
1.0,69,118.021255
1.0,238,118.202466
1.0,1828,119.595514
1.0,18,119.608987
1.0,91,119.677804
1.0,33,119.702926
1.0,18,119.716501
1.0,4616,123.214151
1.0,2737,125.294451
1.0,778,125.883111
1.0,103,125.960376
1.0,423,126.282761
1.0,164,126.405751
1.0,72,126.460869
1.0,61,126.506925
1.0,31,126.530746
1.0,18,126.544158
1.0,35,126.570377
1.0,37,126.598242
1.0,1275,127.565892
1.0,61,127.611444
1.0,177,127.744916
1.0,1232,128.668778
1.0,24,128.68692
1.0,4346,131.97958
1.0,37,132.008083
1.0,22,132.024726
1.0,47,132.059756
1.0,37,132.087258
1.0,945,132.79672
1.0,510,133.179744
1.0,3078,135.487368
1.0,464,135.837222
1.0,20,135.852256
1.0,53,135.89214
