steps,episodes,total reward
10000,4,4.0
20000,4,0.0
30000,4,0.0
40000,6,2.0
50000,6,0.0
60000,6,0.0
70000,7,1.0
80000,7,0.0
90000,8,1.0
100000,15,7.0
110000,20,5.0
120000,33,13.0
130000,46,13.0
140000,54,8.0
150000,61,7.0
160000,73,12.0
170000,90,17.0
180000,101,11.0
190000,116,15.0
200000,128,12.0
210000,177,49.0
220000,196,19.0
230000,240,44.0
240000,295,55.0
250000,369,74.0
260000,465,96.0
270000,565,100.0
280000,671,106.0
290000,764,93.0
300000,901,137.0
310000,1057,156.0
320000,1190,133.0
330000,1346,156.0
340000,1495,149.0
350000,1668,173.0
360000,1855,187.0
370000,1897,42.0
380000,1975,78.0
390000,2177,202.0
400000,2383,206.0
410000,2595,212.0
420000,2817,222.0
430000,3045,228.0
440000,3256,211.0
450000,3478,222.0
460000,3678,200.0
470000,3892,214.0
480000,4117,225.0
490000,4340,223.0
500000,4571,231.0
510000,4804,233.0
520000,5014,210.0
530000,5246,232.0
540000,5475,229.0
550000,5705,230.0
560000,5899,194.0
570000,6127,228.0
580000,6360,233.0
590000,6586,226.0
600000,6818,232.0
610000,7047,229.0
620000,7280,233.0
630000,7515,235.0
640000,7748,233.0
650000,7983,235.0
660000,8215,232.0
670000,8447,232.0
680000,8680,233.0
690000,8912,232.0
700000,9141,230.0
710000,9375,233.0
720000,9607,232.0
730000,9839,232.0
740000,10070,232.0
750000,10305,234.0
760000,10538,233.0
770000,10768,230.0
780000,11002,234.0
790000,11235,233.0
800000,11468,233.0
810000,11698,230.0
820000,11916,218.0
830000,12148,232.0
840000,12379,231.0
850000,12614,235.0
860000,12847,233.0
870000,13078,231.0
880000,13312,234.0
890000,13545,233.0
900000,13776,231.0
910000,14007,231.0
920000,14237,230.0
930000,14468,231.0
940000,14660,192.0
950000,14894,234.0
960000,15124,230.0
970000,15353,229.0
980000,15585,232.0
990000,15817,232.0
1000000,16048,231.0
1010000,16284,236.0
1020000,16515,231.0
1030000,16745,230.0
1040000,16975,230.0
1050000,17208,233.0
1060000,17439,231.0
1070000,17669,230.0
1080000,17899,230.0
1090000,18130,231.0
1100000,18358,228.0
1110000,18591,233.0
1120000,18822,231.0
1130000,19053,231.0
1140000,19283,230.0
1150000,19516,233.0
1160000,19749,233.0
1170000,19981,232.0
1180000,20214,233.0
1190000,20444,230.0
1200000,20675,231.0
1210000,20904,229.0
1220000,21135,231.0
1230000,21365,230.0
1240000,21596,231.0
1250000,21828,232.0
1260000,22064,236.0
1270000,22296,232.0
1280000,22527,231.0
1290000,22759,232.0
1300000,22988,229.0
1310000,23218,230.0
1320000,23450,232.0
1330000,23681,231.0
1340000,23913,232.0
1350000,24144,231.0
1360000,24376,232.0
1370000,24612,236.0
1380000,24845,233.0
1390000,25076,231.0
1400000,25307,231.0
1410000,25537,230.0
1420000,25769,232.0
1430000,26003,234.0
1440000,26235,232.0
1450000,26467,232.0
1460000,26699,232.0
1470000,26933,234.0
1480000,27164,231.0
1490000,27393,229.0
1500000,27622,229.0
1510000,27851,229.0
1520000,28085,234.0
1530000,28315,230.0
1540000,28546,231.0
1550000,28776,230.0
1560000,29007,231.0
1570000,29237,230.0
1580000,29465,228.0
1590000,29698,233.0
1600000,29932,234.0
1610000,30163,231.0
1620000,30395,232.0
1630000,30624,229.0
1640000,30854,230.0
1650000,31082,228.0
1660000,31315,233.0
1670000,31548,233.0
1680000,31778,230.0
1690000,32011,234.0
1700000,32242,230.0
1710000,32475,233.0
1720000,32705,230.0
1730000,32936,231.0
1740000,33168,232.0
1750000,33398,230.0
1760000,33633,235.0
1770000,33865,232.0
1780000,34095,230.0
1790000,34323,228.0
1800000,34554,231.0
1810000,34787,233.0
1820000,35017,230.0
1830000,35247,230.0
1840000,35477,230.0
1850000,35708,231.0
1860000,35938,230.0
1870000,36170,232.0
1880000,36404,234.0
1890000,36635,231.0
1900000,36866,231.0
1910000,37099,233.0
1920000,37335,236.0
1930000,37566,231.0
1940000,37797,231.0
1950000,38027,230.0
1960000,38258,231.0
1970000,38491,233.0
1980000,38725,234.0
1990000,38955,230.0
2000000,39188,233.0
