#{"t_start": 1711482088.455661, "env_id": "Office-single-v0"}
r,l,t
0.0,14,0.001798
0.0,26,0.004123
0.0,48,0.008056
0.0,15,0.009315
0.0,9,0.010064
0.0,2,0.010246
0.0,21,0.011978
0.0,38,0.015095
0.0,19,0.016567
0.0,62,0.021244
0.0,24,0.023073
0.0,26,0.025059
0.0,54,0.029124
0.0,110,0.037098
0.0,6,0.037562
0.0,51,0.041232
0.0,83,0.047151
0.0,92,0.053814
0.0,37,0.056447
0.0,4,0.056745
0.0,26,0.058652
0.0,53,0.062516
0.0,81,0.068363
0.0,127,0.077474
0.0,39,0.080277
0.0,81,0.086108
0.0,167,0.098054
0.0,78,0.103285
0.0,52,0.107034
0.0,111,0.115021
0.0,67,0.119847
0.0,88,0.126158
0.0,94,0.132896
0.0,251,0.150997
0.0,51,0.15464
0.0,161,0.166174
0.0,52,0.169906
0.0,2,0.170064
0.0,253,0.187968
1.0,720,0.238998
0.0,204,0.253653
0.0,51,0.257333
0.0,70,0.262385
0.0,46,0.265681
0.0,13,0.266631
0.0,30,0.268785
0.0,318,0.291384
0.0,22,0.292979
0.0,63,0.297501
0.0,106,0.305079
0.0,116,0.313422
0.0,24,0.315156
1.0,464,0.348028
0.0,15,0.349135
0.0,139,0.359114
0.0,11,0.359927
0.0,246,0.376757
0.0,43,0.37959
0.0,45,0.382811
0.0,283,0.402963
0.0,78,0.40855
0.0,171,0.420696
0.0,11,0.421489
0.0,176,0.434052
0.0,132,0.443508
0.0,529,0.480681
0.0,34,0.483133
0.0,118,0.491366
0.0,115,0.499429
0.0,130,0.508563
1.0,284,0.52889
0.0,445,0.560198
0.0,95,0.566905
0.0,600,0.609003
0.0,117,0.617341
0.0,192,0.631067
1.0,81,0.636874
1.0,263,0.655371
0.0,9,0.656026
1.0,227,0.67214
0.0,6,0.672578
1.0,262,0.691179
1.0,189,0.704661
0.0,15,0.705747
0.0,126,0.722594
0.0,132,0.732715
0.0,100,0.740137
1.0,149,0.750906
1.0,182,0.763955
0.0,8,0.764572
0.0,21,0.766064
0.0,17,0.767227
1.0,130,0.776518
0.0,31,0.778804
1.0,150,0.78959
0.0,33,0.791974
1.0,58,0.796085
0.0,19,0.797447
0.0,38,0.800163
0.0,16,0.801308
1.0,108,0.809015
0.0,2,0.809172
0.0,2,0.809331
0.0,48,0.812786
0.0,50,0.816346
0.0,19,0.817727
0.0,242,0.834911
0.0,64,0.839543
0.0,7,0.840072
0.0,2,0.840234
1.0,136,0.849911
1.0,65,0.854597
0.0,23,0.856275
1.0,74,0.86157
0.0,46,0.86485
0.0,6,0.865301
0.0,42,0.868357
1.0,141,0.878449
1.0,59,0.882701
0.0,84,0.888701
1.0,55,0.892642
0.0,43,0.895697
1.0,111,0.903596
1.0,41,0.906545
0.0,43,0.90966
1.0,101,0.916932
0.0,49,0.920479
1.0,189,0.933962
1.0,37,0.936585
0.0,4,0.93689
0.0,11,0.937678
0.0,13,0.93861
1.0,33,0.941009
0.0,7,0.941532
0.0,39,0.944353
1.0,98,0.951347
1.0,72,0.956474
1.0,134,0.966071
1.0,33,0.968449
1.0,77,0.973916
0.0,6,0.974365
0.0,27,0.976311
0.0,2,0.976468
1.0,42,0.979441
1.0,38,0.982179
1.0,138,0.991876
0.0,9,0.992546
0.0,4,0.992849
1.0,73,0.998112
0.0,16,0.999188
1.0,93,1.005821
0.0,18,1.00711
1.0,212,1.022192
1.0,59,1.026443
0.0,36,1.028958
1.0,44,1.032096
1.0,36,1.034678
1.0,83,1.040638
1.0,105,1.048159
0.0,7,1.048681
1.0,33,1.051255
1.0,54,1.055225
0.0,23,1.056885
1.0,104,1.064261
0.0,27,1.066207
0.0,4,1.066508
0.0,43,1.069525
0.0,9,1.070193
1.0,40,1.073036
0.0,24,1.074772
0.0,9,1.075439
1.0,47,1.078786
1.0,47,1.082118
0.0,7,1.082639
0.0,16,1.083792
0.0,4,1.084086
1.0,110,1.091938
1.0,36,1.094499
1.0,45,1.097657
1.0,42,1.100663
1.0,109,1.108421
0.0,12,1.109297
1.0,32,1.111617
1.0,29,1.113709
0.0,11,1.114501
0.0,56,1.118507
0.0,14,1.119526
1.0,52,1.123201
0.0,11,1.124002
1.0,186,1.13718
1.0,58,1.141299
1.0,32,1.143598
1.0,43,1.146641
1.0,38,1.149357
1.0,102,1.156613
1.0,31,1.158843
0.0,34,1.161286
0.0,45,1.164534
0.0,18,1.165826
1.0,96,1.172646
1.0,36,1.175231
0.0,23,1.176879
0.0,11,1.177685
1.0,43,1.180799
0.0,4,1.181105
1.0,36,1.1837
1.0,34,1.186116
1.0,38,1.188818
1.0,30,1.19099
1.0,103,1.198319
0.0,8,1.198896
1.0,33,1.201274
1.0,44,1.204365
1.0,33,1.20675
1.0,33,1.209133
1.0,31,1.211376
1.0,29,1.213472
0.0,2,1.213627
1.0,31,1.215854
1.0,32,1.218145
0.0,53,1.221967
1.0,40,1.224829
0.0,4,1.225128
0.0,24,1.226823
0.0,23,1.228479
1.0,36,1.231067
1.0,36,1.233629
1.0,33,1.236026
1.0,31,1.238265
1.0,29,1.240386
0.0,29,1.242477
1.0,35,1.244986
1.0,31,1.247212
0.0,9,1.247877
0.0,18,1.24917
1.0,31,1.251413
0.0,20,1.252856
1.0,42,1.255875
1.0,33,1.258274
1.0,31,1.260506
1.0,29,1.262596
1.0,38,1.265298
1.0,30,1.267469
1.0,131,1.276805
0.0,21,1.278327
1.0,34,1.280736
0.0,64,1.285275
0.0,8,1.285862
1.0,31,1.288096
1.0,35,1.290613
1.0,32,1.292895
1.0,38,1.295568
1.0,29,1.297665
1.0,53,1.30145
0.0,27,1.303397
0.0,6,1.303844
1.0,30,1.306014
1.0,29,1.308113
1.0,32,1.310429
1.0,33,1.312784
1.0,39,1.315584
1.0,30,1.317752
0.0,19,1.319134
1.0,33,1.321493
1.0,31,1.323728
1.0,112,1.331639
1.0,37,1.334296
0.0,8,1.334882
0.0,4,1.335183
0.0,35,1.337711
1.0,35,1.340206
1.0,29,1.342299
1.0,31,1.344532
0.0,9,1.3452
1.0,35,1.347711
0.0,2,1.347866
1.0,31,1.350109
0.0,8,1.350685
1.0,35,1.353195
0.0,55,1.357156
1.0,38,1.359859
0.0,4,1.360162
1.0,34,1.362601
1.0,29,1.364695
1.0,31,1.366922
1.0,31,1.369153
0.0,8,1.369742
1.0,32,1.372038
1.0,35,1.374535
1.0,33,1.376922
1.0,32,1.379227
1.0,35,1.381732
0.0,11,1.382526
1.0,29,1.384622
1.0,33,1.387002
1.0,39,1.389797
1.0,31,1.392037
1.0,37,1.394676
1.0,35,1.397188
1.0,32,1.399493
1.0,29,1.401587
0.0,25,1.403396
1.0,34,1.405841
1.0,32,1.408162
1.0,38,1.410881
1.0,32,1.413173
1.0,31,1.415403
0.0,26,1.41727
1.0,36,1.419857
1.0,31,1.422089
1.0,29,1.424182
0.0,11,1.424969
0.0,6,1.425421
0.0,26,1.427287
