#{"t_start": 1711479918.979829, "env_id": "Office-v0"}
r,l,t
0.0,2,0.000772
0.0,70,0.014059
0.0,10,0.015876
0.0,53,0.024967
0.0,21,0.028511
0.0,20,0.031824
0.0,38,0.03817
0.0,15,0.040617
0.0,20,0.043879
0.0,8,0.045189
0.0,14,0.047444
0.0,35,0.053048
0.0,34,0.058566
0.0,29,0.063283
0.0,66,0.074085
1.0,119,0.093353
0.0,23,0.09714
0.0,36,0.103047
0.0,103,0.119699
0.0,81,0.132994
0.0,65,0.143528
0.0,25,0.147601
0.0,115,0.166134
0.0,59,0.175875
0.0,56,0.184957
0.0,63,0.195325
0.0,8,0.196669
0.0,97,0.212598
0.0,69,0.223893
0.0,118,0.243321
0.0,19,0.246457
0.0,131,0.267979
0.0,14,0.270268
0.0,85,0.284187
0.0,239,0.322713
0.0,27,0.327164
0.0,143,0.350286
0.0,434,0.421014
0.0,14,0.423355
1.0,111,0.441429
0.0,16,0.444054
0.0,78,0.456821
0.0,585,0.551689
0.0,916,0.701737
0.0,19,0.704935
0.0,27,0.709367
0.0,93,0.724158
0.0,12,0.726128
1.0,174,0.754052
0.0,31,0.759112
0.0,152,0.783744
0.0,244,0.823757
0.0,19,0.826917
0.0,142,0.850059
0.0,671,0.958897
0.0,46,0.966394
0.0,128,0.986956
0.0,132,1.008515
0.0,8,1.009837
1.0,56,1.01903
0.0,34,1.024454
0.0,70,1.035927
0.0,34,1.041502
1.0,89,1.056141
0.0,19,1.059278
0.0,112,1.077436
0.0,17,1.080228
0.0,22,1.083865
0.0,73,1.095649
0.0,161,1.121987
0.0,26,1.126283
1.0,34,1.131868
0.0,122,1.1518
0.0,94,1.167268
0.0,225,1.203974
1.0,20,1.207239
0.0,72,1.218756
0.0,16,1.221307
1.0,105,1.238241
1.0,24,1.242174
0.0,21,1.245634
1.0,150,1.270108
0.0,25,1.274196
1.0,19,1.277306
0.0,63,1.28769
1.0,106,1.305044
1.0,128,1.326144
1.0,19,1.329275
0.0,13,1.331402
0.0,5,1.332231
0.0,132,1.353624
1.0,23,1.357405
1.0,135,1.379566
0.0,51,1.387796
1.0,54,1.396517
0.0,8,1.397853
0.0,27,1.402298
1.0,156,1.427975
0.0,24,1.43196
1.0,42,1.43885
0.0,68,1.449974
1.0,210,1.484584
1.0,107,1.502253
1.0,25,1.506628
0.0,26,1.510914
0.0,75,1.522931
1.0,110,1.541107
1.0,12,1.543077
1.0,75,1.555346
0.0,12,1.557276
1.0,139,1.579766
0.0,9,1.581271
0.0,37,1.587401
0.0,19,1.590419
1.0,258,1.632336
1.0,13,1.642574
0.0,23,1.646697
1.0,164,1.674066
0.0,59,1.683927
1.0,12,1.685899
1.0,187,1.716771
1.0,116,1.735839
0.0,44,1.742999
1.0,12,1.744982
0.0,119,1.764671
1.0,159,1.790836
1.0,66,1.801598
1.0,12,1.803548
1.0,126,1.824134
0.0,11,1.826006
1.0,50,1.834321
1.0,11,1.836111
0.0,47,1.843827
0.0,119,1.86345
1.0,91,1.878344
1.0,11,1.880153
0.0,17,1.882931
0.0,24,1.886839
1.0,33,1.892335
1.0,13,1.894464
1.0,139,1.917312
1.0,192,1.948726
1.0,73,1.960674
1.0,21,1.963999
1.0,119,1.983662
1.0,70,1.995057
1.0,50,2.003274
1.0,11,2.005076
1.0,69,2.016378
1.0,102,2.032961
0.0,29,2.037748
1.0,11,2.039562
1.0,116,2.058655
1.0,179,2.08803
0.0,79,2.10081
0.0,4,2.101488
0.0,59,2.1111
1.0,55,2.119985
1.0,42,2.126871
1.0,12,2.128828
0.0,58,2.138356
0.0,9,2.139871
0.0,30,2.14482
1.0,12,2.146784
0.0,74,2.158829
1.0,94,2.174169
1.0,45,2.181542
1.0,13,2.183695
0.0,50,2.191975
0.0,101,2.208581
0.0,82,2.221847
1.0,11,2.223664
0.0,38,2.229939
1.0,69,2.241279
1.0,81,2.254418
1.0,13,2.256514
1.0,43,2.263566
0.0,27,2.268052
0.0,29,2.272819
1.0,11,2.274621
1.0,87,2.288862
0.0,9,2.290355
0.0,6,2.291344
1.0,13,2.293481
1.0,60,2.3034
0.0,41,2.310165
1.0,57,2.3195
1.0,11,2.32132
0.0,9,2.322805
0.0,4,2.32347
1.0,62,2.33361
1.0,11,2.335437
0.0,85,2.349339
1.0,52,2.357924
1.0,61,2.367955
1.0,13,2.370082
1.0,48,2.377925
1.0,138,2.400444
1.0,27,2.404938
1.0,11,2.406739
1.0,58,2.416165
1.0,86,2.430301
1.0,64,2.440635
0.0,9,2.442125
0.0,43,2.449209
0.0,52,2.457788
0.0,4,2.458461
1.0,11,2.46027
0.0,73,2.472125
0.0,27,2.476564
1.0,63,2.486962
1.0,11,2.488774
1.0,27,2.493165
0.0,31,2.498235
1.0,39,2.504707
1.0,16,2.50732
0.0,8,2.508629
1.0,98,2.525049
1.0,27,2.529535
1.0,17,2.53227
1.0,63,2.542538
0.0,8,2.543871
1.0,38,2.550173
1.0,12,2.552142
1.0,37,2.558193
0.0,49,2.566179
1.0,65,2.576762
1.0,11,2.578547
1.0,30,2.583474
0.0,2,2.583811
0.0,9,2.585301
1.0,16,2.58791
1.0,94,2.603374
1.0,49,2.611412
1.0,31,2.616558
1.0,11,2.618361
0.0,46,2.625862
1.0,43,2.632717
1.0,27,2.637205
1.0,12,2.639154
