total reward,episodes,steps
1.0,1,10000
2.0,3,20000
2.0,5,30000
2.0,7,40000
4.0,11,50000
1.0,12,60000
1.0,13,70000
2.0,15,80000
2.0,17,90000
2.0,19,100000
1.0,20,110000
1.0,21,120000
1.0,22,130000
2.0,24,140000
4.0,28,150000
1.0,29,160000
1.0,30,170000
3.0,33,180000
1.0,34,190000
3.0,37,200000
3.0,40,210000
3.0,43,220000
1.0,44,230000
1.0,45,240000
4.0,49,250000
2.0,51,260000
3.0,54,270000
3.0,57,280000
2.0,59,290000
3.0,62,300000
2.0,64,310000
2.0,66,320000
3.0,69,330000
1.0,70,340000
2.0,72,350000
3.0,75,360000
3.0,78,370000
2.0,80,380000
3.0,83,390000
3.0,86,400000
2.0,88,410000
4.0,92,420000
2.0,94,430000
2.0,96,440000
2.0,98,450000
4.0,102,460000
2.0,104,470000
3.0,107,480000
4.0,111,490000
2.0,113,500000
3.0,116,510000
3.0,119,520000
3.0,122,530000
4.0,126,540000
3.0,129,550000
4.0,133,560000
4.0,137,570000
1.0,138,580000
2.0,140,590000
2.0,142,600000
2.0,144,610000
5.0,149,620000
2.0,151,630000
2.0,153,640000
3.0,156,650000
3.0,159,660000
2.0,161,670000
3.0,164,680000
4.0,168,690000
2.0,170,700000
2.0,172,710000
2.0,174,720000
2.0,176,730000
3.0,179,740000
5.0,184,750000
3.0,187,760000
4.0,191,770000
3.0,194,780000
3.0,197,790000
4.0,201,800000
3.0,204,810000
2.0,206,820000
2.0,208,830000
4.0,212,840000
2.0,214,850000
3.0,217,860000
1.0,218,870000
3.0,221,880000
3.0,224,890000
2.0,226,900000
3.0,229,910000
1.0,230,920000
4.0,234,930000
3.0,237,940000
3.0,240,950000
2.0,242,960000
4.0,246,970000
5.0,251,980000
1.0,252,990000
1.0,253,1000000
3.0,256,1010000
2.0,258,1020000
3.0,261,1030000
1.0,262,1040000
4.0,266,1050000
3.0,269,1060000
4.0,273,1070000
3.0,276,1080000
2.0,278,1090000
4.0,282,1100000
2.0,284,1110000
2.0,286,1120000
4.0,290,1130000
4.0,294,1140000
4.0,298,1150000
4.0,302,1160000
3.0,305,1170000
0.0,305,1180000
4.0,309,1190000
3.0,312,1200000
1.0,313,1210000
4.0,317,1220000
3.0,320,1230000
2.0,322,1240000
3.0,325,1250000
2.0,327,1260000
4.0,331,1270000
3.0,334,1280000
5.0,339,1290000
2.0,341,1300000
4.0,345,1310000
3.0,348,1320000
3.0,351,1330000
5.0,356,1340000
2.0,358,1350000
4.0,362,1360000
3.0,365,1370000
3.0,368,1380000
3.0,371,1390000
4.0,375,1400000
4.0,379,1410000
4.0,383,1420000
3.0,386,1430000
2.0,388,1440000
1.0,389,1450000
3.0,392,1460000
3.0,395,1470000
5.0,400,1480000
2.0,402,1490000
5.0,407,1500000
4.0,411,1510000
4.0,415,1520000
3.0,418,1530000
2.0,420,1540000
4.0,424,1550000
5.0,429,1560000
4.0,433,1570000
4.0,437,1580000
2.0,439,1590000
7.0,446,1600000
5.0,451,1610000
3.0,454,1620000
3.0,457,1630000
5.0,462,1640000
4.0,466,1650000
2.0,468,1660000
5.0,473,1670000
4.0,477,1680000
6.0,483,1690000
4.0,487,1700000
5.0,492,1710000
4.0,496,1720000
4.0,500,1730000
5.0,505,1740000
3.0,508,1750000
6.0,514,1760000
4.0,518,1770000
6.0,524,1780000
3.0,527,1790000
8.0,535,1800000
4.0,539,1810000
3.0,542,1820000
5.0,547,1830000
5.0,552,1840000
3.0,555,1850000
4.0,559,1860000
8.0,567,1870000
4.0,571,1880000
4.0,575,1890000
6.0,581,1900000
8.0,589,1910000
6.0,595,1920000
8.0,603,1930000
6.0,609,1940000
6.0,615,1950000
3.0,618,1960000
4.0,622,1970000
8.0,630,1980000
7.0,637,1990000
4.0,641,2000000
