total reward,steps,episodes
2.0,10000,2
1.0,20000,3
0.0,30000,3
3.0,40000,6
2.0,50000,8
1.0,60000,9
4.0,70000,13
1.0,80000,14
2.0,90000,16
2.0,100000,18
1.0,110000,19
2.0,120000,21
2.0,130000,23
2.0,140000,25
3.0,150000,28
1.0,160000,29
2.0,170000,31
2.0,180000,33
3.0,190000,36
3.0,200000,39
2.0,210000,41
1.0,220000,42
2.0,230000,44
2.0,240000,46
3.0,250000,49
2.0,260000,51
3.0,270000,54
4.0,280000,58
2.0,290000,60
3.0,300000,63
2.0,310000,65
3.0,320000,68
2.0,330000,70
2.0,340000,72
3.0,350000,75
3.0,360000,78
3.0,370000,81
1.0,380000,82
3.0,390000,85
3.0,400000,88
1.0,410000,89
2.0,420000,91
3.0,430000,94
3.0,440000,97
4.0,450000,101
3.0,460000,104
1.0,470000,105
3.0,480000,108
6.0,490000,114
3.0,500000,117
3.0,510000,120
2.0,520000,122
1.0,530000,123
4.0,540000,127
3.0,550000,130
3.0,560000,133
3.0,570000,136
0.0,580000,136
4.0,590000,140
3.0,600000,143
1.0,610000,144
5.0,620000,149
3.0,630000,152
3.0,640000,155
2.0,650000,157
2.0,660000,159
4.0,670000,163
3.0,680000,166
4.0,690000,170
5.0,700000,175
3.0,710000,178
3.0,720000,181
2.0,730000,183
3.0,740000,186
3.0,750000,189
3.0,760000,192
3.0,770000,195
4.0,780000,199
3.0,790000,202
3.0,800000,205
2.0,810000,207
3.0,820000,210
2.0,830000,212
2.0,840000,214
3.0,850000,217
2.0,860000,219
3.0,870000,222
4.0,880000,226
3.0,890000,229
4.0,900000,233
2.0,910000,235
4.0,920000,239
2.0,930000,241
3.0,940000,244
3.0,950000,247
3.0,960000,250
4.0,970000,254
2.0,980000,256
2.0,990000,258
2.0,1000000,260
3.0,1010000,263
3.0,1020000,266
2.0,1030000,268
2.0,1040000,270
3.0,1050000,273
3.0,1060000,276
3.0,1070000,279
1.0,1080000,280
4.0,1090000,284
3.0,1100000,287
3.0,1110000,290
2.0,1120000,292
1.0,1130000,293
3.0,1140000,296
2.0,1150000,298
4.0,1160000,302
2.0,1170000,304
3.0,1180000,307
2.0,1190000,309
4.0,1200000,313
3.0,1210000,316
3.0,1220000,319
4.0,1230000,323
2.0,1240000,325
2.0,1250000,327
5.0,1260000,332
4.0,1270000,336
1.0,1280000,337
4.0,1290000,341
4.0,1300000,345
3.0,1310000,348
2.0,1320000,350
5.0,1330000,355
4.0,1340000,359
4.0,1350000,363
4.0,1360000,367
5.0,1370000,372
2.0,1380000,374
4.0,1390000,378
2.0,1400000,380
5.0,1410000,385
3.0,1420000,388
4.0,1430000,392
4.0,1440000,396
2.0,1450000,398
3.0,1460000,401
2.0,1470000,403
4.0,1480000,407
2.0,1490000,409
6.0,1500000,415
3.0,1510000,418
3.0,1520000,421
4.0,1530000,425
2.0,1540000,427
5.0,1550000,432
3.0,1560000,435
2.0,1570000,437
4.0,1580000,441
4.0,1590000,445
4.0,1600000,449
4.0,1610000,453
2.0,1620000,455
6.0,1630000,461
6.0,1640000,467
5.0,1650000,472
4.0,1660000,476
3.0,1670000,479
6.0,1680000,485
5.0,1690000,490
5.0,1700000,495
3.0,1710000,498
5.0,1720000,503
6.0,1730000,509
4.0,1740000,513
4.0,1750000,517
3.0,1760000,520
4.0,1770000,524
4.0,1780000,528
4.0,1790000,532
7.0,1800000,539
5.0,1810000,544
5.0,1820000,549
4.0,1830000,553
5.0,1840000,558
4.0,1850000,562
7.0,1860000,569
6.0,1870000,575
5.0,1880000,580
6.0,1890000,586
3.0,1900000,589
5.0,1910000,594
6.0,1920000,600
7.0,1930000,607
5.0,1940000,612
5.0,1950000,617
6.0,1960000,623
5.0,1970000,628
6.0,1980000,634
5.0,1990000,639
7.0,2000000,646
