episodes,total reward,steps
3,3.0,10000
3,0.0,20000
5,2.0,30000
7,2.0,40000
9,2.0,50000
11,2.0,60000
13,2.0,70000
16,3.0,80000
17,1.0,90000
18,1.0,100000
20,2.0,110000
23,3.0,120000
26,3.0,130000
27,1.0,140000
28,1.0,150000
30,2.0,160000
32,2.0,170000
35,3.0,180000
38,3.0,190000
40,2.0,200000
42,2.0,210000
44,2.0,220000
46,2.0,230000
49,3.0,240000
50,1.0,250000
52,2.0,260000
54,2.0,270000
57,3.0,280000
59,2.0,290000
61,2.0,300000
65,4.0,310000
67,2.0,320000
69,2.0,330000
73,4.0,340000
75,2.0,350000
77,2.0,360000
80,3.0,370000
82,2.0,380000
85,3.0,390000
87,2.0,400000
90,3.0,410000
93,3.0,420000
97,4.0,430000
101,4.0,440000
103,2.0,450000
105,2.0,460000
109,4.0,470000
112,3.0,480000
115,3.0,490000
117,2.0,500000
119,2.0,510000
119,0.0,520000
122,3.0,530000
123,1.0,540000
126,3.0,550000
130,4.0,560000
133,3.0,570000
136,3.0,580000
138,2.0,590000
139,1.0,600000
143,4.0,610000
145,2.0,620000
149,4.0,630000
150,1.0,640000
154,4.0,650000
158,4.0,660000
161,3.0,670000
164,3.0,680000
167,3.0,690000
169,2.0,700000
171,2.0,710000
173,2.0,720000
176,3.0,730000
176,0.0,740000
180,4.0,750000
183,3.0,760000
186,3.0,770000
189,3.0,780000
192,3.0,790000
195,3.0,800000
196,1.0,810000
199,3.0,820000
201,2.0,830000
205,4.0,840000
209,4.0,850000
212,3.0,860000
215,3.0,870000
216,1.0,880000
217,1.0,890000
220,3.0,900000
223,3.0,910000
225,2.0,920000
227,2.0,930000
229,2.0,940000
232,3.0,950000
234,2.0,960000
237,3.0,970000
240,3.0,980000
244,4.0,990000
248,4.0,1000000
249,1.0,1010000
251,2.0,1020000
254,3.0,1030000
257,3.0,1040000
261,4.0,1050000
264,3.0,1060000
267,3.0,1070000
271,4.0,1080000
274,3.0,1090000
277,3.0,1100000
280,3.0,1110000
285,5.0,1120000
290,5.0,1130000
292,2.0,1140000
295,3.0,1150000
298,3.0,1160000
302,4.0,1170000
305,3.0,1180000
310,5.0,1190000
312,2.0,1200000
314,2.0,1210000
317,3.0,1220000
319,2.0,1230000
320,1.0,1240000
325,5.0,1250000
328,3.0,1260000
331,3.0,1270000
335,4.0,1280000
339,4.0,1290000
343,4.0,1300000
346,3.0,1310000
351,5.0,1320000
354,3.0,1330000
357,3.0,1340000
361,4.0,1350000
363,2.0,1360000
367,4.0,1370000
372,5.0,1380000
375,3.0,1390000
379,4.0,1400000
384,5.0,1410000
386,2.0,1420000
389,3.0,1430000
394,5.0,1440000
397,3.0,1450000
399,2.0,1460000
402,3.0,1470000
407,5.0,1480000
411,4.0,1490000
414,3.0,1500000
419,5.0,1510000
422,3.0,1520000
426,4.0,1530000
428,2.0,1540000
429,1.0,1550000
433,4.0,1560000
438,5.0,1570000
440,2.0,1580000
443,3.0,1590000
447,4.0,1600000
450,3.0,1610000
455,5.0,1620000
459,4.0,1630000
465,6.0,1640000
468,3.0,1650000
471,3.0,1660000
474,3.0,1670000
481,7.0,1680000
484,3.0,1690000
488,4.0,1700000
494,6.0,1710000
499,5.0,1720000
503,4.0,1730000
508,5.0,1740000
513,5.0,1750000
516,3.0,1760000
520,4.0,1770000
526,6.0,1780000
528,2.0,1790000
535,7.0,1800000
539,4.0,1810000
544,5.0,1820000
550,6.0,1830000
555,5.0,1840000
560,5.0,1850000
566,6.0,1860000
570,4.0,1870000
575,5.0,1880000
579,4.0,1890000
584,5.0,1900000
590,6.0,1910000
596,6.0,1920000
601,5.0,1930000
607,6.0,1940000
613,6.0,1950000
617,4.0,1960000
623,6.0,1970000
627,4.0,1980000
633,6.0,1990000
639,6.0,2000000
