#{"t_start": 1711520479.573833, "env_id": "Craft-single-M1-v0"}
r,l,t
1.0,3251,0.041011
1.0,8575,0.158124
1.0,6926,0.246378
1.0,3642,0.293203
1.0,4028,0.344465
1.0,8002,0.445765
1.0,4146,0.498215
1.0,6051,0.574667
1.0,3498,0.619263
1.0,6731,0.704691
1.0,4360,0.759679
1.0,6784,0.84554
1.0,2569,0.878354
1.0,8213,0.983581
1.0,2188,1.011664
1.0,6556,1.095058
1.0,3126,1.135036
1.0,4724,1.195228
1.0,10268,1.325953
1.0,4074,1.37781
1.0,4926,1.440567
1.0,11812,1.590312
1.0,9442,1.710195
1.0,2491,1.74211
1.0,7691,1.839786
1.0,2246,1.868628
1.0,1933,1.893278
1.0,4118,1.946047
1.0,5904,2.021739
1.0,7481,2.117198
1.0,3105,2.157064
1.0,3263,2.198804
1.0,1597,2.21939
1.0,3901,2.269281
1.0,2610,2.302519
1.0,6708,2.38791
1.0,8460,2.495332
1.0,5266,2.562519
1.0,3502,2.607242
1.0,1918,2.631895
1.0,5555,2.70262
1.0,5880,2.778029
1.0,3512,2.822923
1.0,9442,2.943829
1.0,3334,2.986333
1.0,4113,3.038996
1.0,4330,3.094529
1.0,2297,3.124034
1.0,3490,3.168816
1.0,5899,3.244626
1.0,1366,3.262333
1.0,2676,3.296424
1.0,8028,3.398418
1.0,2633,3.431992
1.0,1876,3.455969
1.0,5486,3.526092
1.0,6633,3.610985
1.0,3049,3.649997
1.0,6968,3.738609
1.0,6719,3.824196
1.0,5476,3.894313
1.0,1899,3.918723
1.0,3025,3.957747
1.0,3039,3.996529
1.0,7442,4.092106
1.0,1090,4.106031
1.0,2163,4.133625
1.0,3509,4.1787
1.0,3701,4.226281
1.0,4489,4.283726
1.0,1741,4.306135
1.0,1673,4.32761
1.0,10950,4.466403
1.0,1896,4.490703
1.0,2692,4.525096
1.0,1117,4.539462
1.0,1248,4.555382
1.0,2278,4.584419
1.0,4887,4.647185
1.0,5597,4.718539
1.0,3689,4.765774
1.0,3563,4.811433
1.0,3253,4.852855
1.0,4856,4.914697
1.0,6172,4.993514
1.0,2107,5.020286
1.0,4016,5.071458
1.0,3075,5.110677
1.0,5334,5.178809
1.0,5355,5.247378
1.0,2869,5.284086
1.0,5473,5.353612
1.0,1049,5.367204
1.0,457,5.373109
1.0,4766,5.434073
1.0,2657,5.468057
1.0,2827,5.504339
1.0,5866,5.578997
1.0,4196,5.632556
1.0,3401,5.676098
1.0,3701,5.723472
1.0,5459,5.793166
1.0,1730,5.815468
1.0,7260,5.907918
1.0,2525,5.94025
1.0,3923,5.9904
1.0,3535,6.035764
1.0,1593,6.056195
1.0,991,6.068987
1.0,5330,6.137218
1.0,2678,6.17145
1.0,6983,6.260429
1.0,3774,6.308856
1.0,7966,6.410058
1.0,1721,6.432091
1.0,1066,6.445832
1.0,8231,6.550603
1.0,6438,6.632823
1.0,2160,6.660499
1.0,4719,6.720875
1.0,3192,6.76187
1.0,3808,6.810386
1.0,4401,6.86659
1.0,2487,6.898361
1.0,3565,6.944134
1.0,3369,6.987351
1.0,4352,7.042977
1.0,2699,7.077533
1.0,2197,7.105803
1.0,4228,7.159934
1.0,1949,7.18476
1.0,1935,7.209544
1.0,2434,7.240641
1.0,4222,7.294531
1.0,5850,7.368974
1.0,6786,7.455474
1.0,2416,7.486476
1.0,1002,7.499303
1.0,1923,7.52386
1.0,2300,7.5533
1.0,5040,7.61784
1.0,3973,7.668872
1.0,5955,7.744834
1.0,3415,7.788671
1.0,1454,7.80736
1.0,996,7.82014
1.0,2175,7.847874
1.0,1921,7.872669
1.0,2806,7.908475
1.0,6288,7.989242
1.0,2365,8.019491
1.0,8880,8.133073
1.0,938,8.145116
1.0,2199,8.173102
1.0,1669,8.194471
1.0,2919,8.231974
1.0,1634,8.25295
1.0,1844,8.276589
1.0,5208,8.343269
1.0,4994,8.407426
1.0,2057,8.433851
1.0,2034,8.459991
1.0,3155,8.500702
1.0,4319,8.556165
1.0,2134,8.583552
1.0,1848,8.607248
1.0,6595,8.69113
1.0,7208,8.783535
1.0,4179,8.836979
1.0,3563,8.882534
1.0,3034,8.921382
1.0,2054,8.947857
1.0,3015,8.986637
1.0,3146,9.027052
1.0,2542,9.059667
1.0,8760,9.171611
1.0,3976,9.222517
1.0,3445,9.266598
1.0,7412,9.361134
1.0,2263,9.390119
1.0,4217,9.443957
1.0,2181,9.472021
1.0,6437,9.554366
1.0,2660,9.588334
1.0,6156,9.666857
1.0,3424,9.710696
1.0,8770,9.822976
1.0,1895,9.847432
1.0,3345,9.890078
1.0,3519,9.935234
1.0,3006,9.974033
1.0,2515,10.006138
1.0,2632,10.039974
1.0,5103,10.105274
1.0,1920,10.12982
1.0,13022,10.295993
1.0,1263,10.312117
1.0,1559,10.331986
1.0,2102,10.358886
1.0,2382,10.389169
1.0,3504,10.433962
1.0,5839,10.508272
1.0,1843,10.531997
1.0,1630,10.552951
1.0,2384,10.583323
1.0,1673,10.604696
1.0,893,10.61622
1.0,2358,10.646297
1.0,5406,10.71544
1.0,3827,10.764342
1.0,1974,10.78966
1.0,7005,10.879307
1.0,2846,10.915678
1.0,2815,10.951746
1.0,2683,10.986501
1.0,2015,11.012269
1.0,1276,11.028686
1.0,4207,11.082699
1.0,2234,11.111415
1.0,908,11.123118
1.0,1787,11.145935
1.0,786,11.15608
1.0,3060,11.195328
1.0,4230,11.249381
1.0,2574,11.2823
1.0,3699,11.329647
1.0,4718,11.390046
1.0,4117,11.443089
1.0,5397,11.512244
1.0,2701,11.546798
1.0,1400,11.564788
1.0,3815,11.613604
1.0,4713,11.673941
1.0,1151,11.688832
1.0,2543,11.721512
1.0,3514,11.766708
1.0,2180,11.794605
1.0,4745,11.855126
1.0,3971,11.905691
1.0,2207,11.93397
1.0,6867,12.022148
1.0,10748,12.159504
1.0,2574,12.192484
1.0,7469,12.287539
1.0,4753,12.348282
1.0,3167,12.388683
1.0,1230,12.404427
1.0,4517,12.461978
1.0,2377,12.49235
1.0,5945,12.568505
1.0,4638,12.627886
1.0,2058,12.654323
1.0,1685,12.676009
1.0,874,12.687193
1.0,1608,12.707796
1.0,1925,12.732556
1.0,4324,12.78779
1.0,3488,12.832519
1.0,2042,12.858788
1.0,2501,12.890909
1.0,5993,12.967598
1.0,378,12.972607
1.0,2995,13.010845
1.0,7057,13.100878
1.0,2097,13.127708
1.0,3429,13.171619
1.0,2787,13.207282
1.0,2714,13.242213
1.0,4904,13.304938
1.0,2732,13.339841
1.0,6014,13.416994
1.0,961,13.429388
1.0,3302,13.471516
1.0,4019,13.522947
1.0,4173,13.576479
1.0,2178,13.604522
1.0,8765,13.716408
1.0,1627,13.737351
1.0,2614,13.770733
1.0,3630,13.817204
1.0,1376,13.834811
1.0,2530,13.867252
1.0,5817,13.941349
1.0,1466,13.960082
1.0,1688,13.98194
1.0,1355,13.999313
1.0,9804,14.124898
1.0,4074,14.177004
1.0,3489,14.221513
1.0,3827,14.270409
1.0,3097,14.310209
1.0,4662,14.369829
1.0,2740,14.405277
1.0,5919,14.480727
1.0,1139,14.495429
1.0,739,14.504925
1.0,2792,14.540586
1.0,2436,14.57174
1.0,1434,14.590161
1.0,1411,14.608238
1.0,1446,14.626887
1.0,3090,14.66638
1.0,3006,14.70479
1.0,4583,14.763404
1.0,5341,14.831612
1.0,4882,14.894097
1.0,4792,14.955531
1.0,1600,14.976219
1.0,1779,14.998874
1.0,4632,15.058012
1.0,1309,15.074814
1.0,636,15.083026
1.0,4176,15.136376
1.0,4979,15.200017
1.0,1173,15.215054
1.0,4222,15.269131
1.0,1949,15.29414
1.0,5546,15.364946
1.0,2336,15.395045
1.0,5211,15.461828
1.0,3737,15.509618
1.0,5184,15.575827
1.0,4961,15.639477
1.0,6393,15.721114
1.0,2525,15.753431
1.0,2814,15.789379
1.0,3290,15.831345
1.0,1371,15.848919
1.0,1637,15.86992
1.0,1637,15.890863
1.0,2916,15.928099
1.0,612,15.935979
1.0,4148,15.989203
1.0,1472,16.008029
1.0,3769,16.056398
1.0,3770,16.104558
1.0,4078,16.156748
1.0,2785,16.192754
1.0,9370,16.3189
1.0,3905,16.374402
1.0,2506,16.406681
1.0,5514,16.477293
1.0,2443,16.508683
1.0,1337,16.525998
1.0,2854,16.562747
1.0,3276,16.60496
1.0,3187,16.645786
1.0,2533,16.678338
1.0,3152,16.71888
1.0,6914,16.807405
1.0,1533,16.82728
1.0,1152,16.842063
1.0,1574,16.862257
1.0,2655,16.896244
1.0,1945,16.921299
1.0,1038,16.934707
1.0,4417,16.991315
1.0,1178,17.006517
1.0,3374,17.049948
1.0,5547,17.121225
1.0,2678,17.155717
1.0,969,17.168152
1.0,1718,17.190239
1.0,4130,17.243164
1.0,7840,17.343683
1.0,6447,17.425993
1.0,704,17.435111
1.0,3109,17.475041
1.0,3476,17.519598
1.0,4565,17.577842
1.0,1524,17.597416
1.0,1407,17.615434
1.0,4275,17.670025
1.0,2160,17.697608
1.0,11031,17.838532
1.0,639,17.846881
1.0,1862,17.87077
1.0,4522,17.92832
1.0,1680,17.9498
1.0,2846,17.986448
1.0,4658,18.046036
1.0,4185,18.099646
1.0,3500,18.144563
1.0,4552,18.202684
1.0,3615,18.249101
1.0,3536,18.294449
1.0,1108,18.308738
1.0,1667,18.330093
1.0,747,18.339735
1.0,3485,18.384312
1.0,1220,18.400031
1.0,3214,18.441306
1.0,524,18.448025
1.0,4202,18.501123
1.0,1501,18.520204
1.0,1504,18.539372
1.0,854,18.550372
1.0,2899,18.587537
1.0,1411,18.605667
1.0,5579,18.676934
1.0,3698,18.724349
1.0,191,18.726882
1.0,3632,18.773387
1.0,2848,18.809988
1.0,821,18.820626
1.0,4125,18.873444
1.0,4866,18.935426
1.0,722,18.944711
1.0,2370,18.974976
1.0,655,18.983433
1.0,1014,18.996652
1.0,2536,19.029239
1.0,3350,19.072006
1.0,1295,19.088683
1.0,6189,19.167737
1.0,3011,19.206323
1.0,822,19.216954
1.0,2993,19.25543
1.0,3923,19.305937
1.0,4055,19.357886
1.0,3009,19.39651
1.0,918,19.408334
1.0,3071,19.447477
1.0,1146,19.462359
1.0,3880,19.512148
1.0,4198,19.565836
1.0,5114,19.631135
1.0,2340,19.661205
1.0,1239,19.677126
1.0,1399,19.695087
1.0,4016,19.74638
1.0,2346,19.776607
1.0,1034,19.78992
1.0,6043,19.867075
1.0,1000,19.87998
1.0,3839,19.929149
1.0,3722,19.976831
1.0,676,19.985492
1.0,5773,20.059576
1.0,2074,20.086133
1.0,1506,20.105494
1.0,5249,20.172642
1.0,295,20.176507
1.0,3141,20.216639
1.0,3710,20.264106
1.0,2936,20.30182
1.0,2209,20.330096
1.0,4786,20.391144
1.0,1463,20.409969
1.0,3535,20.45533
1.0,2619,20.488994
1.0,1239,20.504904
1.0,1668,20.526276
1.0,3408,20.570059
1.0,3127,20.610275
1.0,2851,20.646701
1.0,408,20.651995
1.0,2966,20.689801
1.0,903,20.701402
1.0,1046,20.714846
1.0,1888,20.738964
1.0,2740,20.774124
1.0,2980,20.812582
1.0,4852,20.874689
1.0,2700,20.909286
1.0,1122,20.923809
1.0,2218,20.95225
1.0,3600,20.998264
1.0,5308,21.066442
1.0,4317,21.121854
1.0,813,21.132426
1.0,5558,21.203637
1.0,2496,21.235686
1.0,2305,21.265384
1.0,1529,21.284909
1.0,4865,21.347147
1.0,5024,21.41146
1.0,5259,21.478653
1.0,885,21.49004
1.0,797,21.500244
1.0,1669,21.521551
1.0,585,21.529116
