episodes,steps,total reward
0,10000,0.0
2,20000,2.0
3,30000,1.0
5,40000,2.0
7,50000,2.0
8,60000,1.0
10,70000,2.0
11,80000,1.0
13,90000,2.0
15,100000,2.0
17,110000,2.0
19,120000,2.0
20,130000,1.0
22,140000,2.0
24,150000,2.0
26,160000,2.0
27,170000,1.0
29,180000,2.0
31,190000,2.0
33,200000,2.0
35,210000,2.0
37,220000,2.0
40,230000,3.0
41,240000,1.0
43,250000,2.0
46,260000,3.0
49,270000,3.0
51,280000,2.0
54,290000,3.0
57,300000,3.0
59,310000,2.0
61,320000,2.0
64,330000,3.0
66,340000,2.0
69,350000,3.0
70,360000,1.0
72,370000,2.0
74,380000,2.0
78,390000,4.0
81,400000,3.0
82,410000,1.0
85,420000,3.0
86,430000,1.0
89,440000,3.0
91,450000,2.0
94,460000,3.0
97,470000,3.0
98,480000,1.0
101,490000,3.0
104,500000,3.0
105,510000,1.0
108,520000,3.0
110,530000,2.0
116,540000,6.0
119,550000,3.0
122,560000,3.0
125,570000,3.0
126,580000,1.0
130,590000,4.0
131,600000,1.0
136,610000,5.0
139,620000,3.0
141,630000,2.0
143,640000,2.0
146,650000,3.0
148,660000,2.0
149,670000,1.0
152,680000,3.0
155,690000,3.0
157,700000,2.0
160,710000,3.0
162,720000,2.0
164,730000,2.0
166,740000,2.0
169,750000,3.0
172,760000,3.0
174,770000,2.0
177,780000,3.0
179,790000,2.0
181,800000,2.0
182,810000,1.0
183,820000,1.0
184,830000,1.0
184,840000,0.0
186,850000,2.0
190,860000,4.0
192,870000,2.0
195,880000,3.0
197,890000,2.0
200,900000,3.0
203,910000,3.0
206,920000,3.0
208,930000,2.0
211,940000,3.0
214,950000,3.0
217,960000,3.0
221,970000,4.0
225,980000,4.0
228,990000,3.0
230,1000000,2.0
233,1010000,3.0
236,1020000,3.0
238,1030000,2.0
239,1040000,1.0
242,1050000,3.0
244,1060000,2.0
246,1070000,2.0
248,1080000,2.0
251,1090000,3.0
255,1100000,4.0
258,1110000,3.0
261,1120000,3.0
263,1130000,2.0
266,1140000,3.0
269,1150000,3.0
272,1160000,3.0
275,1170000,3.0
277,1180000,2.0
280,1190000,3.0
283,1200000,3.0
286,1210000,3.0
288,1220000,2.0
290,1230000,2.0
293,1240000,3.0
296,1250000,3.0
298,1260000,2.0
302,1270000,4.0
305,1280000,3.0
306,1290000,1.0
308,1300000,2.0
311,1310000,3.0
315,1320000,4.0
319,1330000,4.0
322,1340000,3.0
323,1350000,1.0
326,1360000,3.0
330,1370000,4.0
336,1380000,6.0
340,1390000,4.0
343,1400000,3.0
345,1410000,2.0
348,1420000,3.0
353,1430000,5.0
356,1440000,3.0
357,1450000,1.0
360,1460000,3.0
362,1470000,2.0
365,1480000,3.0
369,1490000,4.0
372,1500000,3.0
374,1510000,2.0
378,1520000,4.0
382,1530000,4.0
385,1540000,3.0
389,1550000,4.0
391,1560000,2.0
393,1570000,2.0
397,1580000,4.0
401,1590000,4.0
404,1600000,3.0
407,1610000,3.0
408,1620000,1.0
413,1630000,5.0
418,1640000,5.0
423,1650000,5.0
427,1660000,4.0
432,1670000,5.0
434,1680000,2.0
437,1690000,3.0
442,1700000,5.0
448,1710000,6.0
453,1720000,5.0
455,1730000,2.0
460,1740000,5.0
463,1750000,3.0
467,1760000,4.0
473,1770000,6.0
478,1780000,5.0
482,1790000,4.0
487,1800000,5.0
490,1810000,3.0
495,1820000,5.0
497,1830000,2.0
502,1840000,5.0
507,1850000,5.0
513,1860000,6.0
520,1870000,7.0
523,1880000,3.0
527,1890000,4.0
530,1900000,3.0
537,1910000,7.0
543,1920000,6.0
548,1930000,5.0
552,1940000,4.0
558,1950000,6.0
563,1960000,5.0
570,1970000,7.0
575,1980000,5.0
579,1990000,4.0
584,2000000,5.0
