steps,total reward,episodes
10000,2.0,2
20000,3.0,5
30000,2.0,7
40000,1.0,8
50000,5.0,13
60000,1.0,14
70000,2.0,16
80000,2.0,18
90000,3.0,21
100000,2.0,23
110000,3.0,26
120000,2.0,28
130000,4.0,32
140000,2.0,34
150000,4.0,38
160000,5.0,43
170000,4.0,47
180000,1.0,48
190000,4.0,52
200000,5.0,57
210000,1.0,58
220000,3.0,61
230000,1.0,62
240000,3.0,65
250000,3.0,68
260000,3.0,71
270000,3.0,74
280000,3.0,77
290000,4.0,81
300000,3.0,84
310000,2.0,86
320000,2.0,88
330000,6.0,94
340000,2.0,96
350000,5.0,101
360000,4.0,105
370000,3.0,108
380000,3.0,111
390000,3.0,114
400000,3.0,117
410000,4.0,121
420000,4.0,125
430000,3.0,128
440000,3.0,131
450000,3.0,134
460000,3.0,137
470000,6.0,143
480000,2.0,145
490000,5.0,150
500000,4.0,154
510000,4.0,158
520000,1.0,159
530000,5.0,164
540000,3.0,167
550000,4.0,171
560000,4.0,175
570000,3.0,178
580000,4.0,182
590000,3.0,185
600000,2.0,187
610000,4.0,191
620000,3.0,194
630000,3.0,197
640000,5.0,202
650000,5.0,207
660000,5.0,212
670000,3.0,215
680000,3.0,218
690000,2.0,220
700000,4.0,224
710000,4.0,228
720000,3.0,231
730000,4.0,235
740000,3.0,238
750000,6.0,244
760000,4.0,248
770000,4.0,252
780000,3.0,255
790000,2.0,257
800000,2.0,259
810000,5.0,264
820000,2.0,266
830000,2.0,268
840000,5.0,273
850000,5.0,278
860000,7.0,285
870000,3.0,288
880000,5.0,293
890000,2.0,295
900000,2.0,297
910000,2.0,299
920000,6.0,305
930000,3.0,308
940000,6.0,314
950000,2.0,316
960000,4.0,320
970000,5.0,325
980000,3.0,328
990000,5.0,333
1000000,4.0,337
1010000,6.0,343
1020000,3.0,346
1030000,5.0,351
1040000,5.0,356
1050000,2.0,358
1060000,6.0,364
1070000,3.0,367
1080000,4.0,371
1090000,3.0,374
1100000,4.0,378
1110000,5.0,383
1120000,4.0,387
1130000,6.0,393
1140000,5.0,398
1150000,4.0,402
1160000,3.0,405
1170000,3.0,408
1180000,7.0,415
1190000,2.0,417
1200000,5.0,422
1210000,5.0,427
1220000,4.0,431
1230000,5.0,436
1240000,2.0,438
1250000,6.0,444
1260000,3.0,447
1270000,4.0,451
1280000,3.0,454
1290000,4.0,458
1300000,7.0,465
1310000,2.0,467
1320000,4.0,471
1330000,5.0,476
1340000,5.0,481
1350000,5.0,486
1360000,3.0,489
1370000,3.0,492
1380000,5.0,497
1390000,7.0,504
1400000,2.0,506
1410000,7.0,513
1420000,5.0,518
1430000,3.0,521
1440000,3.0,524
1450000,3.0,527
1460000,4.0,531
1470000,7.0,538
1480000,1.0,539
1490000,5.0,544
1500000,3.0,547
1510000,9.0,556
1520000,2.0,558
1530000,5.0,563
1540000,5.0,568
1550000,5.0,573
1560000,5.0,578
1570000,6.0,584
1580000,4.0,588
1590000,6.0,594
1600000,3.0,597
1610000,2.0,599
1620000,6.0,605
1630000,3.0,608
1640000,4.0,612
1650000,5.0,617
1660000,7.0,624
1670000,4.0,628
1680000,5.0,633
1690000,3.0,636
1700000,2.0,638
1710000,6.0,644
1720000,4.0,648
1730000,6.0,654
1740000,8.0,662
1750000,4.0,666
1760000,2.0,668
1770000,6.0,674
1780000,3.0,677
1790000,7.0,684
1800000,3.0,687
1810000,4.0,691
1820000,5.0,696
1830000,5.0,701
1840000,3.0,704
1850000,3.0,707
1860000,6.0,713
1870000,4.0,717
1880000,1.0,718
1890000,7.0,725
1900000,3.0,728
1910000,7.0,735
1920000,3.0,738
1930000,7.0,745
1940000,9.0,754
1950000,4.0,758
1960000,6.0,764
1970000,4.0,768
1980000,5.0,773
1990000,5.0,778
2000000,5.0,783
