#{"t_start": 1711514993.775558, "env_id": "Craft-M1-v0"}
r,l,t
1.0,2736,0.044601
1.0,4057,0.111083
1.0,1706,0.139077
1.0,9129,0.301022
1.0,7596,0.42677
1.0,9224,0.580065
1.0,3512,0.637349
1.0,10237,0.808735
1.0,5374,0.896449
1.0,2336,0.934407
1.0,137,0.936883
1.0,5454,1.029648
1.0,1834,1.059927
1.0,1160,1.079024
1.0,5939,1.179774
1.0,2792,1.226673
1.0,2684,1.270761
1.0,7966,1.405262
1.0,8934,1.557145
1.0,2552,1.600067
1.0,35,1.600718
1.0,6940,1.720261
1.0,1063,1.738215
1.0,2283,1.776326
1.0,4438,1.851827
1.0,2502,1.893513
1.0,2240,1.931045
1.0,2747,1.977725
1.0,3792,2.043337
1.0,3622,2.105056
1.0,3906,2.17103
1.0,5573,2.267979
1.0,76,2.269349
1.0,8963,2.423375
1.0,3400,2.48062
1.0,3743,2.54401
1.0,875,2.558604
1.0,4161,2.629508
1.0,4752,2.709925
1.0,2110,2.746051
1.0,1125,2.765065
1.0,573,2.774796
1.0,2504,2.81649
1.0,2571,2.86041
1.0,3553,2.92318
1.0,3110,2.975452
1.0,5755,3.073738
1.0,7738,3.20826
1.0,6961,3.3262
1.0,1747,3.356253
1.0,1908,3.389351
1.0,212,3.393349
1.0,9822,3.562039
1.0,3094,3.614594
1.0,1299,3.63716
1.0,2070,3.672475
1.0,3719,3.736558
1.0,3783,3.801954
1.0,1595,3.829089
1.0,5371,3.920589
1.0,653,3.931606
1.0,1674,3.960805
1.0,146,3.963431
1.0,3090,4.016692
1.0,2222,4.055265
1.0,4957,4.139556
1.0,3159,4.194233
1.0,6702,4.309989
1.0,2948,4.360418
1.0,1925,4.394746
1.0,3032,4.447091
1.0,1522,4.474083
1.0,1939,4.507481
1.0,869,4.522704
1.0,6576,4.636376
1.0,4855,4.718581
1.0,1608,4.746552
1.0,6944,4.867114
1.0,6978,4.987909
1.0,721,5.000687
1.0,172,5.00375
1.0,5102,5.092321
1.0,3588,5.155279
1.0,1812,5.186989
1.0,6733,5.30092
1.0,4833,5.38486
1.0,1803,5.416467
1.0,1672,5.445304
1.0,9816,5.61456
1.0,2429,5.657597
1.0,658,5.669129
1.0,3679,5.733091
1.0,1820,5.765148
1.0,5542,5.860529
1.0,4246,5.933076
1.0,4798,6.013455
1.0,845,6.028161
1.0,4179,6.10034
1.0,4238,6.173604
1.0,2098,6.210362
1.0,53,6.211386
1.0,1211,6.23265
1.0,1021,6.251361
1.0,3064,6.30476
1.0,3438,6.363676
1.0,5352,6.456532
1.0,3658,6.519065
1.0,8338,6.663816
1.0,3859,6.730059
1.0,2734,6.777333
1.0,2053,6.813221
1.0,3821,6.879904
1.0,1734,6.910603
1.0,2231,6.949148
1.0,3220,7.004592
1.0,3623,7.066803
1.0,1286,7.089095
1.0,1840,7.120955
1.0,4921,7.204947
1.0,2160,7.24306
1.0,2382,7.284569
1.0,1345,7.308573
1.0,2118,7.345972
1.0,2279,7.385492
1.0,2280,7.424703
1.0,2595,7.468485
1.0,1680,7.497464
1.0,2924,7.547817
1.0,7243,7.672744
1.0,965,7.689906
1.0,1196,7.710889
1.0,4224,7.784497
1.0,722,7.797032
1.0,1541,7.823984
1.0,3603,7.885418
1.0,5143,7.973911
1.0,306,7.97946
1.0,3980,8.04898
1.0,3961,8.115946
1.0,742,8.129269
1.0,857,8.144336
1.0,3049,8.197413
1.0,196,8.200995
1.0,1903,8.234031
