total reward,episodes,steps
2.0,2,10000
3.0,5,20000
1.0,6,30000
2.0,8,40000
0.0,8,50000
3.0,11,60000
2.0,13,70000
2.0,15,80000
2.0,17,90000
2.0,19,100000
3.0,22,110000
2.0,24,120000
1.0,25,130000
3.0,28,140000
2.0,30,150000
3.0,33,160000
3.0,36,170000
2.0,38,180000
3.0,41,190000
3.0,44,200000
3.0,47,210000
3.0,50,220000
3.0,53,230000
2.0,55,240000
2.0,57,250000
3.0,60,260000
4.0,64,270000
3.0,67,280000
1.0,68,290000
2.0,70,300000
4.0,74,310000
1.0,75,320000
3.0,78,330000
5.0,83,340000
3.0,86,350000
2.0,88,360000
5.0,93,370000
4.0,97,380000
2.0,99,390000
5.0,104,400000
1.0,105,410000
2.0,107,420000
6.0,113,430000
3.0,116,440000
2.0,118,450000
2.0,120,460000
5.0,125,470000
2.0,127,480000
6.0,133,490000
2.0,135,500000
3.0,138,510000
1.0,139,520000
6.0,145,530000
3.0,148,540000
6.0,154,550000
2.0,156,560000
2.0,158,570000
6.0,164,580000
4.0,168,590000
2.0,170,600000
4.0,174,610000
2.0,176,620000
2.0,178,630000
5.0,183,640000
3.0,186,650000
2.0,188,660000
6.0,194,670000
3.0,197,680000
5.0,202,690000
2.0,204,700000
2.0,206,710000
5.0,211,720000
3.0,214,730000
3.0,217,740000
1.0,218,750000
5.0,223,760000
3.0,226,770000
2.0,228,780000
1.0,229,790000
5.0,234,800000
3.0,237,810000
1.0,238,820000
7.0,245,830000
4.0,249,840000
5.0,254,850000
3.0,257,860000
1.0,258,870000
6.0,264,880000
3.0,267,890000
7.0,274,900000
3.0,277,910000
1.0,278,920000
4.0,282,930000
4.0,286,940000
7.0,293,950000
2.0,295,960000
4.0,299,970000
5.0,304,980000
4.0,308,990000
1.0,309,1000000
5.0,314,1010000
4.0,318,1020000
4.0,322,1030000
5.0,327,1040000
6.0,333,1050000
4.0,337,1060000
4.0,341,1070000
3.0,344,1080000
2.0,346,1090000
4.0,350,1100000
4.0,354,1110000
2.0,356,1120000
5.0,361,1130000
3.0,364,1140000
3.0,367,1150000
6.0,373,1160000
4.0,377,1170000
7.0,384,1180000
4.0,388,1190000
4.0,392,1200000
5.0,397,1210000
3.0,400,1220000
5.0,405,1230000
2.0,407,1240000
4.0,411,1250000
4.0,415,1260000
4.0,419,1270000
3.0,422,1280000
5.0,427,1290000
7.0,434,1300000
4.0,438,1310000
6.0,444,1320000
3.0,447,1330000
7.0,454,1340000
3.0,457,1350000
7.0,464,1360000
3.0,467,1370000
4.0,471,1380000
3.0,474,1390000
4.0,478,1400000
5.0,483,1410000
4.0,487,1420000
5.0,492,1430000
4.0,496,1440000
4.0,500,1450000
5.0,505,1460000
4.0,509,1470000
5.0,514,1480000
4.0,518,1490000
5.0,523,1500000
3.0,526,1510000
2.0,528,1520000
8.0,536,1530000
2.0,538,1540000
4.0,542,1550000
6.0,548,1560000
4.0,552,1570000
4.0,556,1580000
2.0,558,1590000
5.0,563,1600000
4.0,567,1610000
2.0,569,1620000
7.0,576,1630000
2.0,578,1640000
6.0,584,1650000
4.0,588,1660000
8.0,596,1670000
5.0,601,1680000
4.0,605,1690000
4.0,609,1700000
6.0,615,1710000
3.0,618,1720000
5.0,623,1730000
5.0,628,1740000
7.0,635,1750000
3.0,638,1760000
5.0,643,1770000
4.0,647,1780000
6.0,653,1790000
4.0,657,1800000
6.0,663,1810000
2.0,665,1820000
3.0,668,1830000
8.0,676,1840000
3.0,679,1850000
5.0,684,1860000
3.0,687,1870000
8.0,695,1880000
3.0,698,1890000
5.0,703,1900000
4.0,707,1910000
7.0,714,1920000
3.0,717,1930000
5.0,722,1940000
3.0,725,1950000
7.0,732,1960000
6.0,738,1970000
3.0,741,1980000
3.0,744,1990000
3.0,747,2000000
